2 1:-1.1461556 2:-18.307215 3:1.3485881 4:-2.727807 5:0.9577676 6:-1.6290443 7:1.0617967 8:-1.4255488 9:1.1068517 10:-1.4212676 11:1.3388455 12:-1.4561858 13:1.4330708 14:-1.1461556 15:-18.307215 16:1.3485881 17:-2.727807 18:0.9577676 19:-1.6290443 20:1.0617967 21:-1.4255488 22:1.1068517 23:-1.4212676 24:1.3388455 25:-1.4561858 26:1.4330708 
2 1:270.27097 2:-6.0787992 3:5.125667 4:-0.5234252 5:-0.5891552 6:-5.8717427 7:1.8658624 8:-1.7808932 9:1.2911555 10:-2.0831192 11:2.5895438 12:-1.5899704 13:3.0644054 14:270.27097 15:-6.0787992 16:5.125667 17:-0.5234252 18:-0.5891552 19:-5.8717427 20:1.8658624 21:-1.7808932 22:1.2911555 23:-2.0831192 24:2.5895438 25:-1.5899704 26:3.0644054 
2 1:273.603 2:-3.9307244 3:6.6559787 4:1.541578 5:2.1725457 6:-5.6947384 7:2.849562 8:-0.6229968 9:2.2646658 10:-1.8058838 11:2.4045784 12:-1.8868072 13:1.2591342 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:268.805 2:-7.0142307 3:4.9061317 4:1.2197249 5:2.2442734 6:-5.545392 7:2.0715399 8:-2.2324226 9:1.8068469 10:-0.3408078 11:2.654629 12:-3.413029 13:1.7047887 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:266.05243 2:-9.054179 3:4.8878036 4:1.1100498 5:0.573305 6:-5.990843 7:1.3689286 8:-1.7031443 9:0.14625451 10:-0.42737186 11:3.2620146 12:-2.8597095 13:1.9236503 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:265.66473 2:-10.343213 3:1.8578478 4:-1.0518824 5:0.61217797 6:-4.8363633 7:4.1474915 8:-0.108311765 9:1.631195 10:-0.7106971 11:3.1884575 12:-2.3870873 13:1.6642878 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:268.0934 2:-9.290086 3:5.487833 4:0.3817 5:0.3771876 6:-5.691336 7:1.374019 8:-0.6206898 9:2.6944275 10:-0.5345979 11:2.3641264 12:-2.1421258 13:0.96163064 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:275.8956 2:-4.426511 3:8.403741 4:1.3010466 5:-0.90826803 6:-3.8419797 7:4.393173 8:-0.7995469 9:2.1097143 10:-2.3794665 11:1.2430474 12:-2.3748672 13:2.2441971 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:271.41055 2:-5.576295 3:5.022293 4:-0.3479469 5:-0.30426306 6:-5.4584193 7:1.8949652 8:-2.4949996 9:3.3868632 10:-0.14250307 11:4.678481 12:-1.4468334 13:2.6168988 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:268.2232 2:-8.500247 3:6.0228596 4:0.9011963 5:-0.9013272 6:-6.9046 7:0.13828981 8:-4.305885 9:1.623154 10:-0.62349486 11:2.8779001 12:-0.80017066 13:2.592838 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:294.53564 2:3.3463619 3:11.071557 4:-0.4902044 5:-0.6279935 6:-2.6107657 7:5.0123215 8:-2.176012 9:0.80403304 10:-6.29515 11:0.6802854 12:-3.1943145 13:1.6690838 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
