1 1:244.31674 2:-4.6714835 3:5.1602354 4:-5.060285 5:-0.71886307 6:1.6107208 7:0.06420239 8:-6.085052 9:1.010835 10:-3.3670573 11:1.1533341 12:-1.2887824 13:0.54478836 14:244.31674 15:-4.6714835 16:5.1602354 17:-5.060285 18:-0.71886307 19:1.6107208 20:0.06420239 21:-6.085052 22:1.010835 23:-3.3670573 24:1.1533341 25:-1.2887824 26:0.54478836 
1 1:275.966 2:-5.408751 3:6.433443 4:-2.618299 5:0.5192633 6:-0.24661303 7:4.0819173 8:-2.0586627 9:1.1729842 10:-2.8810697 11:0.9770595 12:-1.8332752 13:1.1577688 14:275.966 15:-5.408751 16:6.433443 17:-2.618299 18:0.5192633 19:-0.24661303 20:4.0819173 21:-2.0586627 22:1.1729842 23:-2.8810697 24:0.9770595 25:-1.8332752 26:1.1577688 
1 1:273.68286 2:-7.9109273 3:4.823564 4:-3.1158519 5:-1.4939067 6:1.0421804 7:5.1164804 8:-3.6176474 9:1.7112226 10:-1.523426 11:0.80430603 12:-1.059589 13:0.8726391 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:278.34396 2:-10.815954 3:5.552115 4:-3.117814 5:-3.9967906 6:-1.144504 7:4.1121645 8:-1.6246284 9:3.0654848 10:-1.0462276 11:0.5452637 12:-1.0535268 13:0.79366815 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:291.7614 2:-8.32698 3:7.082906 4:-3.9217627 5:-2.2004461 6:0.6077047 7:2.9916909 8:-4.7932534 9:1.0184104 10:-1.6640288 11:1.4155583 12:0.34274894 13:-2.091409 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:293.58707 2:-6.7648416 3:7.3571754 4:-3.2799659 5:-4.860969 6:-1.309425 7:4.332239 8:-4.784872 9:0.6834138 10:-0.5128661 11:1.2824328 12:-0.90526384 13:0.7682041 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:369.39618 2:-2.7901106 3:8.119725 4:-2.064228 5:-6.147738 6:1.0583793 7:6.213895 8:-6.154883 9:2.7991288 10:-0.9341919 11:0.93456644 12:-0.706833 13:1.6408193 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:351.307 2:-0.6143358 3:9.434886 4:-2.3974125 5:-5.739535 6:2.0649438 7:8.072921 8:-5.20863 9:3.1413007 10:-1.3364626 11:0.82180554 12:-0.36322382 13:2.3936667 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:286.333 2:-4.4981637 3:8.396715 4:-1.64771 5:-4.7949524 6:-2.2576623 7:5.4842854 8:-1.6818118 9:2.0410347 10:-1.611448 11:1.2819651 12:-0.8750368 13:1.7712561 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:268.57095 2:-5.1126785 3:7.6398306 4:-2.3983576 5:1.2701361 6:-0.18663694 7:3.8707795 8:-0.10094844 9:2.234799 10:-3.2316802 11:1.818035 12:-2.9935865 13:1.0299747 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:266.16028 2:-3.938067 3:6.3275285 4:-4.129592 5:2.7761965 6:-0.14438705 7:1.6300187 8:-3.2367663 9:1.4136128 10:-1.7815187 11:4.808077 12:-0.22288752 13:2.0320258 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
