1 1:166.07382 2:-6.7572427 3:1.8468506 4:-4.7298417 5:0.02353681 6:0.932955 7:-0.14830844 8:-2.6065602 9:3.501879 10:-3.5335631 11:2.660609 12:-2.1396048 13:1.6796443 14:166.07382 15:-6.7572427 16:1.8468506 17:-4.7298417 18:0.02353681 19:0.932955 20:-0.14830844 21:-2.6065602 22:3.501879 23:-3.5335631 24:2.660609 25:-2.1396048 26:1.6796443 
1 1:271.68726 2:-7.369027 3:7.227068 4:0.008526084 5:1.7167544 6:-1.3732413 7:-0.38285112 8:-1.6237742 9:5.1381674 10:-1.2110435 11:-0.5474989 12:-4.757763 13:1.3186885 14:271.68726 15:-7.369027 16:7.227068 17:0.008526084 18:1.7167544 19:-1.3732413 20:-0.38285112 21:-1.6237742 22:5.1381674 23:-1.2110435 24:-0.5474989 25:-4.757763 26:1.3186885 
1 1:274.0556 2:-11.519935 3:10.142168 4:-1.8663232 5:3.308723 6:1.0722457 7:0.7897723 8:0.40692404 9:3.9112382 10:1.6681367 11:2.7796552 12:-1.6696588 13:2.2634308 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:278.21075 2:-8.8979645 3:8.7107935 4:-3.5655117 5:2.127912 6:2.1075273 7:1.2332225 8:1.3179083 9:4.627757 10:1.6524419 11:2.5948966 12:-3.2895129 13:1.1190281 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:285.73007 2:-10.215021 3:6.6565485 4:-2.6447546 5:2.1831846 6:0.37882078 7:2.8814652 8:0.4442284 9:2.2250476 10:2.1250389 11:2.408473 12:-4.181876 13:0.69803613 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:290.09067 2:-10.802958 3:3.935515 4:-3.8098838 5:1.8403109 6:-0.7993628 7:-0.2899791 8:1.2280557 9:3.1522474 10:-0.09937897 11:2.5717576 12:-1.487118 13:2.0154762 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:296.67886 2:-5.0528564 3:9.885854 4:-3.831563 5:-1.4835596 6:-0.37477633 7:0.59241706 8:1.0219287 9:5.500274 10:0.037259925 11:1.9032907 12:-4.3120427 13:0.6304126 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:265.124 2:-5.3354464 3:9.198698 4:0.7344585 5:3.126469 6:-0.12858479 7:3.3375263 8:-0.48008165 9:3.3405359 10:-1.3300475 11:0.897249 12:-3.7878358 13:1.4084208 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:274.72 2:-2.0851667 3:5.494179 4:-6.635133 5:1.8238524 6:0.33922318 7:3.788719 8:-0.82155913 9:3.4389477 10:-3.1735456 11:-0.2746359 12:-2.719025 13:1.5352526 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:276.4334 2:-1.3604925 3:5.1232176 4:-7.49297 5:1.213549 6:1.0440143 7:2.1568723 8:-3.8538563 9:1.7453475 10:-2.6258395 11:3.0472438 12:-2.6247263 13:1.2348174 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
1 1:310.61194 2:3.7091203 3:5.877172 4:-9.350993 5:3.0634587 6:6.7911034 7:2.1563747 8:-4.4736257 9:4.535121 10:-3.1232393 11:2.6346192 12:-2.1929805 13:1.8955913 14:95.324394 15:6.2130103 16:5.3112555 17:-1.1847792 18:0.9629843 19:0.17169026 20:1.6511968 21:-2.9128313 22:1.2106711 23:-0.33713317 24:2.2083564 25:-1.5781246 26:1.1434681 
