2 1:151.00452 2:-11.428388 3:7.2038074 4:-9.761589 5:0.55692136 6:-0.36098346 7:3.425963 8:0.49015602 9:-0.28006676 10:-1.5200689 11:-0.49302128 12:0.5290311 13:1.7119701 14:151.00452 15:-11.428388 16:7.2038074 17:-9.761589 18:0.55692136 19:-0.36098346 20:3.425963 21:0.49015602 22:-0.28006676 23:-1.5200689 24:-0.49302128 25:0.5290311 26:1.7119701 
2 1:279.31107 2:-4.710143 3:13.710864 4:-5.840282 5:1.436827 6:-4.398975 7:1.341157 8:-1.4778111 9:2.6435678 10:2.5465508 11:1.569473 12:-0.16671559 13:1.734019 14:279.31107 15:-4.710143 16:13.710864 17:-5.840282 18:1.436827 19:-4.398975 20:1.341157 21:-1.4778111 22:2.6435678 23:2.5465508 24:1.569473 25:-0.16671559 26:1.734019 
2 1:282.52356 2:-4.9125113 3:12.905772 4:-4.2028856 5:3.253706 6:-4.1017666 7:1.489188 8:-0.82856345 9:2.0941205 10:0.24731682 11:0.9225187 12:-1.1677126 13:1.7423713 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:290.28455 2:-4.80358 3:13.270368 4:-2.9415534 5:0.3336061 6:-3.8893929 7:2.3774457 8:1.6408242 9:2.0602453 10:1.570741 11:1.2890781 12:-2.578736 13:4.337806 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:288.7162 2:-5.4193964 3:8.688543 4:-4.5628757 5:0.340643 6:-5.420398 7:1.4268031 8:1.0771561 9:1.9081324 10:1.3480486 11:1.5066441 12:-0.95068884 13:3.3060966 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:290.4605 2:-6.2289667 3:9.576373 4:-2.9949527 5:0.7473713 6:-4.7692466 7:0.68445045 8:0.9459679 9:2.4883308 10:2.0877283 11:2.0382712 12:-2.3365006 13:3.3378963 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:296.3194 2:-4.9924297 3:9.477459 4:-2.958335 5:3.2295253 6:-4.0569882 7:1.4366189 8:-1.4312325 9:1.3171424 10:0.70648915 11:1.5662712 12:-2.788578 13:1.5836176 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:308.167 2:1.689896 3:11.509015 4:-1.9953643 5:5.80436 6:-3.8656178 7:2.5851717 8:-2.3131578 9:1.2033801 10:-1.248136 11:1.4660522 12:-4.6937094 13:0.09673139 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:298.73578 2:-5.160005 3:8.781162 4:-5.257674 5:0.38686672 6:-6.258171 7:2.1787977 8:1.4387574 9:3.3373635 10:-1.1304077 11:1.4067621 12:-2.2230527 13:3.110392 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:300.4751 2:-6.3043203 3:6.2915287 4:-4.5372257 5:2.3148966 6:-2.8960094 7:2.9784837 8:1.893414 9:3.0545163 10:-1.1309702 11:1.3366067 12:-3.300714 13:1.7365712 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:301.77563 2:-7.769393 3:7.295409 4:-7.3948374 5:2.1862128 6:-4.425511 7:1.3058406 8:1.717237 9:3.979529 10:1.8220699 11:1.7562115 12:-1.0930367 13:2.0641553 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:301.55518 2:-8.154732 3:7.0365844 4:-5.311771 5:4.6382303 6:-4.2058277 7:3.4459999 8:2.3800552 9:4.423553 10:1.7174951 11:2.404574 12:-2.1704514 13:-0.24518211 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:300.09778 2:-7.149307 3:5.3943224 4:-4.928519 5:1.530358 6:-5.6812143 7:1.2028555 8:0.4935728 9:2.7721236 10:1.1944424 11:3.0446508 12:-2.2290947 13:0.2544862 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:329.87802 2:-27.238117 3:15.358665 4:-0.21671087 5:-3.2618876 6:-1.7794973 7:-4.622001 8:1.5868201 9:0.47864285 10:0.900882 11:1.4269769 12:-2.9605246 13:1.9389889 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:314.35846 2:-16.55268 3:13.176898 4:-1.4017313 5:0.28196228 6:0.25167894 7:-2.4429336 8:2.58475 9:0.6008869 10:0.46482 11:1.9105642 12:-2.809127 13:3.3113604 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:301.02023 2:-5.9668655 3:9.034214 4:-2.1879356 5:4.8026843 6:-1.9825944 7:2.558025 8:1.9573694 9:4.3797216 10:0.30596158 11:4.1696424 12:-2.8905385 13:1.6352553 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:304.351 2:-6.657346 3:8.571712 4:-3.3277376 5:2.932329 6:-4.083096 7:-0.1723965 8:-0.7652185 9:1.1990902 10:-0.89248365 11:3.3092577 12:-4.265882 13:1.1537455 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:302.9212 2:-5.0645885 3:9.82706 4:-3.0259137 5:1.960272 6:-4.7358804 7:-0.64984876 8:0.61715513 9:1.2925893 10:-2.2750714 11:1.5192252 12:-5.17219 13:0.8492106 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:299.6613 2:-8.28669 3:8.785343 4:-4.345197 5:2.7936952 6:-1.9393966 7:-0.089834176 8:2.1436548 9:2.0824275 10:-1.8007315 11:2.996473 12:-3.41769 13:1.3569137 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:299.36087 2:-7.14697 3:11.08762 4:-4.5517616 5:3.3880851 6:-0.2121714 7:1.4177727 8:2.6722257 9:3.1132069 10:-1.7130678 11:2.5685968 12:-3.064988 13:1.4378976 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:295.9098 2:-7.8068585 3:10.51648 4:-7.28211 5:-0.9767721 6:-0.11285791 7:0.5120366 8:1.9532881 9:4.5364647 10:0.5165833 11:4.3540072 12:-1.5803435 13:0.073268324 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:297.33084 2:-6.314696 3:10.653048 4:-5.540827 5:1.8909801 6:-0.53565854 7:1.2110286 8:2.394973 9:2.2038045 10:-1.3512696 11:1.7713207 12:-3.2391796 13:1.5747256 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:301.8708 2:-13.600948 3:13.207845 4:-4.1371245 5:-0.6842307 6:-1.4466691 7:1.9582329 8:-0.2475269 9:1.7497672 10:0.29431733 11:2.4003646 12:-1.2315274 13:0.5538781 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:311.1439 2:-24.590702 3:13.961652 4:-1.4200864 5:-2.495136 6:-2.470812 7:3.4688258 8:0.0564263 9:0.87636954 10:0.92808163 11:2.6929772 12:0.21629018 13:0.31391937 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:281.43198 2:-8.004743 3:12.249793 4:-3.5639505 5:-2.9402907 6:0.72875965 7:1.8063465 8:-0.7894024 9:2.9435072 10:-2.8440468 11:4.335462 12:-2.2142718 13:1.825717 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:276.71054 2:-6.1496763 3:11.610314 4:-2.6992843 5:-1.5563537 6:-0.4570863 7:1.5733043 8:-1.0537201 9:4.6728935 10:-2.1016374 11:4.0584493 12:-0.4049247 13:1.6945415 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:273.52756 2:-3.668568 3:9.596017 4:-1.9082046 5:0.9769693 6:-3.6060557 7:0.73529136 8:-0.42281345 9:3.375084 10:-2.3735206 11:3.1018665 12:0.4682318 13:3.2573109 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:281.36978 2:-10.718993 3:8.705425 4:-1.5894506 5:2.6903152 6:-2.9284332 7:-1.324296 8:1.6201506 9:4.087267 10:-0.28599465 11:2.3032207 12:-1.7824041 13:0.9502072 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:292.66684 2:-2.7752872 3:11.039136 4:0.47220236 5:9.252225 6:-3.9432676 7:0.30826285 8:-2.1106231 9:2.5094779 10:-3.0817382 11:0.41445708 12:-0.2926637 13:1.8876995 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:284.1218 2:-5.5370264 3:12.7822895 4:1.4312005 5:1.9143378 6:-1.9058871 7:1.7136472 8:-0.89480346 9:5.622311 10:-2.0704503 11:-0.44300085 12:0.06479865 13:1.0618513 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:282.0062 2:-6.2697067 3:10.175499 4:-3.278278 5:2.3258302 6:-1.0224929 7:1.7614288 8:-1.410558 9:1.1762462 10:-2.1992106 11:-0.13233991 12:-1.3134981 13:0.1470873 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:273.78052 2:-5.3064775 3:12.671409 4:-3.6220589 5:-0.15466754 6:-2.8482258 7:2.063254 8:-0.03559721 9:2.5969982 10:-1.1720456 11:0.58193153 12:-1.944994 13:1.0592327 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:264.65787 2:-7.945497 3:10.909081 4:-0.6795519 5:-0.96521556 6:-3.1762748 7:3.2640204 8:1.1608 9:3.890867 10:0.6717516 11:0.9292412 12:-1.7111338 13:3.0838828 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:260.83084 2:-6.7279034 3:9.6315155 4:-2.8534884 5:-1.5564831 6:-3.8775883 7:1.914274 8:-0.12751707 9:2.861058 10:-1.2545675 11:1.2617058 12:-0.9352583 13:3.1116674 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:265.7277 2:-2.1527338 3:11.780025 4:-2.8929405 5:-0.9376341 6:-1.7432678 7:3.581348 8:0.06213643 9:3.7148688 10:-1.4914117 11:1.6410859 12:-3.3449907 13:1.9009798 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:265.11072 2:-0.3730226 3:11.643086 4:-2.4068084 5:-0.84732187 6:-2.999052 7:3.7326393 8:-1.3443531 9:3.1572106 10:-2.0475864 11:0.86021477 12:-2.9642463 13:2.949633 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:263.33078 2:-0.3722971 3:12.851847 4:-3.3175497 5:-1.2734061 6:-3.3741324 7:1.923731 8:-0.21654192 9:3.1355789 10:-2.609836 11:1.2627953 12:-2.6314006 13:3.1661339 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:265.13522 2:-1.577719 3:10.985022 4:-2.4362419 5:1.8050662 6:-2.2270203 7:2.8141959 8:0.12699662 9:4.9768386 10:-0.34536707 11:2.1843424 12:-1.0639693 13:3.1780295 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:266.91656 2:-2.8776772 3:9.653909 4:-2.2188275 5:2.0833101 6:-2.3879375 7:3.665479 8:1.5821497 9:5.8864284 10:-1.8351029 11:0.96322715 12:-2.745331 13:2.2197921 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
