2 1:261.38403 2:-13.304373 3:13.58214 4:-0.5961012 5:-2.194461 6:-1.3014178 7:0.14044687 8:-3.0232267 9:2.5966275 10:1.7192539 11:4.7865887 12:-0.16711569 13:-0.31420597 14:261.38403 15:-13.304373 16:13.58214 17:-0.5961012 18:-2.194461 19:-1.3014178 20:0.14044687 21:-3.0232267 22:2.5966275 23:1.7192539 24:4.7865887 25:-0.16711569 26:-0.31420597 
2 1:305.5845 2:-7.29223 3:7.5701833 4:3.2173991 5:1.4208722 6:1.7769117 7:6.536105 8:-0.3779795 9:3.833684 10:-5.8842034 11:0.13044053 12:-3.6103494 13:3.2779067 14:305.5845 15:-7.29223 16:7.5701833 17:3.2173991 18:1.4208722 19:1.7769117 20:6.536105 21:-0.3779795 22:3.833684 23:-5.8842034 24:0.13044053 25:-3.6103494 26:3.2779067 
2 1:284.251 2:-11.734078 3:7.7433386 4:1.7494302 5:-3.5687268 6:-2.8749096 7:5.8026757 8:-0.032743946 9:3.11216 10:-0.4064119 11:0.4079495 12:0.019162212 13:1.2166624 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:303.0877 2:-12.681631 3:-0.014344096 4:-2.1653183 5:2.115901 6:0.5824549 7:2.672839 8:-3.5746703 9:3.1622458 10:2.0369313 11:1.6011775 12:-3.7584996 13:1.928138 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:290.51553 2:-13.663497 3:3.0156116 4:-1.1495141 5:-1.8666004 6:-0.5628803 7:5.1356173 8:-1.8847928 9:1.1607983 10:-0.4362478 11:0.43507746 12:-0.76567465 13:1.2965223 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:283.75906 2:-12.343572 3:5.533522 4:1.1794599 5:-2.3325865 6:-2.495893 7:3.7094407 8:-1.9948229 9:-0.01969349 10:-2.991084 11:0.5937458 12:2.251666 13:2.8740165 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:288.99045 2:-7.0528474 3:3.3822255 4:-2.5638144 5:-1.5641456 6:-1.5865898 7:5.2936897 8:-2.5554304 9:0.04888024 10:-2.8485398 11:0.9148032 12:0.79735535 13:3.5317154 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:284.81192 2:-7.868255 3:3.664398 4:-3.2699955 5:-1.7401286 6:-1.5969262 7:4.346566 8:-3.3780913 9:1.5539196 10:-2.1461358 11:-0.0053351875 12:-0.6405294 13:1.2510301 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:311.4353 2:-8.341193 3:9.349185 4:-2.1568468 5:-5.3747077 6:-1.9663119 7:4.81401 8:-2.7210588 9:0.144427 10:-2.3390725 11:1.6433476 12:1.8114359 13:1.504434 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:298.62775 2:-2.5844946 3:8.767521 4:-3.030447 5:-1.8513454 6:-1.575158 7:4.099432 8:-3.261439 9:0.8560904 10:-2.9365983 11:0.21981479 12:0.12181927 13:2.4032524 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:305.65652 2:1.0263617 3:13.942672 4:2.0870025 5:-2.612703 6:-1.0327325 7:6.661538 8:-4.3551407 9:1.5871271 10:-4.7252555 11:0.9845628 12:0.76879 13:2.9934664 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
