2 1:168.2124 2:-7.091286 3:8.845947 4:-0.00827379 5:0.04459146 6:-6.210039 7:4.499904 8:-1.2735933 9:-3.5519812 10:-2.3605723 11:1.3455315 12:-4.586594 13:0.3281515 14:168.2124 15:-7.091286 16:8.845947 17:-0.00827379 18:0.04459146 19:-6.210039 20:4.499904 21:-1.2735933 22:-3.5519812 23:-2.3605723 24:1.3455315 25:-4.586594 26:0.3281515 
2 1:263.25266 2:-9.353041 3:4.9075885 4:1.1299741 5:0.6542604 6:-4.0761995 7:3.6655746 8:-1.5189842 9:1.866657 10:0.5827776 11:4.4765487 12:-2.5143344 13:1.5449756 14:263.25266 15:-9.353041 16:4.9075885 17:1.1299741 18:0.6542604 19:-4.0761995 20:3.6655746 21:-1.5189842 22:1.866657 23:0.5827776 24:4.4765487 25:-2.5143344 26:1.5449756 
2 1:265.0017 2:-8.265147 3:4.9254417 4:1.1777055 5:1.5796623 6:-6.62835 7:1.3341111 8:-1.2357576 9:3.149947 10:0.75141996 11:4.227921 12:-2.2970176 13:1.7538139 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:261.8232 2:-9.295388 3:4.3732834 4:1.8521811 5:3.4400878 6:-3.9615517 7:3.493557 8:0.43177855 9:3.7039826 10:1.507532 11:3.8032463 12:-1.5842553 13:2.738817 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:258.16122 2:-12.153409 3:3.3269515 4:1.415165 5:2.419595 6:-5.583848 7:1.9653336 8:-0.7439584 9:1.394729 10:-0.8207748 11:3.6130936 12:-0.72547954 13:2.269576 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:261.52066 2:-8.48013 3:6.023952 4:2.5291057 5:2.4579499 6:-6.2870774 7:1.7049011 8:-1.7119515 9:1.7861476 10:-1.982838 11:0.91934556 12:-4.540777 13:1.1151944 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:262.16776 2:-9.147517 3:6.1125994 4:2.1219027 5:2.6400743 6:-5.193345 7:2.5499012 8:0.4152858 9:2.3038263 10:-0.27229503 11:2.2802634 12:-2.8144598 13:1.4486059 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:261.69025 2:-9.924887 3:3.8852136 4:1.1335989 5:1.2815384 6:-5.963149 7:1.4609137 8:-1.019331 9:1.81089 10:-1.4717374 11:3.2186613 12:-2.396462 13:0.8723226 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:259.14053 2:-10.897599 3:2.8415928 4:-0.00850854 5:1.7333612 6:-6.0475926 7:1.12059 8:-0.85477084 9:1.8482372 10:-0.79098547 11:3.8190541 12:-0.6685599 13:2.9287944 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:259.5594 2:-9.997186 3:4.65241 4:2.481018 5:3.8596544 6:-4.3705955 7:2.574624 8:-0.3812923 9:2.9165955 10:0.4079667 11:3.74676 12:-2.1510954 13:2.8546503 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:266.9257 2:-3.6784604 3:7.6965995 4:2.048193 5:2.5767412 6:-6.265127 7:2.6501262 8:0.28038752 9:2.4911811 10:0.5492257 11:3.488877 12:-3.7742143 13:2.092922 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
