1 1:131.7571 2:-17.56586 3:3.5875971 4:-3.324428 5:-2.0813758 6:1.3178557 7:-0.70845973 8:-0.98386085 9:0.8493486 10:-1.3594604 11:2.737694 12:-3.64098 13:1.8380052 14:131.7571 15:-17.56586 16:3.5875971 17:-3.324428 18:-2.0813758 19:1.3178557 20:-0.70845973 21:-0.98386085 22:0.8493486 23:-1.3594604 24:2.737694 25:-3.64098 26:1.8380052 
1 1:260.81186 2:-4.9429493 3:8.501251 4:8.7146374E-4 5:0.17106847 6:-1.6877356 7:2.922406 8:-0.9173065 9:2.5628834 10:-2.188739 11:2.3790615 12:-2.991384 13:1.5751702 14:260.81186 15:-4.9429493 16:8.501251 17:8.7146374E-4 18:0.17106847 19:-1.6877356 20:2.922406 21:-0.9173065 22:2.5628834 23:-2.188739 24:2.3790615 25:-2.991384 26:1.5751702 
1 1:260.7882 2:-5.6251044 3:6.673365 4:-2.4949203 5:0.45817077 6:-1.0710986 7:2.6931167 8:-1.6432359 9:0.9855157 10:-4.120663 11:2.027986 12:-0.88406044 13:1.4029977 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:258.41602 2:-7.2560053 3:7.8409834 4:-1.2679247 5:1.7318058 6:-0.1714804 7:2.3432124 8:-0.54152817 9:2.221521 10:-2.4309304 11:2.1759346 12:-2.5966656 13:1.3581461 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:261.36435 2:-5.863689 3:8.181498 4:-2.2561882 5:0.8949129 6:-1.5085652 7:3.4854774 8:-0.54694444 9:3.1214478 10:-0.7382568 11:2.086615 12:-1.9289681 13:2.4129705 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:264.2907 2:-2.7734332 3:8.168344 4:-0.7123156 5:4.1117644 6:0.7748463 7:5.0571737 8:-0.55693585 9:1.9400752 10:-2.8813763 11:2.0715082 12:-3.2766087 13:1.9815944 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:274.26807 2:-2.0838616 3:6.394976 4:-6.6573687 5:-1.1304693 6:-1.1458684 7:4.205438 8:-0.7570494 9:2.6345599 10:-1.9756467 11:1.5525781 12:-3.8021395 13:2.2194383 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:263.66483 2:-2.5123942 3:10.427136 4:-0.41170788 5:1.6049395 6:-1.3776938 7:3.6533828 8:-1.0056183 9:3.2323763 10:-1.170652 11:3.736533 12:-1.0277219 13:3.5630903 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:260.90305 2:-5.8636456 3:7.4724 4:1.2564058 5:3.82082 6:-1.1809955 7:2.5520475 8:-2.140522 9:2.3510566 10:-0.83612067 11:3.4476328 12:-1.1451751 13:1.5131922 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:267.37195 2:-2.0347404 3:11.770555 4:1.5656785 5:2.5654013 6:-1.5561413 7:2.294293 8:-1.6035948 9:2.6063426 10:-2.246511 11:2.5559454 12:-2.2143369 13:0.5491534 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:268.55377 2:-3.6626859 3:7.651087 4:-3.0664136 5:1.1830148 6:-1.2965769 7:2.6297152 8:-0.7756614 9:2.421903 10:-1.7787718 11:2.6843479 12:-1.7300693 13:0.4356123 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
