1 1:171.37263 2:-11.399874 3:4.56161 4:3.7537115 5:1.9719439 6:-4.0337176 7:4.3374853 8:1.2435187 9:2.8817248 10:-4.0888767 11:1.7601479 12:-3.813587 13:0.28386825 14:171.37263 15:-11.399874 16:4.56161 17:3.7537115 18:1.9719439 19:-4.0337176 20:4.3374853 21:1.2435187 22:2.8817248 23:-4.0888767 24:1.7601479 25:-3.813587 26:0.28386825 
1 1:262.92502 2:-8.301676 3:3.705778 4:-0.066117354 5:2.3157268 6:-4.9281616 7:2.4581532 8:-2.0638292 9:1.5471283 10:0.26870435 11:3.2280345 12:-2.8666258 13:2.0429347 14:262.92502 15:-8.301676 16:3.705778 17:-0.066117354 18:2.3157268 19:-4.9281616 20:2.4581532 21:-2.0638292 22:1.5471283 23:0.26870435 24:3.2280345 25:-2.8666258 26:2.0429347 
1 1:264.54117 2:-7.29949 3:4.470373 4:-0.16778012 5:0.14679627 6:-6.8966317 7:0.7988719 8:-1.6176231 9:1.7252035 10:-0.0047526327 11:3.0276847 12:-3.2453115 13:2.7973902 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:263.9937 2:-6.0821624 3:4.85533 4:-1.114772 5:1.4673591 6:-7.156659 7:1.7989321 8:-1.6272407 9:0.6837022 10:-1.1285061 11:1.7292742 12:-3.2176592 13:0.983414 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:264.76913 2:-5.4873343 3:5.8985667 4:0.99233 5:2.457825 6:-5.6779513 7:0.7724768 8:-2.2993875 9:1.6577684 10:-0.46527788 11:2.990225 12:-4.180387 13:1.4456497 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:263.6435 2:-6.248408 3:5.5833716 4:2.0598605 5:2.6916811 6:-6.389279 7:2.048857 8:-1.3727882 9:2.648523 10:0.37208405 11:2.7566922 12:-4.525374 13:1.8797911 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:265.76984 2:-7.607207 3:4.5247912 4:-0.5299787 5:-0.69811726 6:-7.349313 7:2.1029086 8:-1.3917202 9:1.2366208 10:-0.1889606 11:2.5573597 12:-2.4010997 13:2.7584486 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:265.7215 2:-6.7057858 3:5.2118826 4:1.0203251 5:-0.4814079 6:-6.866727 7:1.881258 8:-0.26928025 9:3.078412 10:0.32356218 11:3.428984 12:-3.9914436 13:1.1007048 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:265.85132 2:-7.7969522 3:5.1410947 4:1.2686417 5:2.6347036 6:-5.0838246 7:3.1321952 8:-0.6063478 9:0.95044255 10:-0.3350304 11:3.3825848 12:-2.8628645 13:1.1605434 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:263.7683 2:-9.885435 3:3.454801 4:2.2436957 5:2.7872438 6:-4.776488 7:4.2701964 8:0.4260112 9:1.8091459 10:0.10160209 11:2.5868444 12:-5.2174053 13:0.56854826 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:261.84628 2:-8.767632 3:5.28039 4:2.5140996 5:2.9434369 6:-5.2935495 7:2.5572777 8:-1.0303831 9:0.22028786 10:-0.92103076 11:2.8033986 12:-4.5653453 13:1.1703725 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
