1 1:152.07396 2:-15.931737 3:0.9390907 4:1.4321278 5:1.2970653 6:-5.9124837 7:5.102197 8:2.212881 9:0.69942766 10:-1.2283453 11:-0.80121875 12:-5.1360817 13:1.42183 14:152.07396 15:-15.931737 16:0.9390907 17:1.4321278 18:1.2970653 19:-5.9124837 20:5.102197 21:2.212881 22:0.69942766 23:-1.2283453 24:-0.80121875 25:-5.1360817 26:1.42183 
1 1:273.87234 2:-18.6795 3:7.42584 4:-1.1061646 5:-0.6018386 6:-2.9099703 7:2.3722258 8:1.0824323 9:1.1475687 10:0.51991427 11:1.6686617 12:-2.352892 13:0.2583344 14:273.87234 15:-18.6795 16:7.42584 17:-1.1061646 18:-0.6018386 19:-2.9099703 20:2.3722258 21:1.0824323 22:1.1475687 23:0.51991427 24:1.6686617 25:-2.352892 26:0.2583344 
1 1:270.27393 2:-11.152763 3:5.6030264 4:-0.9150858 5:-0.7633233 6:-7.072923 7:2.5560079 8:-0.20410028 9:1.5545999 10:-0.4029318 11:3.1064012 12:-1.614683 13:1.9552423 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:267.4128 2:-9.788476 3:5.3716063 4:1.736426 5:2.6132832 6:-5.9299464 7:2.7501824 8:-0.98126245 9:0.43660468 10:-0.22942844 11:3.327711 12:-1.6336639 13:2.57311 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:284.36206 2:-7.350198 3:6.0178885 4:-2.910755 5:-0.49496523 6:-4.775223 7:2.7678225 8:-0.7631428 9:-0.46123412 10:-2.5839586 11:3.0047228 12:-1.9833479 13:1.8868065 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:287.88055 2:-15.353932 3:6.876861 4:1.6652124 5:1.4037706 6:-3.9479618 7:3.3117454 8:2.4219615 9:0.5286244 10:-1.8596092 11:3.392444 12:-2.1117423 13:1.7264404 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:269.9292 2:-7.1211867 3:5.1177015 4:-0.1578588 5:1.3367995 6:-5.1133485 7:3.3105469 8:-1.6862501 9:-1.1208028 10:-2.205701 11:1.8378041 12:-3.5291412 13:0.8419485 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:272.2939 2:-6.866149 3:6.880821 4:-1.4238765 5:0.41690424 6:-4.5874233 7:3.9244075 8:-0.6936505 9:-1.0826632 10:-1.8871173 11:2.2829537 12:-2.7007613 13:0.86904085 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:269.60065 2:-6.5735846 3:2.9356477 4:-1.7511501 5:-0.04298289 6:-5.7964673 7:2.7570605 8:-1.9198015 9:0.22837271 10:-2.3562477 11:2.2306035 12:-3.7324076 13:0.26514342 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:270.49805 2:-5.774904 3:3.2471824 4:-1.5062414 5:0.037216607 6:-5.484557 7:4.8099465 8:-0.847593 9:0.96427137 10:-1.5402497 11:3.3043785 12:-1.7577012 13:1.8865855 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:265.8237 2:-6.4659123 3:5.831932 4:1.8919439 5:3.0030823 6:-4.044631 7:2.3929944 8:-1.8357588 9:0.9395186 10:-0.8019222 11:2.8642216 12:-3.3943202 13:1.3175062 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
