1 1:229.98874 2:-8.678834 3:5.430875 4:1.7234381 5:1.5976043 6:-5.5903344 7:1.7877029 8:-2.7039306 9:1.1173096 10:-0.025756044 11:4.6734023 12:-4.0307746 13:1.1586896 14:229.98874 15:-8.678834 16:5.430875 17:1.7234381 18:1.5976043 19:-5.5903344 20:1.7877029 21:-2.7039306 22:1.1173096 23:-0.025756044 24:4.6734023 25:-4.0307746 26:1.1586896 
1 1:266.32193 2:-8.250635 3:3.9050364 4:0.7319932 5:1.5154617 6:-6.304266 7:2.898833 8:-1.7515755 9:1.9544038 10:0.18004304 11:2.6355674 12:-4.1330113 13:1.8085837 14:266.32193 15:-8.250635 16:3.9050364 17:0.7319932 18:1.5154617 19:-6.304266 20:2.898833 21:-1.7515755 22:1.9544038 23:0.18004304 24:2.6355674 25:-4.1330113 26:1.8085837 
1 1:266.85568 2:-7.736122 3:3.1338513 4:0.4026495 5:2.6549013 6:-4.9410477 7:2.7435696 8:-0.58980036 9:2.7494402 10:0.48573247 11:3.4927156 12:-3.0203698 13:1.813098 14:100.733475 15:5.6806445 16:3.12623 17:-1.1495618 18:2.6166756 19:1.0265228 20:2.3682785 21:-0.8922419 22:1.9847652 23:-1.9889656 24:2.1553175 25:-0.8853134 26:1.4703982 
1 1:266.2605 2:-7.305254 3:4.871014 4:2.751775 5:2.3951943 6:-5.1470428 7:2.7209382 8:-3.3930397 9:0.53354836 10:-1.2261366 11:3.5007503 12:-2.235833 13:2.455599 14:100.733475 15:5.6806445 16:3.12623 17:-1.1495618 18:2.6166756 19:1.0265228 20:2.3682785 21:-0.8922419 22:1.9847652 23:-1.9889656 24:2.1553175 25:-0.8853134 26:1.4703982 
1 1:265.36182 2:-6.9374638 3:4.831327 4:1.4695518 5:2.4232013 6:-4.8667226 7:1.9022094 8:-1.2435274 9:3.3159688 10:0.9769295 11:4.385641 12:-2.4372482 13:3.2576587 14:100.733475 15:5.6806445 16:3.12623 17:-1.1495618 18:2.6166756 19:1.0265228 20:2.3682785 21:-0.8922419 22:1.9847652 23:-1.9889656 24:2.1553175 25:-0.8853134 26:1.4703982 
1 1:264.32196 2:-8.852116 3:3.0861585 4:1.885513 5:2.6951382 6:-5.2947364 7:3.8288996 8:-0.9183096 9:2.427327 10:0.05984618 11:3.0420787 12:-2.6738074 13:1.8740479 14:100.733475 15:5.6806445 16:3.12623 17:-1.1495618 18:2.6166756 19:1.0265228 20:2.3682785 21:-0.8922419 22:1.9847652 23:-1.9889656 24:2.1553175 25:-0.8853134 26:1.4703982 
1 1:262.31854 2:-9.322405 3:3.071982 4:1.6890693 5:1.2265675 6:-5.0074487 7:2.7743452 8:-2.8102546 9:0.053271506 10:-1.480782 11:4.6308084 12:-1.9579924 13:3.2750006 14:100.733475 15:5.6806445 16:3.12623 17:-1.1495618 18:2.6166756 19:1.0265228 20:2.3682785 21:-0.8922419 22:1.9847652 23:-1.9889656 24:2.1553175 25:-0.8853134 26:1.4703982 
1 1:261.7725 2:-9.930791 3:3.8687086 4:2.6127865 5:3.5928886 6:-4.7223744 7:2.3984911 8:-2.7025146 9:0.1492989 10:-1.5060734 11:1.4107792 12:-4.8356237 13:0.90841526 14:100.733475 15:5.6806445 16:3.12623 17:-1.1495618 18:2.6166756 19:1.0265228 20:2.3682785 21:-0.8922419 22:1.9847652 23:-1.9889656 24:2.1553175 25:-0.8853134 26:1.4703982 
1 1:261.49515 2:-11.03081 3:1.3310477 4:-0.09874635 5:0.45524442 6:-6.3435397 7:2.5118902 8:-1.9418463 9:1.5967249 10:1.2405775 11:4.551399 12:-2.259109 13:2.522983 14:100.733475 15:5.6806445 16:3.12623 17:-1.1495618 18:2.6166756 19:1.0265228 20:2.3682785 21:-0.8922419 22:1.9847652 23:-1.9889656 24:2.1553175 25:-0.8853134 26:1.4703982 
1 1:264.12073 2:-8.823651 3:2.7289212 4:0.2649732 5:-0.4052161 6:-5.6699615 7:1.851283 8:-2.1981552 9:1.6351317 10:0.18717295 11:3.708582 12:-4.2353296 13:1.7090749 14:100.733475 15:5.6806445 16:3.12623 17:-1.1495618 18:2.6166756 19:1.0265228 20:2.3682785 21:-0.8922419 22:1.9847652 23:-1.9889656 24:2.1553175 25:-0.8853134 26:1.4703982 
1 1:262.23776 2:-9.489961 3:3.9337184 4:2.0516508 5:3.6626575 6:-3.7462862 7:4.2399626 8:0.41968775 9:3.2177162 10:0.5667759 11:2.853414 12:-4.6435366 13:1.0463499 14:100.733475 15:5.6806445 16:3.12623 17:-1.1495618 18:2.6166756 19:1.0265228 20:2.3682785 21:-0.8922419 22:1.9847652 23:-1.9889656 24:2.1553175 25:-0.8853134 26:1.4703982 
