2 1:141.5093 2:-10.5918255 3:1.1495649 4:-1.3587496 5:-1.7914547 6:-8.647526 7:2.684595 8:-0.21338435 9:-0.06839801 10:-0.4429205 11:0.9620237 12:-4.425937 13:2.3968463 14:141.5093 15:-10.5918255 16:1.1495649 17:-1.3587496 18:-1.7914547 19:-8.647526 20:2.684595 21:-0.21338435 22:-0.06839801 23:-0.4429205 24:0.9620237 25:-4.425937 26:2.3968463 
2 1:259.50394 2:-10.082045 3:2.536513 4:-0.6462511 5:1.9947759 6:-5.1112967 7:3.133431 8:-1.2130963 9:1.86399 10:1.0163558 11:2.723577 12:-3.2027376 13:2.4219737 14:259.50394 15:-10.082045 16:2.536513 17:-0.6462511 18:1.9947759 19:-5.1112967 20:3.133431 21:-1.2130963 22:1.86399 23:1.0163558 24:2.723577 25:-3.2027376 26:2.4219737 
2 1:262.48572 2:-8.437233 3:4.937174 4:1.5750856 5:2.7923505 6:-4.8026023 7:2.6594975 8:-0.5781356 9:2.465151 10:0.009512428 11:1.6885124 12:-5.4039755 13:1.8549279 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:262.0488 2:-9.260682 3:5.045195 4:1.910614 5:3.0525436 6:-4.393862 7:2.5510998 8:-1.4321388 9:1.8818727 10:-1.0244238 11:1.7267318 12:-4.418122 13:2.289216 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:260.03183 2:-9.671168 3:3.3938923 4:1.2054706 5:1.6815622 6:-4.8082848 7:2.6781454 8:-2.2708983 9:2.2582152 10:0.88224727 11:1.7075406 12:-5.065274 13:1.7195756 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:261.48557 2:-7.961448 3:3.3439732 4:1.3014476 5:3.8779316 6:-4.620139 7:3.2301056 8:-3.0049355 9:0.92904747 10:-0.030172253 11:1.40158 12:-5.1906667 13:0.26488256 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:261.00336 2:-8.56555 3:4.255519 4:1.390049 5:3.2996645 6:-4.4155684 7:3.100262 8:-1.104093 9:1.9818403 10:-0.8623627 11:1.7231798 12:-4.9155927 13:0.9704311 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:262.57007 2:-8.707719 3:2.2386749 4:-0.5283753 5:1.6763268 6:-5.9359274 7:2.492553 8:-0.9028336 9:2.1352146 10:-0.20459417 11:2.1722398 12:-3.142681 13:2.7411973 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:259.96097 2:-9.416596 3:2.7160711 4:-0.63958436 5:0.64056027 6:-5.51327 7:2.731079 8:-1.7014511 9:1.6410089 10:0.068044245 11:1.4153472 12:-5.640759 13:1.5390718 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:262.22763 2:-9.411762 3:4.1249194 4:1.4462231 5:1.7740059 6:-5.645473 7:2.1420417 8:-0.60226274 9:2.545787 10:0.79286826 11:2.259841 12:-5.644029 13:0.7697762 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:258.9979 2:-10.208408 3:2.1634011 4:0.8927695 5:2.0961463 6:-5.419164 7:2.6930172 8:-1.9131689 9:1.4719374 10:0.36352038 11:2.232885 12:-3.619508 13:2.6034834 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
