2 1:231.70787 2:-24.763815 3:10.265463 4:2.6631827 5:-2.8227556 6:-0.4353025 7:-2.981942 8:-3.3589978 9:0.16274989 10:-0.6136736 11:1.9672465 12:-2.319122 13:1.6990545 14:231.70787 15:-24.763815 16:10.265463 17:2.6631827 18:-2.8227556 19:-0.4353025 20:-2.981942 21:-3.3589978 22:0.16274989 23:-0.6136736 24:1.9672465 25:-2.319122 26:1.6990545 
2 1:282.98645 2:-21.025757 3:7.561074 4:1.3940893 5:2.348827 6:-0.516576 7:2.9244635 8:0.5939372 9:1.9553564 10:0.98272264 11:1.5774206 12:-0.83905643 13:0.61582947 14:282.98645 15:-21.025757 16:7.561074 17:1.3940893 18:2.348827 19:-0.516576 20:2.9244635 21:0.5939372 22:1.9553564 23:0.98272264 24:1.5774206 25:-0.83905643 26:0.61582947 
2 1:276.97327 2:-20.156055 3:6.9368353 4:0.57821554 5:-1.215528 6:-3.325051 7:-0.71176153 8:-0.5862425 9:3.1308603 10:0.450987 11:2.9362526 12:-2.3306568 13:0.55998635 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:275.53952 2:-18.11323 3:6.759327 4:2.1676219 5:-1.3161962 6:-1.6756383 7:-0.6550664 8:-3.0497706 9:1.8854227 10:-0.43356884 11:5.834874 12:-1.9517655 13:2.01604 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:267.14548 2:-9.78308 3:3.2321427 4:0.28323475 5:0.8609943 6:-5.010862 7:2.5854516 8:-1.0767193 9:1.9014995 10:0.5514638 11:5.0642705 12:-2.7694917 13:2.4894261 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:266.3465 2:-9.348366 3:1.8738356 4:-1.2104626 5:1.1693813 6:-3.7971694 7:4.328178 8:-1.8302382 9:0.07176862 10:-1.5405668 11:3.709461 12:-3.3128197 13:1.1395978 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:269.94586 2:-7.983252 3:1.0245904 4:-0.6303954 5:-0.100155905 6:-5.6259456 7:4.071082 8:-2.4754202 9:3.0133922 10:1.0091629 11:2.3327136 12:-3.5793958 13:1.6488836 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:271.19073 2:-7.1110587 3:2.420989 4:-0.5264364 5:1.2330348 6:-2.6986053 7:4.300198 8:-4.1534615 9:1.2155324 10:-0.93530536 11:1.361145 12:-4.079233 13:0.7630984 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:270.69788 2:-5.78441 3:2.558961 4:-1.5507551 5:0.27142078 6:-3.5626268 7:5.2582464 8:-1.1299205 9:1.5670121 10:-0.40906474 11:4.0274444 12:-2.6570973 13:3.4943638 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:265.66702 2:-7.4569306 3:3.6180615 4:1.3313104 5:2.6372855 6:-4.328881 7:4.9701724 8:-2.2140362 9:-0.11159077 10:-0.7691062 11:2.7503288 12:-3.9911718 13:0.9945141 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:263.12662 2:-9.345164 3:4.075841 4:1.7206488 5:4.3296537 6:-4.798926 7:3.1577568 8:-0.5451708 9:3.728061 10:1.3699489 11:4.1429563 12:-2.5166326 13:0.47897965 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:262.95712 2:-8.627005 3:3.3066833 4:1.6893167 5:3.715124 6:-4.3573833 7:3.6587324 8:-0.10755771 9:2.3187368 10:0.7357818 11:5.018259 12:-2.4609232 13:1.7692306 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:263.5912 2:-9.212035 3:3.8282878 4:-0.6868497 5:2.8049407 6:-4.515748 7:2.1539903 8:0.0014585821 9:2.2560165 10:0.89833295 11:4.755259 12:-2.1297216 13:1.2579005 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
