2 1:247.98822 2:-8.01844 3:1.3719931 4:-0.47511485 5:2.1354587 6:-4.1173363 7:4.0003915 8:-1.7240793 9:1.7902853 10:1.2305307 11:2.1257353 12:-5.6673775 13:1.9475886 14:247.98822 15:-8.01844 16:1.3719931 17:-0.47511485 18:2.1354587 19:-4.1173363 20:4.0003915 21:-1.7240793 22:1.7902853 23:1.2305307 24:2.1257353 25:-5.6673775 26:1.9475886 
2 1:273.25446 2:-5.022083 3:2.450331 4:-2.335095 5:-0.3901545 6:-5.118398 7:4.3533916 8:-2.6021395 9:0.69283074 10:-0.142456 11:3.755686 12:-2.8771152 13:2.5592422 14:273.25446 15:-5.022083 16:2.450331 17:-2.335095 18:-0.3901545 19:-5.118398 20:4.3533916 21:-2.6021395 22:0.69283074 23:-0.142456 24:3.755686 25:-2.8771152 26:2.5592422 
2 1:272.6519 2:-5.6843286 3:1.897479 4:-0.42193168 5:2.3763366 6:-2.2500434 7:5.3834915 8:-1.3383349 9:2.0488465 10:-0.8456602 11:2.540317 12:-3.6792874 13:1.656897 14:97.62106 15:4.9079337 16:4.2090287 17:-0.68669474 18:1.7593468 19:1.0611749 20:2.1195784 21:-0.7426806 22:2.0138993 23:-1.8772209 24:1.8610107 25:-0.91320384 26:1.4653909 
2 1:285.2097 2:-0.34441015 3:4.3614073 4:-1.6230136 5:-0.9429347 6:-3.9458349 7:6.7384915 8:-2.4438171 9:1.5286865 10:-1.4725895 11:1.2781842 12:-2.964097 13:1.7720829 14:97.62106 15:4.9079337 16:4.2090287 17:-0.68669474 18:1.7593468 19:1.0611749 20:2.1195784 21:-0.7426806 22:2.0138993 23:-1.8772209 24:1.8610107 25:-0.91320384 26:1.4653909 
2 1:282.0833 2:-1.5852729 3:4.0709615 4:-2.2638729 5:1.6987704 6:-4.25772 7:5.0269427 8:-1.3217901 9:1.7324624 10:-0.6461136 11:2.9380293 12:-2.88071 13:1.2055602 14:97.62106 15:4.9079337 16:4.2090287 17:-0.68669474 18:1.7593468 19:1.0611749 20:2.1195784 21:-0.7426806 22:2.0138993 23:-1.8772209 24:1.8610107 25:-0.91320384 26:1.4653909 
2 1:273.95523 2:-3.409495 3:3.9978034 4:-1.8590541 5:0.62253207 6:-4.672898 7:4.3273206 8:-2.439199 9:0.69198143 10:-0.5132072 11:3.2199783 12:-3.4212203 13:1.1231034 14:97.62106 15:4.9079337 16:4.2090287 17:-0.68669474 18:1.7593468 19:1.0611749 20:2.1195784 21:-0.7426806 22:2.0138993 23:-1.8772209 24:1.8610107 25:-0.91320384 26:1.4653909 
2 1:266.35306 2:-6.409525 3:4.357834 4:1.1050587 5:0.6390378 6:-5.633559 7:3.7171361 8:0.030005286 9:2.8531654 10:-0.04579912 11:3.3341393 12:-4.0583353 13:0.22049193 14:97.62106 15:4.9079337 16:4.2090287 17:-0.68669474 18:1.7593468 19:1.0611749 20:2.1195784 21:-0.7426806 22:2.0138993 23:-1.8772209 24:1.8610107 25:-0.91320384 26:1.4653909 
2 1:266.77823 2:-8.551025 3:4.592124 4:2.288517 5:3.7827103 6:-2.8169456 7:4.414806 8:-0.97289664 9:1.3383725 10:0.3258157 11:5.2392282 12:-2.5863905 13:1.1878717 14:97.62106 15:4.9079337 16:4.2090287 17:-0.68669474 18:1.7593468 19:1.0611749 20:2.1195784 21:-0.7426806 22:2.0138993 23:-1.8772209 24:1.8610107 25:-0.91320384 26:1.4653909 
2 1:265.21786 2:-8.026253 3:5.097337 4:1.5480332 5:1.47397 6:-4.7315054 7:2.5901754 8:-0.8044695 9:1.7810723 10:-0.8630921 11:2.9714642 12:-4.3023257 13:0.9128193 14:97.62106 15:4.9079337 16:4.2090287 17:-0.68669474 18:1.7593468 19:1.0611749 20:2.1195784 21:-0.7426806 22:2.0138993 23:-1.8772209 24:1.8610107 25:-0.91320384 26:1.4653909 
2 1:267.61023 2:-7.333724 3:6.766585 4:2.927379 5:2.13452 6:-3.8575935 7:2.263038 8:-1.4452648 9:3.3172588 10:0.24638921 11:4.127369 12:-3.3381977 13:0.37493017 14:97.62106 15:4.9079337 16:4.2090287 17:-0.68669474 18:1.7593468 19:1.0611749 20:2.1195784 21:-0.7426806 22:2.0138993 23:-1.8772209 24:1.8610107 25:-0.91320384 26:1.4653909 
2 1:265.54095 2:-8.538858 3:3.9528966 4:3.1392508 5:4.575296 6:-3.3765872 7:3.9930665 8:1.025174 9:3.1152294 10:0.023542173 11:4.0463076 12:-4.5820765 13:1.6791729 14:97.62106 15:4.9079337 16:4.2090287 17:-0.68669474 18:1.7593468 19:1.0611749 20:2.1195784 21:-0.7426806 22:2.0138993 23:-1.8772209 24:1.8610107 25:-0.91320384 26:1.4653909 
