1 1:202.68895 2:-11.12619 3:8.635058 4:-3.6762528 5:-1.159056 6:-0.73641753 7:2.179943 8:0.2316285 9:3.766824 10:-4.6345468 11:-0.53054017 12:0.68989223 13:-0.052559357 14:202.68895 15:-11.12619 16:8.635058 17:-3.6762528 18:-1.159056 19:-0.73641753 20:2.179943 21:0.2316285 22:3.766824 23:-4.6345468 24:-0.53054017 25:0.68989223 26:-0.052559357 
1 1:297.2582 2:-3.8550918 3:11.572727 4:-3.9983613 5:-1.5846721 6:-2.466257 7:2.035454 8:-3.7421613 9:6.176071E-4 10:-3.145816 11:-0.88271636 12:-3.5033324 13:2.9174087 14:297.2582 15:-3.8550918 16:11.572727 17:-3.9983613 18:-1.5846721 19:-2.466257 20:2.035454 21:-3.7421613 22:6.176071E-4 23:-3.145816 24:-0.88271636 25:-3.5033324 26:2.9174087 
1 1:295.80185 2:-7.494123 3:9.356925 4:-3.5432835 5:0.24780747 6:2.5948417 7:4.510402 8:-2.1050916 9:-1.4156874 10:-5.0244718 11:-0.68451536 12:-1.5970105 13:2.4111457 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:293.7159 2:-8.94301 3:8.597564 4:-4.562571 5:-0.7479275 6:3.2849236 7:3.8322532 8:-1.8117102 9:0.9817799 10:-2.7301984 11:-0.6686765 12:-2.8410652 13:2.691376 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:292.62494 2:-8.207058 3:7.188429 4:-4.638081 5:-1.417914 6:-1.3037719 7:3.8899024 8:-0.10010179 9:-0.94994795 10:-4.865832 11:0.4348035 12:-0.41087258 13:3.5904703 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:290.8114 2:-7.8635454 3:10.788109 4:-1.5166107 5:0.561013 6:0.5631902 7:2.436458 8:-2.3875542 9:0.097519875 10:-2.3872092 11:0.87792236 12:-2.6569784 13:2.7600758 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:292.70267 2:-9.163578 3:5.7139206 4:-2.7820687 5:-1.8439008 6:-1.6294829 7:2.220056 8:-2.647015 9:-0.06558826 10:-1.956522 11:2.3891146 12:-1.2673056 13:1.5873857 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:291.13574 2:-9.770012 3:6.9375763 4:-0.22178553 5:-1.3498306 6:-1.2226484 7:1.5889219 8:-2.023051 9:2.3286405 10:0.012980325 11:2.6653538 12:-3.4265275 13:0.76227313 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:282.48227 2:-13.183901 3:8.714879 4:0.53405523 5:1.6378291 6:-1.3335608 7:1.2385609 8:-2.5055919 9:0.6159531 10:-1.944353 11:0.95736337 12:-2.4759018 13:0.06414795 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:280.06116 2:-12.814237 3:7.6063976 4:0.5213948 5:2.3266897 6:-0.5437401 7:1.8698745 8:-1.6358054 9:1.7392148 10:0.35162988 11:2.5083046 12:-2.7864246 13:0.9247042 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:279.4176 2:-11.987557 3:5.7634845 4:0.78188366 5:2.6088789 6:-0.44580513 7:1.4302812 8:-2.6588209 9:0.657462 10:-2.3502786 11:1.4326837 12:-1.4000102 13:1.1928297 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
