2 1:209.66434 2:-15.590643 3:0.7222466 4:-2.0364635 5:-2.9474196 6:-8.849092 7:1.2779192 8:-4.097762 9:-1.1184486 10:-1.9372998 11:0.2220266 12:-0.38028282 13:2.1465843 14:209.66434 15:-15.590643 16:0.7222466 17:-2.0364635 18:-2.9474196 19:-8.849092 20:1.2779192 21:-4.097762 22:-1.1184486 23:-1.9372998 24:0.2220266 25:-0.38028282 26:2.1465843 
2 1:302.4073 2:-8.10405 3:6.498179 4:0.63485676 5:-2.6087286 6:-3.6599553 7:4.5061617 8:-2.6834056 9:0.75827116 10:-3.6196713 11:-1.3417492 12:-2.5059247 13:0.5778542 14:302.4073 15:-8.10405 16:6.498179 17:0.63485676 18:-2.6087286 19:-3.6599553 20:4.5061617 21:-2.6834056 22:0.75827116 23:-3.6196713 24:-1.3417492 25:-2.5059247 26:0.5778542 
2 1:315.92456 2:-2.249052 3:9.850239 4:-0.656406 5:-2.247831 6:-2.2385929 7:6.1891847 8:-0.3883483 9:1.195009 10:-2.0307906 11:1.7089282 12:-1.829991 13:1.9607549 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:335.02283 2:9.396586 3:15.283446 4:-1.8051047 5:-1.6224042 6:-2.2579656 7:10.689121 8:-0.59244305 9:2.7113538 10:-3.1526864 11:1.2765391 12:-2.7341964 13:2.3555129 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:309.36395 2:-0.44224378 3:13.335818 4:3.5835426 5:3.1696947 6:-1.868591 7:7.1196146 8:0.9767023 9:2.9669135 10:-4.2389255 11:1.0267619 12:-1.9658482 13:2.3244817 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:298.74933 2:-5.717023 3:5.3663816 4:-0.83110046 5:-1.389331 6:-4.19999 7:1.9011699 8:-2.1440046 9:0.94124514 10:-2.372017 11:0.6278687 12:-2.8787806 13:2.7830482 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:299.53885 2:-7.412559 3:5.8901043 4:-2.516745 5:-3.2931325 6:-3.2653894 7:4.377806 8:-2.5104291 9:0.23231353 10:-1.7179229 11:1.6008288 12:-1.0367895 13:1.6151108 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:304.78156 2:-7.325141 3:6.25975 4:-0.7970252 5:-5.1281238 6:-5.241673 7:4.9908295 8:-1.8177519 9:-0.28109473 10:-1.9123808 11:1.8009988 12:-1.0627133 13:2.5896351 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:311.30954 2:-8.260819 3:7.966388 4:3.4562266 5:-3.1797988 6:-4.317661 7:3.663741 8:-2.5153873 9:-1.2696352 10:-4.798655 11:0.6370422 12:-1.4469429 13:2.2909503 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:312.97156 2:-10.824268 3:5.010873 4:0.46410394 5:-3.0835907 6:-5.0578604 7:2.8046072 8:-1.8738952 9:1.1298366 10:-3.0742831 11:-0.33726004 12:-2.3342957 13:0.3331856 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:309.22235 2:-10.564724 3:6.4676456 4:1.6326274 5:0.46849367 6:-3.087196 7:1.8113754 8:-2.639098 9:0.489494 10:-2.8455522 11:1.0839674 12:0.8873673 13:2.2857413 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
