2 1:180.72305 2:-8.532871 3:5.299401 4:-2.376038 5:-6.5753355 6:-1.0751032 7:2.7092044 8:-5.30956 9:1.9968197 10:-3.5329528 11:5.6591525 12:-3.3701496 13:-1.3223969 14:180.72305 15:-8.532871 16:5.299401 17:-2.376038 18:-6.5753355 19:-1.0751032 20:2.7092044 21:-5.30956 22:1.9968197 23:-3.5329528 24:5.6591525 25:-3.3701496 26:-1.3223969 
2 1:305.37628 2:-1.8703579 3:6.870881 4:-2.3219774 5:-3.3045313 6:-2.106707 7:5.5736017 8:-2.5093746 9:2.254387 10:-3.3948042 11:-0.3533886 12:-1.7619684 13:0.7138186 14:305.37628 15:-1.8703579 16:6.870881 17:-2.3219774 18:-3.3045313 19:-2.106707 20:5.5736017 21:-2.5093746 22:2.254387 23:-3.3948042 24:-0.3533886 25:-1.7619684 26:0.7138186 
2 1:349.52618 2:7.103498 3:12.020677 4:-6.591044 5:-3.0672317 6:-0.32374537 7:5.6656394 8:-0.91126037 9:2.118684 10:-3.7337296 11:-0.38718405 12:-2.1842499 13:1.8949722 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:307.75388 2:-2.2504063 3:8.216597 4:2.0373335 5:-1.5377126 6:-4.074848 7:5.7682986 8:-1.9527762 9:1.0850043 10:-4.411506 11:-0.33869556 12:-1.5725676 13:1.7449207 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:301.65143 2:-11.106557 3:3.5967948 4:1.0833778 5:-2.8772283 6:-4.6451383 7:5.3486557 8:-0.7182468 9:2.4649525 10:-2.1490536 11:-0.19862334 12:-1.5569384 13:1.1574329 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:301.0729 2:-7.978994 3:5.9540653 4:0.6967218 5:-3.5132332 6:-4.8966665 7:4.968952 8:-1.122169 9:0.29830736 10:-4.0852246 11:-0.16713695 12:-1.2070595 13:1.4929825 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:321.51044 2:2.7854674 3:9.130101 4:-5.9212465 5:-6.2008896 6:-4.9827313 7:3.663281 8:-1.3895315 9:1.9413615 10:-5.9154367 11:0.71768135 12:-3.4775236 13:2.370998 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:299.0868 2:-6.3968267 3:4.575475 4:0.5756272 5:-1.2304657 6:-4.7172666 7:4.179337 8:-2.0416064 9:-0.42455906 10:-3.244401 11:0.9220976 12:-3.5294867 13:2.724416 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:305.5702 2:-0.3797307 3:8.852007 4:2.3575413 5:0.4281976 6:-4.4732704 7:3.7092175 8:-1.6872236 9:2.3337133 10:-2.1061056 11:0.92329526 12:-2.9440942 13:1.6875719 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:304.13974 2:-5.156775 3:9.469559 4:-0.83746743 5:1.2946748 6:-1.2214081 7:1.8330307 8:-1.5508895 9:1.4628122 10:-0.7591469 11:0.9760132 12:-1.5799972 13:1.126869 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:290.67477 2:-7.9128313 3:6.460004 4:-2.6232803 5:0.7657889 6:-0.50755394 7:-0.22223742 8:-2.0411131 9:0.39034808 10:-2.9599762 11:-0.008202722 12:-3.9852006 13:1.1923832 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:291.05838 2:-4.621474 3:6.891696 4:-1.5118787 5:3.2917461 6:-1.3739666 7:0.8611235 8:-1.7465116 9:1.6328028 10:-2.005312 11:-0.45705357 12:-4.692287 13:1.6679585 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:292.42273 2:-6.156527 3:5.2251787 4:-1.3479127 5:3.7233896 6:0.32204354 7:-0.74981636 8:-1.9484082 9:1.8014051 10:-1.23304 11:1.2422161 12:-4.9614983 13:0.29850867 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:289.2793 2:-8.446019 3:3.8727539 4:-2.1198745 5:2.8875659 6:0.97117776 7:1.4823381 8:-0.6076479 9:2.8376198 10:-1.5358068 11:1.523031 12:-3.7371557 13:1.7933979 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:288.08368 2:-6.021521 3:3.2298954 4:-3.6028574 5:2.505693 6:-0.13886647 7:1.0168055 8:-1.6699806 9:1.9806828 10:-2.2808886 11:1.0232975 12:-4.4370885 13:1.3605446 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:287.4001 2:-4.4498687 3:3.9531076 4:-1.0299209 5:4.579606 6:1.221103 7:1.8439021 8:-4.440274 9:1.6413596 10:-2.0609243 11:1.4422415 12:-3.3519874 13:1.9107351 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:279.8421 2:-6.108482 3:-0.09400045 4:-1.7940441 5:7.1286435 6:0.9079689 7:1.0981717 8:-5.1299853 9:1.0169945 10:-4.011909 11:1.027971 12:-4.247789 13:1.8906308 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:282.1848 2:-4.519347 3:0.08846236 4:-3.2166162 5:5.5196686 6:-0.02480503 7:0.9958728 8:-4.922858 9:0.21802111 10:-3.55889 11:1.9295511 12:-3.4102519 13:3.2763448 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:288.47617 2:-3.9652584 3:-0.6420726 4:-4.3060822 5:4.324511 6:0.35419035 7:1.108759 8:-5.711442 9:-0.3955428 10:-2.764052 11:0.78135127 12:-4.9249396 13:2.122975 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:293.33096 2:-1.1273007 3:1.6227815 4:-5.236641 5:2.9685054 6:-0.41054305 7:2.0737607 8:-2.901967 9:1.7587085 10:-2.6186707 11:1.1718361 12:-4.373278 13:1.9099163 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:302.08072 2:-2.7720058 3:5.188588 4:-3.6106389 5:2.6919293 6:0.073849514 7:3.955749 8:-2.0226269 9:2.6129494 10:0.14126047 11:1.3387218 12:-3.2188158 13:0.14005303 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:295.11572 2:-2.2528367 3:1.9523407 4:-6.8248444 5:2.4446654 6:-0.8944037 7:1.9825763 8:-2.3609765 9:1.4944367 10:-1.1321572 11:1.5502832 12:-2.8373346 13:1.8902304 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:295.72324 2:0.6798383 3:4.7871714 4:-6.582993 5:3.325873 6:-1.1165481 7:0.5057973 8:-2.8613691 9:0.17513433 10:-1.8141147 11:1.8806312 12:-3.2211523 13:3.5818548 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:293.92322 2:1.3154771 3:8.685094 4:-4.8409057 5:1.9817255 6:-1.38768 7:1.6740824 8:-3.3247952 9:-0.4051206 10:-1.710357 11:2.230588 12:-4.1066236 13:2.5702817 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:290.01178 2:0.70072854 3:8.089081 4:-3.7317126 5:2.9514422 6:-1.1711195 7:0.7376662 8:-3.8312705 9:-0.24524163 10:-2.733897 11:2.502077 12:-4.0120425 13:1.2649444 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
