2 1:299.14172 2:4.5096235 3:11.23019 4:-6.049824 5:-0.8691827 6:0.36800894 7:7.359318 8:0.24601486 9:0.5222899 10:-7.221078 11:1.5596977 12:0.43874785 13:2.9529088 14:299.14172 15:4.5096235 16:11.23019 17:-6.049824 18:-0.8691827 19:0.36800894 20:7.359318 21:0.24601486 22:0.5222899 23:-7.221078 24:1.5596977 25:0.43874785 26:2.9529088 
2 1:313.068 2:11.563072 3:14.248193 4:-2.1649427 5:-0.7746517 6:-5.526487 7:4.63018 8:-1.6756003 9:1.9179639 10:-5.332787 11:1.5031362 12:0.7470317 13:4.125493 14:313.068 15:11.563072 16:14.248193 17:-2.1649427 18:-0.7746517 19:-5.526487 20:4.63018 21:-1.6756003 22:1.9179639 23:-5.332787 24:1.5031362 25:0.7470317 26:4.125493 
2 1:280.89432 2:1.1237628 3:11.103831 4:-2.795856 5:-2.567971 6:-5.8754735 7:3.0414932 8:0.79293925 9:5.1879244 10:-2.7740505 11:-0.19291632 12:-3.0681977 13:3.2799344 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:286.29572 2:-0.23941842 3:8.199739 4:-5.0412197 5:-1.4996175 6:-3.1176753 7:2.853461 8:0.52007914 9:3.4039788 10:-3.4999337 11:-1.0827253 12:-3.4591773 13:2.778191 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:290.01486 2:3.8766341 3:7.50889 4:-6.7443423 5:-2.1135826 6:-6.405662 7:1.2871236 8:-1.1269475 9:2.9690368 10:-2.7444792 11:2.238138 12:-2.988006 13:4.5160537 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:297.9259 2:7.3266215 3:6.7191844 4:-8.1295805 5:-1.868845 6:-9.160533 7:0.15847021 8:1.6331708 9:5.2883873 10:-3.4544911 11:1.4207375 12:-4.8818736 13:5.6332197 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:282.16473 2:-7.946237 3:10.285517 4:3.3209515 5:-2.7537632 6:-3.6170008 7:6.827765 8:-0.215222 9:0.002678133 10:-1.9209635 11:0.14647931 12:-2.8058023 13:3.385457 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:266.8812 2:-7.0259156 3:7.9989457 4:-0.08174966 5:0.14256468 6:-2.590452 7:4.788564 8:-0.78820056 9:1.3764942 10:-2.2886596 11:-1.430408 12:-4.36242 13:1.7470889 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:270.78683 2:-8.038751 3:6.698919 4:-0.9235575 5:-2.5719507 6:-2.4424455 7:5.180607 8:-0.47283307 9:2.736422 10:-0.5172095 11:2.036628 12:-0.26149243 13:1.9125283 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:286.778 2:2.0391383 3:13.551753 4:0.6928756 5:-0.7361713 6:-3.4431207 7:6.74088 8:-0.39128417 9:1.686267 10:-3.057704 11:-0.5437623 12:-3.2024188 13:2.9384892 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:292.7915 2:-0.0015209046 3:12.52821 4:0.488749 5:0.80309314 6:-0.90244544 7:6.8983154 8:-0.5753625 9:2.8318756 10:-3.340686 11:-1.4041859 12:-2.402027 13:3.3780704 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
