2 1:25.623602 2:-18.985579 3:6.9922886 4:-5.098996 5:2.090818 6:-2.7067933 7:0.49309123 8:0.64449185 9:-0.5245335 10:-1.1514559 11:1.8660904 12:-1.8620353 13:1.1986145 14:25.623602 15:-18.985579 16:6.9922886 17:-5.098996 18:2.090818 19:-2.7067933 20:0.49309123 21:0.64449185 22:-0.5245335 23:-1.1514559 24:1.8660904 25:-1.8620353 26:1.1986145 
2 1:329.56808 2:-17.325226 3:14.590229 4:5.135247 5:-7.8177876 6:5.5207872 7:2.8010855 8:-4.5606933 9:4.6938086 10:-6.1068234 11:2.380483 12:-1.1889057 13:0.76132506 14:329.56808 15:-17.325226 16:14.590229 17:5.135247 18:-7.8177876 19:5.5207872 20:2.8010855 21:-4.5606933 22:4.6938086 23:-6.1068234 24:2.380483 25:-1.1889057 26:0.76132506 
2 1:314.89288 2:-7.985396 3:17.259607 4:1.5469757 5:-1.9928361 6:3.0225337 7:6.9339705 8:-5.080485 9:7.1113415 10:-4.1349216 11:1.2570362 12:0.22293375 13:-2.47996 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:296.14523 2:-4.112208 3:12.171648 4:-3.2257698 5:-0.75627226 6:1.5409571 7:5.7294984 8:2.626751 9:5.1121492 10:-2.4895763 11:0.56179917 12:-2.4260538 13:1.2710946 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:293.89508 2:-2.5949667 3:11.05069 4:-4.8843603 5:-0.45956227 6:2.9277813 7:7.55563 8:3.7384975 9:4.216952 10:-0.6976823 11:0.92621964 12:-2.9644194 13:2.8286304 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:287.88974 2:-7.115328 3:9.103434 4:-4.602684 5:-1.1953766 6:0.9889351 7:3.730043 8:3.431314 9:1.615702 10:-3.2423613 11:-1.2939398 12:-3.518704 13:4.18514 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:291.23294 2:-7.4705734 3:7.673605 4:-5.2168326 5:-2.4852138 6:-0.008438137 7:3.8304262 8:1.2562613 9:1.3513899 10:-0.9017205 11:0.39927265 12:-2.1433837 13:2.328716 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:290.38477 2:-6.1170135 3:10.377534 4:-3.5968611 5:-0.44903204 6:-0.7805099 7:2.8426838 8:0.5238001 9:0.9236386 10:-0.073008135 11:0.63760996 12:-2.034826 13:1.6821758 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:294.40167 2:-6.977726 3:9.534331 4:-2.4751587 5:1.1895754 6:0.09564861 7:4.9675326 8:2.418389 9:2.403282 10:-0.9018192 11:-0.30432877 12:-1.5148135 13:2.581464 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:297.50912 2:-6.917954 3:9.391391 4:-3.4255092 5:-0.42473373 6:0.7919932 7:4.7798176 8:1.0863078 9:2.1339056 10:-1.4694338 11:-0.599061 12:-1.01715 13:3.237861 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:300.99908 2:-6.8043766 3:10.218185 4:-3.6203504 5:0.17589217 6:0.20971052 7:5.08915 8:1.3599466 9:0.32856986 10:-2.1741023 11:-2.1954346 12:-1.4235287 13:4.1941233 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
