2 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
2 1:307.16348 2:2.7526248 3:12.067543 4:3.5727553 5:3.5224783 6:-3.2379205 7:6.944657 8:0.8685193 9:2.265689 10:-6.225033 11:-0.05330541 12:-1.4801134 13:3.9041295 14:307.16348 15:2.7526248 16:12.067543 17:3.5727553 18:3.5224783 19:-3.2379205 20:6.944657 21:0.8685193 22:2.265689 23:-6.225033 24:-0.05330541 25:-1.4801134 26:3.9041295 
2 1:278.86908 2:-6.68854 3:5.7437096 4:1.100222 5:1.8811765 6:-3.7882042 7:2.6254263 8:-1.1867187 9:2.3186102 10:-1.6202011 11:1.8591914 12:-1.8593397 13:1.6387624 14:109.33968 15:1.451477 16:4.805611 17:2.634984 18:2.7550628 19:-1.3871218 20:1.4441648 21:-1.2812167 22:0.46174228 23:-1.7848948 24:1.6253732 25:0.08087005 26:-0.5208647 
2 1:264.5675 2:-9.832548 3:4.073776 4:-1.0473065 5:0.8022155 6:-4.025692 7:1.8833948 8:-1.71866 9:-0.8862727 10:-2.1759205 11:2.6341066 12:-1.213449 13:2.5597298 14:109.33968 15:1.451477 16:4.805611 17:2.634984 18:2.7550628 19:-1.3871218 20:1.4441648 21:-1.2812167 22:0.46174228 23:-1.7848948 24:1.6253732 25:0.08087005 26:-0.5208647 
2 1:312.3913 2:10.307587 3:17.892 4:-4.8873553 5:-3.2252822 6:0.46522695 7:5.7381134 8:1.6431378 9:5.9368305 10:-2.3411722 11:3.91332 12:-1.8989792 13:1.5374873 14:109.33968 15:1.451477 16:4.805611 17:2.634984 18:2.7550628 19:-1.3871218 20:1.4441648 21:-1.2812167 22:0.46174228 23:-1.7848948 24:1.6253732 25:0.08087005 26:-0.5208647 
2 1:285.33524 2:5.82707 3:15.017441 4:-1.4921148 5:1.6955663 6:-1.8851869 7:7.9967937 8:3.2824736 9:7.213601 10:-1.7495201 11:4.749957 12:-2.7027762 13:1.850303 14:109.33968 15:1.451477 16:4.805611 17:2.634984 18:2.7550628 19:-1.3871218 20:1.4441648 21:-1.2812167 22:0.46174228 23:-1.7848948 24:1.6253732 25:0.08087005 26:-0.5208647 
2 1:263.15555 2:-7.9620404 3:4.8583 4:-2.1837754 5:1.0273303 6:-2.5928714 7:2.3602016 8:-2.7284687 9:0.41619968 10:-2.458395 11:1.8116848 12:-2.964541 13:0.8340334 14:109.33968 15:1.451477 16:4.805611 17:2.634984 18:2.7550628 19:-1.3871218 20:1.4441648 21:-1.2812167 22:0.46174228 23:-1.7848948 24:1.6253732 25:0.08087005 26:-0.5208647 
2 1:269.86972 2:-7.6228085 3:7.252325 4:-4.1727915 5:-1.4045601 6:-2.5951853 7:1.9185965 8:-1.6159543 9:-1.271433 10:-3.355864 11:-0.14629266 12:-2.4490504 13:1.2611036 14:109.33968 15:1.451477 16:4.805611 17:2.634984 18:2.7550628 19:-1.3871218 20:1.4441648 21:-1.2812167 22:0.46174228 23:-1.7848948 24:1.6253732 25:0.08087005 26:-0.5208647 
2 1:273.86035 2:-9.33554 3:9.097484 4:-3.4184558 5:-1.4034753 6:-5.0218883 7:-0.019067066 8:1.1950052 9:0.52300334 10:-0.42010632 11:0.37081528 12:-2.4047637 13:2.1547983 14:109.33968 15:1.451477 16:4.805611 17:2.634984 18:2.7550628 19:-1.3871218 20:1.4441648 21:-1.2812167 22:0.46174228 23:-1.7848948 24:1.6253732 25:0.08087005 26:-0.5208647 
2 1:269.81802 2:-8.983765 3:7.020763 4:-3.129282 5:-0.29360634 6:-3.815597 7:0.3751171 8:-1.3420733 9:-0.6144123 10:-1.2459568 11:0.97812515 12:-1.4742602 13:0.69353527 14:109.33968 15:1.451477 16:4.805611 17:2.634984 18:2.7550628 19:-1.3871218 20:1.4441648 21:-1.2812167 22:0.46174228 23:-1.7848948 24:1.6253732 25:0.08087005 26:-0.5208647 
2 1:281.84604 2:-9.509023 3:4.5204444 4:-0.93454 5:-3.6965108 6:-5.2150984 7:4.2990327 8:-1.3030794 9:0.8077819 10:-3.1878035 11:0.600675 12:-0.44488275 13:2.0816996 14:109.33968 15:1.451477 16:4.805611 17:2.634984 18:2.7550628 19:-1.3871218 20:1.4441648 21:-1.2812167 22:0.46174228 23:-1.7848948 24:1.6253732 25:0.08087005 26:-0.5208647 
