2 1:236.91133 2:5.291416 3:12.815233 4:0.21667631 5:4.784874 6:-1.9444655 7:1.9198245 8:-3.799525 9:-0.17230989 10:-3.7999535 11:1.0019795 12:-3.1761422 13:3.903332 14:236.91133 15:5.291416 16:12.815233 17:0.21667631 18:4.784874 19:-1.9444655 20:1.9198245 21:-3.799525 22:-0.17230989 23:-3.7999535 24:1.0019795 25:-3.1761422 26:3.903332 
2 1:311.56143 2:9.795103 3:16.353676 4:-2.4403572 5:0.50236154 6:-5.159835 7:1.797567 8:0.5315706 9:4.6694083 10:-1.4781094 11:5.1847796 12:-2.4700458 13:4.7654424 14:311.56143 15:9.795103 16:16.353676 17:-2.4403572 18:0.50236154 19:-5.159835 20:1.797567 21:0.5315706 22:4.6694083 23:-1.4781094 24:5.1847796 25:-2.4700458 26:4.7654424 
2 1:309.83746 2:9.554659 3:14.743703 4:-3.1574974 5:0.75477326 6:-4.44076 7:1.2106727 8:-1.0339267 9:3.2260795 10:-1.5840021 11:1.7175517 12:-3.6645772 13:3.5980132 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:306.33655 2:10.395229 3:13.62239 4:-3.6248727 5:-1.0935453 6:-5.5412602 7:1.978619 8:-1.2441938 9:4.6688504 10:-2.2613058 11:2.213804 12:-3.032186 13:3.7037368 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:293.1564 2:2.4729881 3:8.209863 4:-6.171736 5:-2.765127 6:-3.0748074 7:4.3234353 8:-2.240201 9:1.6695716 10:-3.5068736 11:-1.3403859 12:-4.4602222 13:1.0896018 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:297.4117 2:2.68132 3:9.289525 4:-6.052804 5:-3.7227068 6:-4.082263 7:2.143438 8:-4.343328 9:0.7244004 10:-3.009133 11:0.5235965 12:-3.6837504 13:0.99162096 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:327.53815 2:5.9603705 3:11.881157 4:-1.0518801 5:-1.4846394 6:-0.07619976 7:5.4431825 8:-5.304144 9:1.5874339 10:-2.9307795 11:4.3488774 12:-3.7618794 13:0.31925192 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:325.94394 2:5.006166 3:11.309519 4:-3.301831 5:-1.2788793 6:-2.0514374 7:2.9205024 8:-6.2607217 9:1.0275528 10:-1.5381997 11:1.1490657 12:-3.8038359 13:1.6917017 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:340.04364 2:-8.926739 3:11.257166 4:-5.719229 5:-8.655179 6:1.1613674 7:0.9501848 8:-5.4918313 9:2.3166184 10:-2.619915 11:2.9132168 12:-1.1795112 13:0.90259475 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:338.3344 2:-9.086323 3:14.968266 4:-3.414798 5:-6.3735056 6:2.131401 7:1.1166339 8:-4.386708 9:2.761318 10:-1.5548574 11:2.0180745 12:-1.2609909 13:0.27478498 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:326.78513 2:7.767736 3:14.481544 4:-4.139601 5:-1.6420668 6:3.3539362 7:7.1871195 8:-2.3304195 9:5.1008444 10:-3.3845906 11:1.2691528 12:-4.2661 13:1.9093283 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
