1 1:175.2032 2:-23.968414 3:0.09952833 4:-2.4090753 5:-0.028758664 6:-0.38774094 7:1.6904867 8:-3.0008495 9:-2.0103607 10:-2.6701121 11:0.1620895 12:0.63497394 13:3.7747397 14:175.2032 15:-23.968414 16:0.09952833 17:-2.4090753 18:-0.028758664 19:-0.38774094 20:1.6904867 21:-3.0008495 22:-2.0103607 23:-2.6701121 24:0.1620895 25:0.63497394 26:3.7747397 
1 1:334.81647 2:-2.7634366 3:8.196767 4:-0.846941 5:3.3163204 6:0.45498183 7:0.48882765 8:-4.1240587 9:1.2353728 10:-1.5998412 11:2.8341744 12:-3.4095483 13:2.5858545 14:334.81647 15:-2.7634366 16:8.196767 17:-0.846941 18:3.3163204 19:0.45498183 20:0.48882765 21:-4.1240587 22:1.2353728 23:-1.5998412 24:2.8341744 25:-3.4095483 26:2.5858545 
1 1:258.93713 2:-11.380546 3:7.701861 4:3.2372754 5:4.1332192 6:-3.4071116 7:1.5605541 8:-2.2164507 9:-0.91443795 10:-2.9750454 11:1.5991412 12:-2.784876 13:1.5563132 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:257.017 2:-10.677768 3:7.31127 4:2.6451554 5:1.5945301 6:-3.5409815 7:2.9099693 8:-0.8007132 9:-0.29720005 10:-2.2538347 11:2.0147352 12:-3.663366 13:1.1893536 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:272.61682 2:-15.961961 3:6.2685657 4:6.861166 5:1.2810454 6:-7.959869 7:4.827398 8:0.9264826 9:-1.0445465 10:0.090164155 11:-0.1110513 12:-3.755953 13:2.9671 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:275.45398 2:-17.641518 3:6.4238596 4:6.692635 5:1.9216895 6:-6.999825 7:5.434118 8:0.5632193 9:-1.6895458 10:0.41347244 11:1.0055205 12:-3.2225783 13:1.4108641 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:265.01773 2:-11.013752 3:5.7691 4:1.8712122 5:1.921435 6:-4.0171146 7:0.62085485 8:-1.5248063 9:-0.21010645 10:-3.1055546 11:2.7429712 12:-2.5042014 13:1.1435155 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:266.311 2:-6.701168 3:8.776882 4:0.7939929 5:1.709322 6:-4.151284 7:0.8154302 8:-1.5133617 9:1.4979258 10:-1.7138264 11:2.4250262 12:-2.34558 13:1.7581238 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:266.83835 2:-6.4664826 3:8.11685 4:0.4482604 5:0.22478478 6:-4.965301 7:1.9859139 8:-1.113977 9:1.420266 10:-1.4743402 11:4.2063007 12:-2.111959 13:1.7068595 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:268.03967 2:-6.789334 3:8.5720215 4:0.78665376 5:0.25739712 6:-3.7605739 7:2.0126393 8:-0.47818583 9:2.2830229 10:-0.7768105 11:3.3152423 12:-2.6986668 13:0.13987243 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:294.4699 2:-10.311427 3:6.21467 4:2.6466973 5:1.6223447 6:-1.8895422 7:-0.16178708 8:-2.9616656 9:1.608929 10:-6.0072064 11:0.86560774 12:-1.4233439 13:2.278646 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
