1 1:230.09662 2:-8.629388 3:9.369299 4:4.4117584 5:4.645547 6:-1.482027 7:0.41446972 8:-2.1732275 9:0.3163248 10:-0.75638497 11:1.7589331 12:-4.64856 13:0.9606829 14:230.09662 15:-8.629388 16:9.369299 17:4.4117584 18:4.645547 19:-1.482027 20:0.41446972 21:-2.1732275 22:0.3163248 23:-0.75638497 24:1.7589331 25:-4.64856 26:0.9606829 
1 1:257.57584 2:-11.58046 3:4.6160946 4:1.9260017 5:1.9995898 6:-3.3258836 7:0.08921606 8:-3.6471474 9:-0.43780363 10:-2.0759661 11:2.6561968 12:-2.88612 13:2.4244819 14:257.57584 15:-11.58046 16:4.6160946 17:1.9260017 18:1.9995898 19:-3.3258836 20:0.08921606 21:-3.6471474 22:-0.43780363 23:-2.0759661 24:2.6561968 25:-2.88612 26:2.4244819 
1 1:256.518 2:-11.534863 3:5.3858624 4:2.4202652 5:2.4439776 6:-3.9884958 7:-0.08159504 8:-2.198796 9:0.18219446 10:-0.95876986 11:3.6227534 12:-2.7734249 13:1.7759331 14:103.65719 15:3.7256198 16:4.9962044 17:2.2827652 18:3.5965009 19:-1.8511763 20:1.3490304 21:-0.99828726 22:-0.08904893 23:-2.1456237 24:2.072386 25:-1.4199777 26:1.0367169 
1 1:259.62924 2:-9.907021 3:5.0766554 4:1.3043783 5:2.6153593 6:-3.1170847 7:2.354569 8:-1.5819336 9:0.23733597 10:-1.2380997 11:2.8443222 12:-4.004325 13:0.6517755 14:103.65719 15:3.7256198 16:4.9962044 17:2.2827652 18:3.5965009 19:-1.8511763 20:1.3490304 21:-0.99828726 22:-0.08904893 23:-2.1456237 24:2.072386 25:-1.4199777 26:1.0367169 
1 1:259.87323 2:-9.875206 3:6.194967 4:2.030997 5:2.933051 6:-1.8410884 7:4.0072083 8:-0.58476144 9:0.9823745 10:-0.59475654 11:3.169321 12:-2.586601 13:1.4720812 14:103.65719 15:3.7256198 16:4.9962044 17:2.2827652 18:3.5965009 19:-1.8511763 20:1.3490304 21:-0.99828726 22:-0.08904893 23:-2.1456237 24:2.072386 25:-1.4199777 26:1.0367169 
1 1:264.24747 2:-8.644526 3:5.576388 4:1.1399013 5:2.4377582 6:-4.4964437 7:-0.3510925 8:-2.483797 9:0.6924504 10:-2.9892228 11:2.6005888 12:-3.094993 13:-0.04558215 14:103.65719 15:3.7256198 16:4.9962044 17:2.2827652 18:3.5965009 19:-1.8511763 20:1.3490304 21:-0.99828726 22:-0.08904893 23:-2.1456237 24:2.072386 25:-1.4199777 26:1.0367169 
1 1:275.60968 2:-2.1803727 3:8.314278 4:-1.050671 5:-0.861716 6:-6.0367756 7:2.1594925 8:-1.335441 9:1.0365169 10:-2.665476 11:3.0178218 12:-3.1335468 13:0.5922085 14:103.65719 15:3.7256198 16:4.9962044 17:2.2827652 18:3.5965009 19:-1.8511763 20:1.3490304 21:-0.99828726 22:-0.08904893 23:-2.1456237 24:2.072386 25:-1.4199777 26:1.0367169 
1 1:279.1404 2:-1.0551827 3:7.439015 4:-2.2726314 5:-1.1218781 6:-4.790964 7:3.185931 8:-0.028463995 9:2.7739358 10:-2.4682748 11:0.53921276 12:-5.221062 13:0.89661646 14:103.65719 15:3.7256198 16:4.9962044 17:2.2827652 18:3.5965009 19:-1.8511763 20:1.3490304 21:-0.99828726 22:-0.08904893 23:-2.1456237 24:2.072386 25:-1.4199777 26:1.0367169 
1 1:274.2367 2:-3.6201615 3:6.1273375 4:-0.03610375 5:0.8403387 6:-4.8683834 7:1.3389996 8:-2.8364341 9:0.9627015 10:-1.3515639 11:2.4880965 12:-2.9482143 13:3.168213 14:103.65719 15:3.7256198 16:4.9962044 17:2.2827652 18:3.5965009 19:-1.8511763 20:1.3490304 21:-0.99828726 22:-0.08904893 23:-2.1456237 24:2.072386 25:-1.4199777 26:1.0367169 
1 1:273.17532 2:-3.966598 3:6.362742 4:-0.42728356 5:0.70079935 6:-3.7767553 7:3.5972843 8:-0.3350451 9:0.97582984 10:-2.0815406 11:2.7155147 12:-3.0851853 13:2.375515 14:103.65719 15:3.7256198 16:4.9962044 17:2.2827652 18:3.5965009 19:-1.8511763 20:1.3490304 21:-0.99828726 22:-0.08904893 23:-2.1456237 24:2.072386 25:-1.4199777 26:1.0367169 
1 1:282.26724 2:-0.22719091 3:9.43994 4:-1.3091345 5:-1.675137 6:-4.8055444 7:1.7877622 8:-2.8715546 9:1.1814202 10:-3.5014915 11:3.3828657 12:-2.5400097 13:1.413957 14:103.65719 15:3.7256198 16:4.9962044 17:2.2827652 18:3.5965009 19:-1.8511763 20:1.3490304 21:-0.99828726 22:-0.08904893 23:-2.1456237 24:2.072386 25:-1.4199777 26:1.0367169 
