2 1:189.29095 2:-2.8513908 3:4.117711 4:-8.927901 5:-2.263037 6:-0.70777625 7:1.3214091 8:-3.5145087 9:2.5785916 10:-3.4136877 11:1.7397087 12:-2.3741531 13:2.5643418 14:189.29095 15:-2.8513908 16:4.117711 17:-8.927901 18:-2.263037 19:-0.70777625 20:1.3214091 21:-3.5145087 22:2.5785916 23:-3.4136877 24:1.7397087 25:-2.3741531 26:2.5643418 
2 1:309.2715 2:-3.5710135 3:8.69819 4:-4.423565 5:-2.7743654 6:-1.5306785 7:1.9093708 8:-3.609501 9:-0.780045 10:-1.8753295 11:2.180002 12:-2.4111643 13:3.2582707 14:309.2715 15:-3.5710135 16:8.69819 17:-4.423565 18:-2.7743654 19:-1.5306785 20:1.9093708 21:-3.609501 22:-0.780045 23:-1.8753295 24:2.180002 25:-2.4111643 26:3.2582707 
2 1:300.9194 2:5.0389285 3:10.458696 4:-3.252647 5:2.407828 6:-4.9157677 7:2.7320578 8:-3.3335273 9:0.329267 10:-4.307023 11:0.96847206 12:-1.5156863 13:4.128477 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:286.30734 2:-2.1493433 3:4.145103 4:-4.951688 5:2.3105485 6:-1.6980687 7:1.693181 8:-3.1664267 9:0.7187043 10:-3.5220191 11:0.75264 12:-2.3749888 13:1.4988809 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:286.90805 2:-2.6032336 3:4.0511746 4:-4.9491134 5:0.92681086 6:-2.49533 7:3.1347983 8:-2.5029676 9:-0.3135048 10:-4.6031027 11:0.51567966 12:-2.9028304 13:2.4049258 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:290.69177 2:-1.9290866 3:4.524099 4:-5.4800954 5:-0.27050233 6:-2.9590077 7:3.5336196 8:0.22289698 9:1.40621 10:-3.387457 11:0.50848967 12:-2.2985303 13:2.5804625 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:293.14355 2:-2.0343251 3:8.586797 4:-3.2933486 5:0.3534066 6:-1.5680956 7:3.083338 8:-1.0799575 9:0.18120763 10:-3.235798 11:-0.1532477 12:-1.7064623 13:3.2440443 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:294.50787 2:-0.7474552 3:6.343177 4:-5.882979 5:1.0057889 6:-3.2498896 7:3.7121964 8:-0.46418566 9:0.30753735 10:-3.7943375 11:-0.6669914 12:-1.2673872 13:2.8219893 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:318.9249 2:3.145091 3:12.192429 4:-3.3591454 5:-1.6920558 6:-2.2735524 7:6.031789 8:-1.7387991 9:2.246591 10:-2.8722823 11:-0.19137657 12:-2.0607805 13:2.2965453 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:319.50986 2:3.6451359 3:11.564606 4:-3.316005 5:-1.7174865 6:-2.0494058 7:4.884507 8:-2.7074654 9:1.8625904 10:-4.055954 11:-0.10961614 12:-3.4250324 13:2.9129736 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:303.19205 2:-9.288595 3:4.39008 4:-1.3700249 5:-1.6111535 6:-3.8415623 7:3.822495 8:-2.77028 9:-0.3032473 10:-2.855911 11:0.7008452 12:-0.985408 13:0.51225764 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:300.39575 2:-14.851716 3:5.6909633 4:-2.5207093 5:-2.8201365 6:-2.7338445 7:3.5716195 8:-2.0985785 9:1.1959995 10:-2.126764 11:0.24629861 12:-2.5287116 13:-0.8240954 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:304.3583 2:-16.827536 3:9.989806 4:-3.939197 5:-3.0353527 6:-3.7857652 7:3.0648172 8:-1.2641462 9:1.3699585 10:-4.2099094 11:-1.5875146 12:0.9586779 13:-0.23332088 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:296.61484 2:-11.059127 3:6.6781445 4:-0.9765855 5:-1.2256362 6:-4.158733 7:2.9080827 8:-1.3806529 9:1.7324989 10:-2.7921348 11:-0.16880563 12:-0.6686243 13:0.5442803 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:294.923 2:-9.375693 3:5.1617956 4:1.7560422 5:-1.5552385 6:-4.6442475 7:3.9093595 8:-0.2571815 9:1.6608014 10:-4.363309 11:-0.055972684 12:0.6418856 13:2.466698 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:296.23804 2:-10.088813 3:4.8792496 4:0.9946122 5:-1.3816606 6:-3.129521 7:2.784995 8:-1.0947256 9:0.46053368 10:-3.4556406 11:1.2156929 12:0.5453106 13:3.7129073 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:293.8166 2:-9.882676 3:5.179519 4:1.3180728 5:-2.0833669 6:-4.6212063 7:2.096169 8:-2.0969365 9:0.60575217 10:-3.2493691 11:1.1433566 12:0.883069 13:3.199501 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:303.8321 2:-10.306133 3:-1.029809 4:-1.2006035 5:1.1164773 6:-6.4723125 7:2.3675082 8:1.8439761 9:0.80569166 10:-1.8589752 11:2.5078523 12:-3.1770837 13:0.77672255 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:300.87708 2:-6.967006 3:4.3321066 4:-5.853917 5:-2.4029906 6:-4.6085043 7:1.5002402 8:0.35476947 9:-0.33129075 10:-1.9765363 11:1.588585 12:-2.9620087 13:-0.1471092 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
