1 1:198.53249 2:-5.972082 3:8.301165 4:-6.9050965 5:-6.2566996 6:-4.593397 7:3.8306558 8:0.21325938 9:-1.0426677 10:-5.5993967 11:1.1291616 12:-2.225079 13:2.2084637 14:198.53249 15:-5.972082 16:8.301165 17:-6.9050965 18:-6.2566996 19:-4.593397 20:3.8306558 21:0.21325938 22:-1.0426677 23:-5.5993967 24:1.1291616 25:-2.225079 26:2.2084637 
1 1:266.79477 2:-6.3636045 3:5.6364207 4:-2.7825336 5:-2.2965274 6:-5.507064 7:2.1758516 8:-1.532042 9:1.8913518 10:-2.7575774 11:0.07671487 12:-2.1421833 13:2.7406402 14:266.79477 15:-6.3636045 16:5.6364207 17:-2.7825336 18:-2.2965274 19:-5.507064 20:2.1758516 21:-1.532042 22:1.8913518 23:-2.7575774 24:0.07671487 25:-2.1421833 26:2.7406402 
1 1:264.58932 2:-5.481788 3:6.0257854 4:-2.741652 5:0.7252886 6:-3.9235163 7:3.9449842 8:-0.8675351 9:1.8439996 10:-2.621349 11:0.4805975 12:-2.2948906 13:2.197734 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:268.33752 2:-5.076591 3:7.92938 4:-0.8665401 5:0.14489503 6:-4.1923428 7:2.241037 8:-3.505783 9:-0.2708674 10:-2.7400908 11:-0.23249732 12:-3.4277303 13:3.2884867 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:298.47366 2:-1.5302116 3:6.7272143 4:-3.0282195 5:-0.3679786 6:-5.125923 7:2.5693147 8:1.0907798 9:4.3559284 10:-4.5226874 11:0.39537162 12:-1.6308014 13:1.6138035 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:287.45993 2:-6.678061 3:9.062995 4:-0.7578825 5:1.7806545 6:-5.5937996 7:4.4984 8:1.9672486 9:4.1332746 10:-4.130174 11:-0.82720643 12:-0.27636144 13:0.42914283 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:280.47638 2:-10.626592 3:5.5878134 4:-1.5894445 5:-2.1298501 6:-2.0221367 7:5.51042 8:0.45468944 9:1.3160897 10:-1.8808466 11:0.8764143 12:-0.8368108 13:1.656394 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:296.63214 2:-11.631422 3:4.1298757 4:-1.2231282 5:-2.4975533 6:-2.387671 7:5.3177876 8:0.17345767 9:0.77389055 10:-2.870412 11:-1.3591949 12:-2.6024752 13:1.2649697 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:303.84247 2:-6.358873 3:6.4350414 4:-0.38392365 5:-3.126363 6:-5.7979407 7:1.9978857 8:-2.8763556 9:-0.9678465 10:-3.5216205 11:1.3068984 12:-0.8678761 13:1.4569829 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:286.88904 2:-10.094235 3:5.5759068 4:2.0127227 5:-1.1652184 6:-4.7638526 7:3.4383867 8:-1.1663885 9:-0.8514498 10:-2.8288238 11:1.2247987 12:-0.17119335 13:2.5214388 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:281.16348 2:-10.222174 3:6.5998015 4:3.4748805 5:0.48800653 6:-2.8353424 7:4.148709 8:-0.10191737 9:1.1059433 10:-1.2728952 11:0.81241524 12:-0.15508343 13:1.3688557 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
