2 1:206.86717 2:-5.6197205 3:13.28744 4:1.9265058 5:3.2485206 6:-0.61302614 7:1.1151295 8:-6.822668 9:-0.6526055 10:-2.1977632 11:2.636744 12:-2.0493279 13:0.63607013 14:206.86717 15:-5.6197205 16:13.28744 17:1.9265058 18:3.2485206 19:-0.61302614 20:1.1151295 21:-6.822668 22:-0.6526055 23:-2.1977632 24:2.636744 25:-2.0493279 26:0.63607013 
2 1:296.7999 2:-4.810419 3:13.344588 4:-0.21702297 5:1.0415502 6:-2.946232 7:0.6560624 8:-4.5769634 9:-0.5993004 10:-4.141492 11:1.0485379 12:-1.3526405 13:-0.15366732 14:296.7999 15:-4.810419 16:13.344588 17:-0.21702297 18:1.0415502 19:-2.946232 20:0.6560624 21:-4.5769634 22:-0.5993004 23:-4.141492 24:1.0485379 25:-1.3526405 26:-0.15366732 
2 1:296.42868 2:-8.069541 3:13.784375 4:1.8287789 5:-0.8604179 6:-2.5082352 7:1.5594301 8:-3.146072 9:0.23488776 10:-3.0436385 11:0.42146373 12:-1.1649954 13:0.722751 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:295.04886 2:-10.95276 3:11.509129 4:0.45884907 5:0.06567527 6:-2.8958497 7:-0.13216622 8:-5.045013 9:-2.4621673 10:-4.8126073 11:0.38808763 12:-0.497228 13:2.0725548 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:297.6398 2:-8.628083 3:13.796572 4:1.2772036 5:-2.3606064 6:-3.0070715 7:0.6088689 8:-3.2323818 9:1.577515 10:-3.5767314 11:-0.9847992 12:-1.9774185 13:1.1112037 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:306.08228 2:-3.0136971 3:13.611995 4:-0.92785597 5:-2.6784444 6:-3.384938 7:3.3639328 8:-2.465005 9:0.752305 10:-4.7014065 11:-0.21111475 12:-1.1915562 13:1.2864282 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:336.93433 2:-5.2676263 3:10.32803 4:-4.672928 5:-2.8900015 6:-1.9181597 7:2.1756792 8:-4.4007297 9:0.082606204 10:-4.720379 11:0.82219183 12:0.5626632 13:1.7871344 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:340.32254 2:-7.6820536 3:8.331269 4:-0.8161489 5:-1.2946295 6:1.348793 7:3.5675726 8:-4.0640864 9:0.77785856 10:-3.8717525 11:-0.35399872 12:-0.8229926 13:-0.26158124 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:353.76926 2:-2.8918824 3:9.282962 4:-2.5038097 5:-5.0124054 6:-0.12745021 7:3.6496658 8:-4.4793673 9:2.3925545 10:-3.4407449 11:-0.76440185 12:-2.0103893 13:1.0901691 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:355.95618 2:-4.3094387 3:6.9064817 4:-0.28162834 5:-3.8763778 6:-0.055172272 7:5.777762 8:-2.2888124 9:1.5061313 10:-2.859331 11:-0.192257 12:-1.0207224 13:2.452647 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:348.988 2:-4.890721 3:11.201438 4:1.5588359 5:-3.145385 6:-2.4846885 7:5.41264 8:-1.9963901 9:0.29465273 10:-2.6970904 11:0.39687774 12:0.44810623 13:2.4719875 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:329.2196 2:-2.567429 3:10.031993 4:-2.9335032 5:-3.4887693 6:-0.489485 7:2.0277236 8:-4.8971133 9:2.3094318 10:-1.6567781 11:0.13673943 12:-1.5455621 13:1.7259195 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:328.8951 2:-0.5167717 3:9.442162 4:-4.760924 5:-3.3818512 6:0.7287662 7:3.7189615 8:-5.6495314 9:1.641294 10:-2.037218 11:0.89005303 12:-1.2530551 13:1.0628573 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:321.01648 2:2.7385738 3:11.58203 4:-4.801649 5:-1.9633884 6:0.80385906 7:3.615777 8:-4.4884143 9:1.9681945 10:-2.939616 11:0.80464065 12:-2.2180717 13:2.1625168 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:313.7209 2:3.5755992 3:9.673011 4:-7.5797124 5:-1.333111 6:-1.1417831 7:2.2865357 8:-4.081612 9:1.5721127 10:-1.8832871 11:1.6648494 12:-3.3713915 13:1.5600679 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:314.69247 2:3.514604 3:8.517543 4:-7.460686 5:-1.648485 6:-1.1249323 7:2.4537969 8:-3.239525 9:1.5036116 10:-2.4432058 11:2.1725705 12:-3.986123 13:1.9636322 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:313.0726 2:1.5557308 3:8.953698 4:-3.5218372 5:-1.1956657 6:-2.503766 7:5.2237854 8:-2.1011162 9:1.3684464 10:-2.07292 11:1.7020321 12:-2.6451097 13:1.3970693 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:310.4717 2:-3.0505402 3:8.730747 4:1.8452522 5:-0.06873462 6:-2.302679 7:7.4126945 8:-2.2898965 9:-0.08641544 10:-3.4637535 11:0.52417016 12:-2.6668053 13:1.0867015 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:300.62836 2:-1.9596393 3:8.998801 4:-4.011484 5:-1.2338176 6:-1.3372056 7:2.440981 8:-4.0029106 9:1.4841425 10:-2.0207176 11:0.6361523 12:-2.948651 13:-0.3703111 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:323.09732 2:-1.721932 3:10.656705 4:-7.740316 5:-2.2141757 6:0.4748507 7:1.7943922 8:-2.243199 9:1.3066595 10:-3.1012733 11:-0.28498977 12:-2.2003338 13:-1.7113434 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:304.6218 2:-3.4144983 3:11.151161 4:-5.850316 5:0.5122543 6:1.5597584 7:4.2329235 8:0.44632295 9:-0.43322974 10:-2.0813086 11:0.51799923 12:-1.1621352 13:0.32370982 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:292.7121 2:-4.69272 3:8.536204 4:-6.6663995 5:-1.590012 6:0.20814264 7:3.5855553 8:-0.5598961 9:-0.3770834 10:-2.0118775 11:1.1565887 12:-1.5246308 13:0.77727693 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:275.81845 2:-4.385063 3:9.414246 4:-1.5584683 5:0.0961567 6:-3.558148 7:2.7591248 8:-2.2309985 9:-0.5038085 10:-3.504623 11:1.025188 12:-2.2668042 13:0.45189017 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:272.78787 2:-7.415729 3:8.353571 4:0.90760845 5:1.4494555 6:-4.706056 7:-0.48834756 8:-4.364481 9:0.511014 10:-3.612798 11:1.0803043 12:-2.2498274 13:2.91948 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:275.12778 2:-5.0964627 3:11.655417 4:2.5340502 5:2.2564743 6:-3.726906 7:0.923731 8:-3.455013 9:0.67960083 10:-2.287886 11:2.4125218 12:-1.0891447 13:2.483053 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:271.62042 2:-6.927268 3:11.403555 4:2.0489295 5:3.5643742 6:-1.6630492 7:0.6513904 8:-3.4326904 9:0.20025583 10:-2.2726402 11:1.4699378 12:-1.8073591 13:-0.28785735 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:278.25488 2:-6.366181 3:8.72618 4:3.4665 5:2.3223984 6:-3.8885458 7:-0.5301732 8:-3.1315184 9:1.1408215 10:-3.1685138 11:0.97724456 12:-4.1021013 13:1.8316972 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:287.21298 2:-9.050248 3:7.9106526 4:4.9528923 5:0.28819013 6:-4.2773914 7:1.3846879 8:-1.4710004 9:1.333291 10:-4.8958163 11:2.4187238 12:-4.4128017 13:1.6144879 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:314.31744 2:-11.037123 3:-3.9309359 4:2.3455555 5:6.911578 6:-3.1003568 7:-3.3577929 8:-6.446073 9:5.7157946 10:-3.5811348 11:-0.717421 12:-3.8383448 13:-1.5583967 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:293.30267 2:-9.02764 3:2.8561559 4:1.255985 5:7.4328833 6:-1.0739704 7:-1.3577164 8:-6.0534997 9:1.52438 10:-1.9088495 11:-0.21368131 12:-3.0397415 13:-0.7415408 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:289.93463 2:-7.751188 3:5.6138935 4:0.7129579 5:5.625872 6:-0.35495573 7:1.1615148 8:-1.993592 9:3.781221 10:0.3129682 11:1.568628 12:-1.5718927 13:1.4933226 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:294.80698 2:-5.172524 3:3.2691393 4:2.2786584 5:7.9931827 6:-2.9536657 7:-1.2500901 8:-3.8467803 9:3.7067032 10:-1.3922509 11:0.09148646 12:-4.4242773 13:-0.85522604 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:287.031 2:-3.0769129 3:3.2066097 4:1.2087854 5:9.169879 6:-1.3388989 7:0.02813203 8:-3.9229717 9:2.1157455 10:-3.2290657 11:-0.69845057 12:-6.2001576 13:0.2673089 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:288.91296 2:-2.0187602 3:2.8145854 4:0.8720615 5:7.0501103 6:-3.9601293 7:-0.77773815 8:-3.083653 9:3.8032622 10:-3.7458544 11:1.1518276 12:-3.6287587 13:1.2558538 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:288.18155 2:-2.3112962 3:0.16843364 4:-1.2615898 5:5.277635 6:-2.910203 7:0.4931152 8:-2.234346 9:5.446207 10:-2.560666 11:1.6158445 12:-1.9542197 13:3.234369 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:290.2512 2:0.08236353 3:2.53035 4:-0.42587087 5:7.070162 6:-2.2160487 7:0.11539759 8:-2.6541548 9:4.3667526 10:-2.2430832 11:2.5762303 12:-1.3060372 13:2.3461256 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:295.5258 2:1.3675901 3:2.6084452 4:-0.20586553 5:6.0718446 6:-2.8379653 7:1.4085588 8:-3.4890356 9:4.470474 10:-2.0383043 11:2.8474007 12:-1.9490129 13:2.3989677 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:297.1723 2:0.4360628 3:1.5581777 4:-1.9022708 5:3.6456654 6:-2.007372 7:1.5173205 8:-2.319922 9:6.247889 10:-1.557511 11:2.3429496 12:-3.2860122 13:1.9589269 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:301.4998 2:2.19521 3:2.156991 4:-1.7093078 5:4.0374393 6:-2.1578865 7:-0.6356799 8:-5.5227504 9:5.8405538 10:-3.0503922 11:1.9787937 12:-4.86055 13:0.04437814 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:297.26843 2:-1.0443404 3:0.6190365 4:-4.043897 5:3.2257886 6:-2.5700881 7:-0.60468537 8:-4.8302617 9:5.128816 10:-2.7074177 11:1.1415695 12:-4.054652 13:0.61679834 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:298.71988 2:-1.0721625 3:-1.5661083 4:-3.8179436 5:2.9628448 6:-1.7601928 7:1.6554967 8:-2.5715759 9:5.7788334 10:-2.6983411 11:-1.3976449 12:-4.578924 13:0.7710902 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:299.6476 2:-1.2039081 3:-0.43230197 4:-2.8572385 5:5.6020126 6:0.35936797 7:2.1636493 8:-3.0692632 9:5.109955 10:-3.6226423 11:-1.152355 12:-4.0141187 13:2.7654717 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:295.93094 2:-1.1747984 3:0.13838027 4:-2.6549687 5:7.0955334 6:1.1087581 7:3.964599 8:-3.034995 9:3.5070655 10:-3.2069829 11:-1.1619779 12:-4.557648 13:2.7358897 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:294.12082 2:-0.75736195 3:0.046179533 4:-3.8399096 5:3.437845 6:-2.2416964 7:2.3638465 8:-5.49761 9:1.8336244 10:-4.541681 11:-2.4776146 12:-4.2045884 13:2.3987582 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:294.48215 2:-1.2627035 3:0.6569899 4:-2.3585806 5:5.2139177 6:0.7198651 7:3.1042259 8:-3.0548222 9:3.799422 10:-2.2995427 11:1.0558639 12:-3.3127432 13:1.0698445 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:295.3798 2:0.14729682 3:3.227064 4:-2.210771 5:5.553496 6:0.22966336 7:3.5465434 8:-2.7095282 9:3.1789904 10:-1.6603738 11:-0.12229865 12:-3.8039973 13:2.5216637 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:302.68057 2:0.16289093 3:9.848958 4:-1.9604869 5:2.050134 6:1.4868484 7:4.3241367 8:-3.3245327 9:4.8167877 10:-2.2363663 11:-0.33806288 12:-1.0269159 13:2.3125732 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:292.03802 2:-3.4529104 3:8.107844 4:0.27804136 5:2.3152633 6:1.1454208 7:3.373633 8:-2.8949308 9:2.2020633 10:-3.5325077 11:-0.7657565 12:-2.9066968 13:0.6762574 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:288.14505 2:-6.1523185 3:6.393748 4:0.44554153 5:0.16970679 6:-0.82569194 7:4.318396 8:-2.5499084 9:1.518295 10:-2.4494836 11:0.27228504 12:-1.2711778 13:0.46369687 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:288.15198 2:-6.4882336 3:8.791219 4:2.163879 5:-0.2876897 6:-0.8506511 7:2.8884733 8:-3.9373326 9:1.3323938 10:-2.5078874 11:-0.6006087 12:-1.2528882 13:0.9098012 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:286.13107 2:-6.238349 3:8.970701 4:2.1567717 5:-1.4187286 6:-2.0606322 7:4.6107736 8:-2.099196 9:1.6111914 10:-1.8685758 11:0.25528976 12:-1.2262722 13:1.2846402 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:299.72025 2:-11.431938 3:2.3117566 4:4.6776805 5:3.5730124 6:-0.4170357 7:6.7827654 8:-4.354899 9:0.25871998 10:-0.886966 11:1.9946965 12:-4.566774 13:-2.3916614 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:280.8918 2:-5.3050013 3:7.7715006 4:1.9441797 5:0.7999747 6:-2.16564 7:5.149919 8:-3.9364438 9:0.6103707 10:-1.0420778 11:1.7056643 12:-2.078565 13:-0.14182296 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:274.50287 2:-5.539403 3:10.958264 4:1.201333 5:1.4873153 6:-0.90628135 7:4.152601 8:-3.610715 9:-1.0336051 10:-2.8163033 11:0.15084128 12:-1.8751948 13:0.031342294 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:278.24515 2:-5.358835 3:8.678397 4:2.742289 5:0.017366672 6:-3.4501638 7:3.908089 8:-2.9903054 9:1.406527 10:-2.3793855 11:0.26755437 12:-1.9605005 13:1.0469984 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:276.86237 2:-5.936629 3:7.8510036 4:2.3309934 5:2.5992322 6:-1.4610738 7:4.632257 8:-3.6305208 9:0.15796012 10:-2.4859126 11:-0.2517186 12:-2.7754025 13:0.14682548 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:275.65253 2:-9.652268 3:7.082797 4:2.1501489 5:-0.13480157 6:-1.6564684 7:5.9959936 8:-1.791894 9:0.8990582 10:-3.1155095 11:0.5164603 12:-2.0471566 13:-0.24940567 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
2 1:277.67828 2:-9.856486 3:5.9306355 4:1.7911174 5:-0.44800177 6:-1.5953666 7:5.380619 8:-3.8741162 9:0.81798476 10:-2.8602383 11:-1.2828447 12:-1.8182869 13:1.1764578 14:104.51214 15:0.7036292 16:2.3056943 17:0.20582107 18:0.19714023 19:0.8682119 20:1.8285155 21:-1.6932578 22:0.6461914 23:-1.5749601 24:1.4717039 25:-1.098987 26:0.3060562 
