2 1:168.28418 2:-7.5477204 3:5.034552 4:-3.3232133 5:2.1409848 6:-6.0834575 7:-3.7773097 8:-0.2936854 9:2.0030878 10:-0.8118189 11:3.4973402 12:-5.224323 13:0.5693699 14:168.28418 15:-7.5477204 16:5.034552 17:-3.3232133 18:2.1409848 19:-6.0834575 20:-3.7773097 21:-0.2936854 22:2.0030878 23:-0.8118189 24:3.4973402 25:-5.224323 26:0.5693699 
2 1:263.1166 2:-8.504427 3:5.5415816 4:-0.23371445 5:1.1327183 6:-2.27406 7:3.2641637 8:0.5488505 9:3.003502 10:-1.4711567 11:2.4100075 12:-2.7705102 13:1.5841312 14:263.1166 15:-8.504427 16:5.5415816 17:-0.23371445 18:1.1327183 19:-2.27406 20:3.2641637 21:0.5488505 22:3.003502 23:-1.4711567 24:2.4100075 25:-2.7705102 26:1.5841312 
2 1:262.61346 2:-11.512915 3:4.2862377 4:0.98528486 5:3.5826354 6:-0.90954167 7:2.1813748 8:-0.76811594 9:1.6250423 10:-0.885856 11:2.1791437 12:-2.0890248 13:2.6998312 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:266.63614 2:-11.936027 3:3.8765678 4:-0.7465326 5:-0.0021313222 6:-2.0378146 7:1.9111476 8:-3.9845679 9:1.5789135 10:-1.1192286 11:0.5218186 12:-1.3673286 13:3.3517148 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:303.22986 2:-2.303295 3:3.3923988 4:2.2910852 5:2.2434237 6:-4.543418 7:4.2054787 8:-1.4909207 9:0.6361899 10:-4.697436 11:0.19513646 12:-1.1373564 13:5.2170906 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:308.4265 2:0.9752284 3:11.771085 4:-1.0569129 5:-0.35959524 6:-0.90150905 7:6.403565 8:-0.3689623 9:-0.13711779 10:-4.184968 11:-0.09500443 12:-1.6462954 13:3.9063613 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:309.31903 2:-3.9942532 3:10.441069 4:1.487759 5:1.291648 6:-0.9928313 7:4.4144044 8:-1.4641186 9:0.34689656 10:-3.9783742 11:-0.20036533 12:-1.8923264 13:2.6871285 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:308.29446 2:-10.748174 3:6.5749555 4:-0.746041 5:-3.029654 6:-3.9119666 7:3.6036053 8:-0.27188602 9:-0.24316561 10:-4.559467 11:-0.37601337 12:-0.22097029 13:1.9504652 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:302.6301 2:-11.940735 3:7.767859 4:-3.3336792 5:-4.125829 6:-0.5337513 7:4.9064703 8:0.37182063 9:1.4480067 10:-2.4087043 11:-0.8124175 12:-1.2413152 13:0.72650754 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:295.70844 2:-7.477492 3:9.196649 4:-4.437097 5:-3.601295 6:0.009260556 7:4.168431 8:-1.1951487 9:1.6511127 10:-1.9504524 11:-0.4603717 12:-1.2205267 13:0.6415603 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:287.3868 2:-3.3366897 3:7.943332 4:-3.5859683 5:-0.80828553 6:-2.079266 7:3.4598086 8:-1.5649753 9:0.47527918 10:-3.3454552 11:1.7123681 12:-2.0656033 13:2.0271811 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:285.05515 2:-6.1560655 3:10.8746605 4:-0.1576971 5:1.5009102 6:-1.836599 7:2.5604978 8:-0.824869 9:3.2058437 10:-0.8324792 11:0.030648641 12:-1.6504357 13:0.5157032 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:289.4872 2:-6.1318035 3:9.614912 4:-2.5796838 5:-0.5845659 6:-2.00254 7:3.241924 8:-0.70302343 9:3.0355327 10:-0.9724585 11:2.194628 12:-0.26215008 13:-0.26434517 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:283.88568 2:-7.8014784 3:7.490623 4:-2.2200227 5:-0.69320655 6:-0.6845117 7:1.4486215 8:-1.5551064 9:0.74512714 10:-1.1702621 11:2.9660845 12:-1.3554469 13:0.39800724 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:314.26614 2:5.5007834 3:10.387369 4:-0.9143862 5:-0.95368797 6:-1.1360961 7:5.317264 8:-2.9739988 9:3.5286505 10:-2.591259 11:3.5568285 12:-1.7199239 13:1.199641 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:302.92505 2:3.376559 3:12.077436 4:-0.24674147 5:1.1639563 6:-0.58797395 7:6.866653 8:-1.2999387 9:4.671179 10:-2.16647 11:3.535496 12:-2.343399 13:1.5870668 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
