1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:210.18973 2:4.626268 3:13.133729 4:0.76872236 5:3.7808704 6:0.25741962 7:5.107396 8:0.69685143 9:3.8457918 10:-3.6747088 11:2.195928 12:-3.1814916 13:1.5955743 14:210.18973 15:4.626268 16:13.133729 17:0.76872236 18:3.7808704 19:0.25741962 20:5.107396 21:0.69685143 22:3.8457918 23:-3.6747088 24:2.195928 25:-3.1814916 26:1.5955743 
1 1:215.0744 2:4.92594 3:10.1933155 4:-1.9640304 5:3.159196 6:-3.6891193 7:3.4302752 8:-2.3253484 9:1.0495577 10:-2.9168565 11:0.562552 12:-2.7443109 13:2.9181366 14:79.75658 15:6.039043 16:4.1252065 17:-0.24716733 18:3.235644 19:0.06997272 20:2.3856356 21:-1.4522414 22:1.3315477 23:-0.9596852 24:1.8193233 25:-0.8741547 26:1.909228 
1 1:214.5837 2:4.9901876 3:10.083276 4:-1.1404465 5:1.974524 6:-3.9072123 7:2.28763 8:-2.9205637 9:1.9100605 10:-2.9567673 11:1.9456835 12:-1.4834235 13:1.6927377 14:79.75658 15:6.039043 16:4.1252065 17:-0.24716733 18:3.235644 19:0.06997272 20:2.3856356 21:-1.4522414 22:1.3315477 23:-0.9596852 24:1.8193233 25:-0.8741547 26:1.909228 
1 1:212.91954 2:6.2874722 3:10.962866 4:-0.55848044 5:2.199938 6:0.16778614 7:5.830172 8:-0.47818416 9:2.2351778 10:-2.7654095 11:4.301594 12:-1.8935045 13:3.5546386 14:79.75658 15:6.039043 16:4.1252065 17:-0.24716733 18:3.235644 19:0.06997272 20:2.3856356 21:-1.4522414 22:1.3315477 23:-0.9596852 24:1.8193233 25:-0.8741547 26:1.909228 
1 1:212.94586 2:7.370191 3:12.438472 4:-1.1208043 5:0.6822231 6:-3.3022501 7:5.173995 8:-0.8643609 9:2.4606388 10:-2.830632 11:4.9457664 12:-1.6969463 13:0.7939912 14:79.75658 15:6.039043 16:4.1252065 17:-0.24716733 18:3.235644 19:0.06997272 20:2.3856356 21:-1.4522414 22:1.3315477 23:-0.9596852 24:1.8193233 25:-0.8741547 26:1.909228 
1 1:212.49991 2:5.150147 3:7.361521 4:-3.5511193 5:3.2845037 6:-3.6839454 7:3.721311 8:-0.63243496 9:3.9260468 10:-2.08274 11:5.3143306 12:-2.0145946 13:3.1007593 14:79.75658 15:6.039043 16:4.1252065 17:-0.24716733 18:3.235644 19:0.06997272 20:2.3856356 21:-1.4522414 22:1.3315477 23:-0.9596852 24:1.8193233 25:-0.8741547 26:1.909228 
1 1:211.73979 2:4.4371405 3:8.80999 4:-0.26575717 5:3.5255828 6:-3.51464 7:4.29608 8:-0.8546854 9:4.0702834 10:-1.6086861 11:6.728941 12:-0.8298978 13:3.2168694 14:79.75658 15:6.039043 16:4.1252065 17:-0.24716733 18:3.235644 19:0.06997272 20:2.3856356 21:-1.4522414 22:1.3315477 23:-0.9596852 24:1.8193233 25:-0.8741547 26:1.909228 
1 1:212.12915 2:6.295636 3:11.057393 4:-3.1280174 5:2.85084 6:-2.7593367 7:5.1189303 8:0.7341885 9:3.2738936 10:-2.3206506 11:4.8917503 12:-0.44892934 13:3.1750877 14:79.75658 15:6.039043 16:4.1252065 17:-0.24716733 18:3.235644 19:0.06997272 20:2.3856356 21:-1.4522414 22:1.3315477 23:-0.9596852 24:1.8193233 25:-0.8741547 26:1.909228 
1 1:210.70508 2:5.4547043 3:9.327219 4:-5.1317463 5:3.212601 6:-3.2686484 7:3.663189 8:1.3591554 9:4.8880596 10:-2.1022203 11:2.405201 12:-1.652537 13:3.5484 14:79.75658 15:6.039043 16:4.1252065 17:-0.24716733 18:3.235644 19:0.06997272 20:2.3856356 21:-1.4522414 22:1.3315477 23:-0.9596852 24:1.8193233 25:-0.8741547 26:1.909228 
1 1:207.54482 2:3.9729197 3:8.276877 4:-2.7098498 5:1.634781 6:-2.9393141 7:1.593518 8:-1.7892528 9:5.3199096 10:-2.2967527 11:2.3979247 12:-1.2758464 13:2.8255286 14:79.75658 15:6.039043 16:4.1252065 17:-0.24716733 18:3.235644 19:0.06997272 20:2.3856356 21:-1.4522414 22:1.3315477 23:-0.9596852 24:1.8193233 25:-0.8741547 26:1.909228 
