2 1:152.63272 2:0.8006584 3:2.259494 4:-3.992043 5:2.8413758 6:-2.6865833 7:-1.8881552 8:-5.908148 9:4.67102 10:-2.0865605 11:3.5036035 12:-2.2718334 13:-0.9245793 14:152.63272 15:0.8006584 16:2.259494 17:-3.992043 18:2.8413758 19:-2.6865833 20:-1.8881552 21:-5.908148 22:4.67102 23:-2.0865605 24:3.5036035 25:-2.2718334 26:-0.9245793 
2 1:210.9565 2:2.3637552 3:6.2855005 4:-1.7063202 5:3.6710768 6:-1.7172394 7:4.769683 8:-1.6792341 9:2.4442384 10:-1.4914497 11:4.8521805 12:-2.477133 13:2.4651284 14:210.9565 15:2.3637552 16:6.2855005 17:-1.7063202 18:3.6710768 19:-1.7172394 20:4.769683 21:-1.6792341 22:2.4442384 23:-1.4914497 24:4.8521805 25:-2.477133 26:2.4651284 
2 1:209.33078 2:5.965569 3:8.024723 4:1.1086104 5:5.045039 6:-1.2562195 7:5.3148813 8:-1.8221039 9:3.4486656 10:-1.6179262 11:3.8439245 12:-2.8435729 13:3.3976793 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:216.48917 2:2.7745721 3:4.4400954 4:-0.9937924 5:2.1776075 6:-1.333907 7:4.7837787 8:-2.3532555 9:2.7973266 10:-1.4005628 11:3.3862734 12:-2.6862583 13:1.8400564 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:211.50531 2:-2.3620512 3:4.4630523 4:-1.4243916 5:1.538797 6:-0.11541228 7:4.1264653 8:-2.5980268 9:5.744209 10:0.86530894 11:0.6321869 12:-1.8226647 13:3.7989836 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:212.43759 2:4.863451 3:7.209755 4:-1.9804959 5:3.4438055 6:-1.1886581 7:3.728225 8:-2.8375638 9:2.0673335 10:-2.5816166 11:2.330552 12:-1.9679626 13:1.7489301 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:212.45389 2:0.70289814 3:4.6548605 4:-2.91548 5:4.174836 6:0.15018216 7:4.151479 8:-1.6659706 9:1.6692916 10:-2.7003872 11:2.619541 12:-2.2399971 13:3.0584424 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:212.61092 2:-0.48301 3:7.183247 4:0.3827881 5:5.562346 6:-0.31784597 7:0.9949367 8:-2.3673728 9:0.14769895 10:-3.5902581 11:1.7362779 12:-2.0416589 13:4.034495 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:205.31487 2:-0.83738136 3:7.0172815 4:0.9863948 5:1.6790583 6:-2.7007105 7:1.6640893 8:-2.7638884 9:3.003256 10:-0.9695435 11:3.688812 12:-1.9814621 13:3.0501122 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:205.44849 2:-0.7660654 3:6.8890643 4:-1.5929812 5:1.4844685 6:-1.7586697 7:3.51378 8:-2.5777917 9:2.413182 10:-0.045572944 11:0.8601594 12:-4.0813017 13:1.8523936 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:205.99092 2:1.7060717 3:7.9514217 4:-0.39617962 5:5.601057 6:-0.1082342 7:1.4079385 8:-3.9280548 9:2.0346525 10:-2.5001519 11:1.294595 12:-2.677405 13:0.7178511 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
