1 1:186.28069 2:-7.8222594 3:10.62673 4:-0.29866776 5:2.107458 6:3.1231916 7:3.481618 8:-3.2348032 9:1.2574631 10:-6.4629188 11:0.70867956 12:-0.50458324 13:0.63372666 14:186.28069 15:-7.8222594 16:10.62673 17:-0.29866776 18:2.107458 19:3.1231916 20:3.481618 21:-3.2348032 22:1.2574631 23:-6.4629188 24:0.70867956 25:-0.50458324 26:0.63372666 
1 1:239.13705 2:-8.209819 3:6.7343774 4:0.3613115 5:-0.42303938 6:0.983024 7:1.9969995 8:-0.82121766 9:2.4626217 10:-2.3893328 11:3.1133573 12:-1.4684958 13:0.48656905 14:239.13705 15:-8.209819 16:6.7343774 17:0.3613115 18:-0.42303938 19:0.983024 20:1.9969995 21:-0.82121766 22:2.4626217 23:-2.3893328 24:3.1133573 25:-1.4684958 26:0.48656905 
1 1:231.56755 2:-5.21136 3:7.592848 4:1.6315972 5:0.8659996 6:-0.6646151 7:4.134413 8:0.13743977 9:1.4420211 10:-4.087256 11:1.462768 12:-1.536518 13:1.9453417 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:230.61836 2:-7.0440283 3:6.666143 4:2.2121341 5:1.2574023 6:-0.6574476 7:3.2493784 8:-0.093254164 9:3.5240667 10:-1.7848929 11:2.8582458 12:-1.2795492 13:1.5778227 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:225.42163 2:-3.184963 3:5.8887944 4:1.1534932 5:1.2855663 6:-1.3009696 7:4.212983 8:-0.56817955 9:2.8926983 10:-1.3481368 11:1.1518589 12:-1.2531577 13:2.5095198 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:229.80832 2:-1.3729762 3:9.525219 4:1.2612027 5:1.042544 6:-2.261948 7:3.3646708 8:-1.3841182 9:1.5598648 10:-3.5469267 11:0.2965643 12:-1.9462671 13:1.545797 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:225.32588 2:-1.7094126 3:7.101979 4:0.58465433 5:1.8541156 6:0.37729052 7:1.2670779 8:-3.5072498 9:1.0900745 10:-3.4168737 11:3.1062367 12:-2.7835507 13:2.659926 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:226.34268 2:-2.6392038 3:5.197115 4:0.39228326 5:1.9701885 6:0.29068887 7:1.5027072 8:-3.6849632 9:1.4405715 10:-3.6138544 11:1.4582185 12:-3.804828 13:1.0590423 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:214.2995 2:-5.7023034 3:5.3220787 4:0.3036639 5:0.23813923 6:-1.4485751 7:2.912251 8:-1.1179378 9:3.2000964 10:-1.0229534 11:0.78546625 12:-4.2028766 13:0.41588214 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:213.01314 2:-6.4583306 3:4.92195 4:-1.3087225 5:2.7660992 6:-0.28524223 7:2.0824056 8:-1.0282584 9:2.9166908 10:-0.8150068 11:0.644958 12:-3.726392 13:-0.072863795 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:210.26727 2:-3.661414 3:5.8877087 4:-0.6853194 5:4.6070232 6:0.6732691 7:3.561733 8:0.7867701 9:3.8154948 10:-0.9849943 11:3.0324535 12:-1.1948613 13:1.5156366 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
