2 1:137.34856 2:-11.61418 3:0.45318028 4:-4.0406303 5:-2.2450616 6:-3.535972 7:3.6055005 8:-1.9678713 9:0.9914 10:-2.2553139 11:3.5020638 12:-1.9087671 13:0.99396616 14:137.34856 15:-11.61418 16:0.45318028 17:-4.0406303 18:-2.2450616 19:-3.535972 20:3.6055005 21:-1.9678713 22:0.9914 23:-2.2553139 24:3.5020638 25:-1.9087671 26:0.99396616 
2 1:247.41107 2:-9.951201 3:6.4850583 4:4.9578824 5:5.8406005 6:-0.9829216 7:0.21206751 8:-3.5547056 9:0.11489155 10:-2.4128883 11:1.6336726 12:-1.1038666 13:1.0035565 14:247.41107 15:-9.951201 16:6.4850583 17:4.9578824 18:5.8406005 19:-0.9829216 20:0.21206751 21:-3.5547056 22:0.11489155 23:-2.4128883 24:1.6336726 25:-1.1038666 26:1.0035565 
2 1:247.03043 2:-11.174937 3:5.9117126 4:3.9339566 5:7.6847315 6:-0.6700813 7:-0.95125234 8:-1.3857843 9:0.88495785 10:-2.5006263 11:1.0661118 12:-0.9807472 13:1.2595853 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:246.25948 2:-10.806921 3:5.9423485 4:5.4335327 5:8.299946 6:-0.12053854 7:-0.34086967 8:-1.9010475 9:1.6523175 10:-3.008998 11:0.83850545 12:-1.4868699 13:0.005468763 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:244.97455 2:-11.353671 3:2.6822944 4:0.62425464 5:2.9581926 6:-1.0823195 7:2.9061315 8:0.32687318 9:-0.9593615 10:-0.23248056 11:1.3700948 12:-1.5864371 13:3.5545511 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:246.70087 2:-10.221097 3:1.8220823 4:0.993986 5:4.038439 6:-0.65541524 7:2.963411 8:-0.8633898 9:-0.30628985 10:-1.6378423 11:1.0404204 12:-1.5395492 13:3.9929266 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:241.81602 2:-10.389461 3:5.5486817 4:2.4365091 5:3.8880694 6:0.44101226 7:2.4501648 8:-1.3608209 9:0.8547682 10:-0.24913128 11:1.4486986 12:-1.0407678 13:3.2614858 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:245.54301 2:-9.640582 3:5.402669 4:2.0784373 5:3.949632 6:-0.54240525 7:3.1400676 8:-1.2113475 9:0.51552707 10:-1.1987911 11:0.44277737 12:-1.9009265 13:2.3768623 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:242.53835 2:-11.59691 3:4.2450128 4:1.1923053 5:4.2001066 6:0.865843 7:1.8080283 8:-2.730137 9:1.457217 10:-1.2420863 11:-0.7656611 12:-4.651066 13:-0.57829696 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:242.94023 2:-10.439563 3:4.357543 4:0.9660683 5:4.367567 6:-1.1215165 7:0.78922623 8:-1.7042577 9:0.35612148 10:-1.5010413 11:-1.5627834 12:-4.4187155 13:-0.41744575 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:244.49905 2:-8.653087 3:6.235922 4:1.9781212 5:4.9090443 6:-0.64751476 7:2.9209137 8:-0.7882364 9:1.4819255 10:-2.0803034 11:-2.6835184 12:-2.9636004 13:1.7376728 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
