2 1:152.49289 2:0.5196987 3:8.625948 4:-0.4562798 5:5.5092926 6:-3.7819052 7:-1.5871646 8:-2.9598897 9:1.3820348 10:-4.3907404 11:4.409403 12:0.4904394 13:0.123403415 14:152.49289 15:0.5196987 16:8.625948 17:-0.4562798 18:5.5092926 19:-3.7819052 20:-1.5871646 21:-2.9598897 22:1.3820348 23:-4.3907404 24:4.409403 25:0.4904394 26:0.123403415 
2 1:207.95459 2:2.6397593 3:9.732038 4:-0.70916927 5:5.409532 6:0.1772118 7:5.9620385 8:-0.6268537 9:2.4510083 10:-2.6859193 11:3.6859345 12:-1.5641034 13:2.3796263 14:207.95459 15:2.6397593 16:9.732038 17:-0.70916927 18:5.409532 19:0.1772118 20:5.9620385 21:-0.6268537 22:2.4510083 23:-2.6859193 24:3.6859345 25:-1.5641034 26:2.3796263 
2 1:209.86351 2:1.3275428 3:9.79431 4:1.8584814 5:3.5854409 6:-0.4748672 7:5.7526617 8:-2.5672767 9:2.1212735 10:-2.7265022 11:1.7005289 12:-2.339445 13:2.814213 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:204.7963 2:-2.5628858 3:6.696683 4:1.1211395 5:3.233802 6:-0.23658878 7:3.9725904 8:-2.5824025 9:1.0320692 10:-2.6103647 11:1.9545965 12:-1.5645013 13:3.0866878 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:206.54272 2:0.96366185 3:10.18581 4:0.7150302 5:5.347797 6:-1.0219871 7:1.8832021 8:-2.2232866 9:1.6896211 10:-3.3480477 11:3.9572954 12:-0.2918922 13:3.2729995 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:208.25424 2:1.7135197 3:10.598037 4:1.4671648 5:4.766911 6:-0.0030622862 7:1.1547303 8:-4.7833796 9:0.8517548 10:-2.2690034 11:3.4555094 12:-0.543278 13:2.666733 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:206.40753 2:1.5384086 3:9.040274 4:0.88885856 5:3.6703935 6:-0.9919697 7:2.5640428 8:-3.9162126 9:0.71355015 10:-3.5373545 11:2.4880233 12:-2.5514324 13:3.315299 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:208.15332 2:3.4756613 3:8.801894 4:2.212157 5:6.31815 6:-1.173613 7:2.8419771 8:-3.082487 9:1.5796027 10:-2.6415598 11:4.2402797 12:-1.5775836 13:3.123322 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:245.85962 2:-7.7853594 3:-5.461735 4:1.93362 5:10.068789 6:2.2337193 7:-1.1065499 8:-5.71804 9:7.385197 10:-7.868751 11:5.3367257 12:-1.1781961 13:-1.4326786 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:234.67726 2:-5.0719047 3:-1.6849698 4:2.7327566 5:11.006552 6:2.4092953 7:-0.7879376 8:-5.381292 9:6.7644596 10:-7.645737 11:4.571947 12:-0.29789343 13:-1.0028208 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:208.58488 2:2.762933 3:9.579306 4:-1.0329765 5:1.3592292 6:-2.7829607 7:1.8496329 8:-1.2207774 9:3.9346738 10:-4.1445885 11:1.429791 12:-1.3576562 13:3.9529665 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:204.6061 2:0.7915928 3:8.508467 4:-0.79307294 5:4.0913477 6:-1.1496919 7:1.5472026 8:-0.14733166 9:2.9931362 10:-3.9692624 11:1.6839132 12:-1.459443 13:5.635573 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:208.6616 2:3.3637822 3:11.132702 4:1.3242723 5:2.3488 6:-1.0941637 7:4.3590703 8:-0.98680514 9:2.002308 10:-3.0115256 11:4.145723 12:-1.8817434 13:3.3669658 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:209.72185 2:-4.3187222 3:7.8828998 4:-1.7534939 5:1.4882234 6:1.6530585 7:4.3451147 8:-1.3093448 9:2.6010375 10:-2.0468578 11:3.3143432 12:-0.6831044 13:0.60275835 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:208.28578 2:1.4305109 3:8.760581 4:-0.31985125 5:5.0512986 6:0.12317006 7:1.2495185 8:-2.649461 9:0.6558265 10:-3.1205435 11:4.2721066 12:-1.4608873 13:2.9288464 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
