2 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
2 1:279.647 2:8.553752 3:5.2575903 4:-6.707698 5:3.861158 6:-4.68217 7:4.5073204 8:-2.4593613 9:1.3064421 10:-4.767958 11:1.2057105 12:-1.1244435 13:3.9251223 14:279.647 15:8.553752 16:5.2575903 17:-6.707698 18:3.861158 19:-4.68217 20:4.5073204 21:-2.4593613 22:1.3064421 23:-4.767958 24:1.2057105 25:-1.1244435 26:3.9251223 
2 1:270.3838 2:8.6180935 3:4.727039 4:-6.040006 5:3.7703404 6:-1.879559 7:4.813127 8:-3.916413 9:3.8459067 10:-2.1318161 11:3.2613041 12:-1.8925893 13:2.7945943 14:66.43284 15:1.7424631 16:2.1017916 17:-0.5816441 18:1.5304481 19:-0.5516993 20:1.0090485 21:-1.3289135 22:0.66774577 23:-0.3141881 24:1.7223353 25:-0.46193022 26:0.6262137 
2 1:268.61005 2:8.267701 3:4.799049 4:-6.7989964 5:6.151761 6:-1.145492 7:3.616076 8:-4.843094 9:-0.34447682 10:-2.9308631 11:3.2570455 12:-1.6157099 13:3.4709427 14:66.43284 15:1.7424631 16:2.1017916 17:-0.5816441 18:1.5304481 19:-0.5516993 20:1.0090485 21:-1.3289135 22:0.66774577 23:-0.3141881 24:1.7223353 25:-0.46193022 26:0.6262137 
2 1:259.72253 2:9.453931 3:8.68766 4:-5.8402996 5:7.429741 6:-0.18376139 7:5.0829964 8:-2.589127 9:3.7776868 10:-3.581199 11:3.7661684 12:-2.0677676 13:2.963965 14:66.43284 15:1.7424631 16:2.1017916 17:-0.5816441 18:1.5304481 19:-0.5516993 20:1.0090485 21:-1.3289135 22:0.66774577 23:-0.3141881 24:1.7223353 25:-0.46193022 26:0.6262137 
2 1:251.8062 2:9.746612 3:6.305692 4:-7.5343194 5:5.436166 6:-0.9464519 7:6.3314977 8:-2.2683208 9:3.9117692 10:-4.439552 11:5.082635 12:0.43349254 13:4.2613196 14:66.43284 15:1.7424631 16:2.1017916 17:-0.5816441 18:1.5304481 19:-0.5516993 20:1.0090485 21:-1.3289135 22:0.66774577 23:-0.3141881 24:1.7223353 25:-0.46193022 26:0.6262137 
2 1:246.02585 2:8.831068 3:4.203513 4:-6.3984413 5:4.1546335 6:-0.5242445 7:4.6539483 8:-5.178115 9:0.34159687 10:-3.7537198 11:5.6701956 12:-1.0937924 13:3.3263702 14:66.43284 15:1.7424631 16:2.1017916 17:-0.5816441 18:1.5304481 19:-0.5516993 20:1.0090485 21:-1.3289135 22:0.66774577 23:-0.3141881 24:1.7223353 25:-0.46193022 26:0.6262137 
2 1:251.03395 2:0.5488402 3:4.4524627 4:-1.204044 5:1.4921268 6:-3.810824 7:5.1773205 8:-3.3359864 9:-0.8268918 10:-0.41285324 11:2.9092226 12:-0.42534226 13:4.120848 14:66.43284 15:1.7424631 16:2.1017916 17:-0.5816441 18:1.5304481 19:-0.5516993 20:1.0090485 21:-1.3289135 22:0.66774577 23:-0.3141881 24:1.7223353 25:-0.46193022 26:0.6262137 
2 1:248.99055 2:-6.2242723 3:8.192424 4:0.10546263 5:0.30752468 6:-1.5799736 7:3.8784807 8:-2.2216032 9:-1.3225074 10:-0.0012330712 11:1.3211783 12:-3.663402 13:2.6756732 14:66.43284 15:1.7424631 16:2.1017916 17:-0.5816441 18:1.5304481 19:-0.5516993 20:1.0090485 21:-1.3289135 22:0.66774577 23:-0.3141881 24:1.7223353 25:-0.46193022 26:0.6262137 
2 1:238.28722 2:-5.4596615 3:8.212434 4:-4.310892 5:3.649098 6:2.5121102 7:1.3430328 8:-0.059397206 9:2.2514253 10:0.30528829 11:2.3687627 12:-2.711145 13:2.9978848 14:66.43284 15:1.7424631 16:2.1017916 17:-0.5816441 18:1.5304481 19:-0.5516993 20:1.0090485 21:-1.3289135 22:0.66774577 23:-0.3141881 24:1.7223353 25:-0.46193022 26:0.6262137 
2 1:244.01616 2:2.163766 3:6.612772 4:-4.5032377 5:5.4063888 6:0.91880655 7:0.9051402 8:-4.6879625 9:2.0877726 10:0.015647534 11:5.583127 12:-2.9103425 13:1.3598605 14:66.43284 15:1.7424631 16:2.1017916 17:-0.5816441 18:1.5304481 19:-0.5516993 20:1.0090485 21:-1.3289135 22:0.66774577 23:-0.3141881 24:1.7223353 25:-0.46193022 26:0.6262137 
