1 1:180.05902 2:4.247994 3:6.0751905 4:-4.478776 5:-1.1322963 6:0.8191602 7:-0.59348875 8:-4.9955096 9:3.4279387 10:-2.332353 11:6.4287934 12:-6.2866535 13:2.4152374 14:180.05902 15:4.247994 16:6.0751905 17:-4.478776 18:-1.1322963 19:0.8191602 20:-0.59348875 21:-4.9955096 22:3.4279387 23:-2.332353 24:6.4287934 25:-6.2866535 26:2.4152374 
1 1:232.31726 2:8.867826 3:11.55612 4:-1.1677084 5:5.5587664 6:1.3522625 7:0.40937907 8:-2.065749 9:5.424884 10:-3.3794518 11:5.8569474 12:-3.9891245 13:2.7738934 14:232.31726 15:8.867826 16:11.55612 17:-1.1677084 18:5.5587664 19:1.3522625 20:0.40937907 21:-2.065749 22:5.424884 23:-3.3794518 24:5.8569474 25:-3.9891245 26:2.7738934 
1 1:225.3603 2:5.9243374 3:11.466608 4:-1.7859116 5:2.2147746 6:0.63910794 7:-0.8870197 8:-4.044732 9:3.4392347 10:-4.208061 11:6.2652736 12:-1.5808848 13:3.806006 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:229.85074 2:7.72406 3:11.710321 4:-2.7076523 5:2.1287181 6:0.115886934 7:0.4304038 8:-4.139463 9:3.3767176 10:-1.9947414 11:8.124111 12:-1.9698712 13:2.2757902 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:233.76239 2:6.718011 3:9.121114 4:-2.9045458 5:1.9704125 6:0.8252868 7:3.5883622 8:-0.13922487 9:4.639319 10:-3.2671766 11:6.6047964 12:-3.2294593 13:3.4130397 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:227.90866 2:6.0855565 3:10.4081955 4:-1.818988 5:2.966312 6:-0.504883 7:0.08806567 8:-2.244893 9:3.7673728 10:-3.6695569 11:5.3334093 12:-3.7076168 13:1.3329144 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.83388 2:5.5481477 3:11.905344 4:0.25653148 5:1.0555921 6:-1.5777524 7:2.4838302 8:-1.1205907 9:3.929578 10:-4.6433887 11:3.1483097 12:-5.898006 13:2.2845259 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:231.17432 2:7.3649507 3:12.087707 4:0.009155158 5:2.80327 6:0.47868302 7:3.4808843 8:-1.4395715 9:4.1818957 10:-4.441065 11:4.1736426 12:-5.28232 13:1.7346013 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:231.03236 2:6.814023 3:11.638862 4:1.9937413 5:5.284859 6:0.54804647 7:2.0464027 8:-2.7452765 9:4.7461514 10:-2.9690642 11:7.2049384 12:-2.225919 13:3.998511 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:231.40729 2:9.304087 3:13.594952 4:-0.77672434 5:3.1393585 6:0.74998665 7:1.5571494 8:-3.0127554 9:5.454157 10:-2.7426994 11:7.1024804 12:-3.0076628 13:2.9617884 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.86703 2:8.351999 3:11.7839155 4:-0.89427185 5:2.905643 6:0.007861018 7:1.882206 8:-4.1607213 9:3.3174555 10:-2.391876 11:5.6749644 12:-3.010152 13:3.12941 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.28035 2:7.8004866 3:12.631787 4:0.13855538 5:4.00828 6:1.6769761 7:2.7854917 8:-3.5060718 9:4.602847 10:-3.8929043 11:4.6050663 12:-3.365434 13:2.327983 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
