1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:228.28082 2:4.156674 3:7.834167 4:-0.53971684 5:4.6014366 6:2.8365612 7:4.1907034 8:-1.2503712 9:4.892747 10:-1.2180686 11:6.038401 12:-2.3297026 13:1.6598197 14:228.28082 15:4.156674 16:7.834167 17:-0.53971684 18:4.6014366 19:2.8365612 20:4.1907034 21:-1.2503712 22:4.892747 23:-1.2180686 24:6.038401 25:-2.3297026 26:1.6598197 
1 1:231.2411 2:7.730264 3:12.309957 4:0.4111621 5:2.046467 6:0.7949046 7:1.8854414 8:-2.0182283 9:4.8987665 10:-4.546042 11:3.8174171 12:-2.9212835 13:4.2891674 14:79.79641 15:3.2472477 16:5.3547344 17:0.77312416 18:2.5884442 19:0.39656654 20:1.7722262 21:-0.46250427 22:1.3849732 23:-1.0124984 24:1.6418784 25:-0.8006147 26:1.323761 
1 1:229.39975 2:6.4074993 3:9.702651 4:-1.7873503 5:1.9264174 6:-3.5176191 7:-0.23302364 8:-1.9942591 9:3.336212 10:-3.0232174 11:3.2442722 12:-3.545892 13:5.101504 14:79.79641 15:3.2472477 16:5.3547344 17:0.77312416 18:2.5884442 19:0.39656654 20:1.7722262 21:-0.46250427 22:1.3849732 23:-1.0124984 24:1.6418784 25:-0.8006147 26:1.323761 
1 1:227.88441 2:3.7726176 3:8.720226 4:0.47647634 5:4.9294863 6:0.8020079 7:3.569929 8:-3.7315826 9:3.055812 10:-1.0872833 11:6.9025774 12:-1.6779653 13:5.9495325 14:79.79641 15:3.2472477 16:5.3547344 17:0.77312416 18:2.5884442 19:0.39656654 20:1.7722262 21:-0.46250427 22:1.3849732 23:-1.0124984 24:1.6418784 25:-0.8006147 26:1.323761 
1 1:228.7684 2:4.8106184 3:9.187287 4:0.36873123 5:5.1056204 6:1.7894955 7:4.1444116 8:-3.4287884 9:4.3299108 10:-2.425245 11:5.4748054 12:-3.294286 13:5.755158 14:79.79641 15:3.2472477 16:5.3547344 17:0.77312416 18:2.5884442 19:0.39656654 20:1.7722262 21:-0.46250427 22:1.3849732 23:-1.0124984 24:1.6418784 25:-0.8006147 26:1.323761 
1 1:224.66199 2:3.5613594 3:9.889697 4:-2.6011338 5:2.3567452 6:-0.9391257 7:1.0820981 8:-1.6404601 9:5.246271 10:-1.1670654 11:5.2611237 12:0.04171367 13:4.202667 14:79.79641 15:3.2472477 16:5.3547344 17:0.77312416 18:2.5884442 19:0.39656654 20:1.7722262 21:-0.46250427 22:1.3849732 23:-1.0124984 24:1.6418784 25:-0.8006147 26:1.323761 
1 1:223.18501 2:4.115649 3:10.638961 4:-3.6729393 5:0.3444635 6:-0.8981215 7:1.2825723 8:-3.5514755 9:3.5527246 10:-0.106154025 11:6.507541 12:-1.6565146 13:3.9009748 14:79.79641 15:3.2472477 16:5.3547344 17:0.77312416 18:2.5884442 19:0.39656654 20:1.7722262 21:-0.46250427 22:1.3849732 23:-1.0124984 24:1.6418784 25:-0.8006147 26:1.323761 
1 1:227.09705 2:5.328831 3:9.353723 4:-0.9377694 5:5.071719 6:2.142595 7:4.350949 8:-2.2427914 9:4.219939 10:0.29832754 11:6.5970817 12:-1.3743591 13:2.9904532 14:79.79641 15:3.2472477 16:5.3547344 17:0.77312416 18:2.5884442 19:0.39656654 20:1.7722262 21:-0.46250427 22:1.3849732 23:-1.0124984 24:1.6418784 25:-0.8006147 26:1.323761 
1 1:226.41917 2:4.6541586 3:12.33144 4:1.3864479 5:5.844218 6:0.30031165 7:3.9209116 8:-2.3309524 9:2.6935387 10:-0.8448766 11:7.764665 12:-1.3718624 13:4.1998973 14:79.79641 15:3.2472477 16:5.3547344 17:0.77312416 18:2.5884442 19:0.39656654 20:1.7722262 21:-0.46250427 22:1.3849732 23:-1.0124984 24:1.6418784 25:-0.8006147 26:1.323761 
1 1:226.19255 2:3.8670375 3:12.915778 4:-0.029722681 5:4.6285124 6:1.9527417 7:4.4718804 8:0.107275665 9:3.4661775 10:-1.7858362 11:7.324217 12:-3.454019 13:1.9389993 14:79.79641 15:3.2472477 16:5.3547344 17:0.77312416 18:2.5884442 19:0.39656654 20:1.7722262 21:-0.46250427 22:1.3849732 23:-1.0124984 24:1.6418784 25:-0.8006147 26:1.323761 
