1 1:191.18979 2:5.3265877 3:4.549194 4:-4.8250036 5:-0.3378705 6:-3.3686972 7:0.7901102 8:-7.4328084 9:0.28392893 10:-4.539251 11:3.1273363 12:-1.6729746 13:2.8407595 14:191.18979 15:5.3265877 16:4.549194 17:-4.8250036 18:-0.3378705 19:-3.3686972 20:0.7901102 21:-7.4328084 22:0.28392893 23:-4.539251 24:3.1273363 25:-1.6729746 26:2.8407595 
1 1:231.6648 2:5.2055993 3:8.850176 4:-1.0731046 5:1.9098334 6:-1.7517453 7:0.9174058 8:-1.6552707 9:6.181109 10:-1.5163785 11:4.9454646 12:-2.7215533 13:3.6271768 14:231.6648 15:5.2055993 16:8.850176 17:-1.0731046 18:1.9098334 19:-1.7517453 20:0.9174058 21:-1.6552707 22:6.181109 23:-1.5163785 24:4.9454646 25:-2.7215533 26:3.6271768 
1 1:226.49135 2:4.9952993 3:10.073263 4:-2.4812596 5:1.1211314 6:-2.3852618 7:1.1305586 8:-2.1450295 9:2.4140658 10:-1.2890389 11:5.256077 12:-2.3479834 13:3.3881426 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:228.5064 2:6.80552 3:11.405014 4:-1.4274098 5:3.7731826 6:-1.7152901 7:5.715072 8:-0.99473363 9:4.196687 10:-0.85026735 11:5.278359 12:-2.3028185 13:4.137949 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:227.3259 2:6.0066857 3:11.695145 4:0.26738355 5:3.454708 6:-1.1565759 7:1.793967 8:-2.0368493 9:5.283155 10:-0.6701033 11:4.6411343 12:-1.9106162 13:3.4423497 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:233.52411 2:8.813069 3:11.228417 4:-0.23670502 5:3.464756 6:-1.354004 7:2.7979534 8:-4.4700856 9:4.248866 10:0.15566933 11:2.9473436 12:-2.0856066 13:4.485905 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:233.57925 2:10.543714 3:12.597614 4:0.0481645 5:3.2534077 6:-1.8729521 7:4.9714003 8:-2.625846 9:3.3473854 10:-2.601564 11:3.6007097 12:-3.644476 13:3.189789 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:229.68411 2:8.777539 3:12.754708 4:-0.5450925 5:3.9744518 6:-1.1288294 7:4.2009044 8:-2.0406346 9:2.3306963 10:-3.1651099 11:3.1116588 12:-2.6109948 13:3.1280413 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:230.32283 2:6.6601586 3:11.734817 4:-1.2532052 5:2.533485 6:-2.6458945 7:1.5814377 8:-2.755437 9:4.344703 10:-1.136403 11:4.94934 12:-2.195454 13:3.7796493 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:229.89041 2:6.4751062 3:11.593979 4:2.9324894 5:5.5214186 6:-2.3501036 7:1.3953911 8:-2.8177454 9:1.6397183 10:-1.9066954 11:4.7377043 12:-2.669709 13:5.5869637 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:228.9454 2:8.608046 3:11.467448 4:-1.0955406 5:4.47644 6:-0.72076404 7:1.8192316 8:-2.4598324 9:5.5458374 10:0.49635223 11:5.9165196 12:-4.292255 13:2.9465573 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
