1 1:96.46845 2:1.5472133 3:3.326825 4:-7.747115 5:3.0744042 6:0.49391457 7:-1.0619467 8:-1.4572892 9:3.8808382 10:-4.1279273 11:3.7240174 12:-1.5258871 13:1.7931186 14:96.46845 15:1.5472133 16:3.326825 17:-7.747115 18:3.0744042 19:0.49391457 20:-1.0619467 21:-1.4572892 22:3.8808382 23:-4.1279273 24:3.7240174 25:-1.5258871 26:1.7931186 
1 1:233.52953 2:4.5785713 3:8.271919 4:2.0053573 5:5.478294 6:-0.10506495 7:5.3425083 8:-1.1579567 9:6.28815 10:-2.035229 11:2.7581513 12:-2.8729324 13:2.8300579 14:233.52953 15:4.5785713 16:8.271919 17:2.0053573 18:5.478294 19:-0.10506495 20:5.3425083 21:-1.1579567 22:6.28815 23:-2.035229 24:2.7581513 25:-2.8729324 26:2.8300579 
1 1:236.21896 2:6.7835765 3:10.167905 4:0.76563275 5:2.996064 6:-2.5743895 7:3.1661155 8:-3.9588513 9:4.219486 10:-1.8978997 11:5.1969514 12:-2.2478313 13:1.6543112 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:235.46547 2:4.605765 3:9.035589 4:2.5867882 5:3.1377919 6:-1.2264553 7:3.3158114 8:-2.9573221 9:4.327403 10:-2.212717 11:5.807579 12:-2.1103506 13:2.104198 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:233.77527 2:3.5430572 3:9.101774 4:2.2953324 5:3.5828123 6:-1.518788 7:3.6924922 8:-1.2963835 9:4.5711617 10:-3.7445436 11:2.858999 12:-1.5156971 13:3.7689195 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:234.27403 2:6.7786193 3:10.697666 4:2.306576 5:2.416076 6:-2.3457732 7:3.539279 8:-2.014598 9:5.509924 10:-3.1149087 11:3.885373 12:-3.4616373 13:4.0848475 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:234.36375 2:5.394462 3:10.793416 4:3.0085049 5:4.116946 6:-1.4004698 7:3.4674985 8:-0.76767987 9:5.228438 10:-2.7751262 11:4.386529 12:-2.688137 13:3.5853474 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:232.68695 2:4.360827 3:10.5449505 4:3.7164364 5:3.5554285 6:-1.955528 7:3.7680564 8:-0.8560814 9:3.593049 10:-3.7661 11:4.7431374 12:-2.9188392 13:3.7708728 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:230.97423 2:5.445441 3:10.052057 4:2.0229821 5:4.19723 6:-3.2813935 7:5.1587486 8:0.8662057 9:7.184855 10:-1.0664315 11:4.0625777 12:-2.695573 13:3.904647 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:231.65851 2:5.60615 3:8.773882 4:0.34477916 5:3.512567 6:-2.8617673 7:3.926378 8:1.1177647 9:4.7901864 10:-2.3822432 11:3.662248 12:-3.1764345 13:4.2911267 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:232.49039 2:8.9355545 3:9.720558 4:0.7921708 5:4.9082665 6:-1.6799084 7:3.8481174 8:-0.69713956 9:4.7530475 10:-3.674852 11:4.3310175 12:-3.7025614 13:5.4476104 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
