1 1:130.49779 2:6.7450285 3:12.874193 4:-0.12265583 5:1.7290055 6:-3.9097397 7:2.16061 8:-7.745982 9:3.2586963 10:-2.5228565 11:5.2052937 12:-2.3634105 13:3.1590858 14:130.49779 15:6.7450285 16:12.874193 17:-0.12265583 18:1.7290055 19:-3.9097397 20:2.16061 21:-7.745982 22:3.2586963 23:-2.5228565 24:5.2052937 25:-2.3634105 26:3.1590858 
1 1:228.2174 2:2.6641896 3:9.997936 4:-1.8188568 5:2.4914718 6:-0.18105654 7:3.6730764 8:-0.79399717 9:3.9274545 10:-2.0168986 11:6.7625427 12:1.1013297 13:4.2088876 14:228.2174 15:2.6641896 16:9.997936 17:-1.8188568 18:2.4914718 19:-0.18105654 20:3.6730764 21:-0.79399717 22:3.9274545 23:-2.0168986 24:6.7625427 25:1.1013297 26:4.2088876 
1 1:229.44084 2:1.3039303 3:8.799264 4:0.93711257 5:2.8907604 6:0.6722371 7:3.1795762 8:-2.2185411 9:2.7579951 10:-2.4386258 11:3.9102066 12:-3.2017348 13:2.4949565 14:85.69496 15:7.905095 16:3.670203 17:-0.47262514 18:1.7992067 19:-2.5778623 20:0.61179143 21:-1.5549406 22:1.9120206 23:-0.8853514 24:1.6132953 25:-2.1771226 26:1.8453413 
1 1:233.53003 2:1.7729015 3:8.705387 4:0.7200845 5:1.3644713 6:-1.7338067 7:4.5020313 8:-2.6726472 9:2.629243 10:-1.0288899 11:3.136082 12:-1.8982534 13:4.205759 14:85.69496 15:7.905095 16:3.670203 17:-0.47262514 18:1.7992067 19:-2.5778623 20:0.61179143 21:-1.5549406 22:1.9120206 23:-0.8853514 24:1.6132953 25:-2.1771226 26:1.8453413 
1 1:233.20082 2:5.3744845 3:11.636577 4:-0.3521278 5:2.7421284 6:-0.9627801 7:3.8718138 8:-0.21053322 9:1.3712305 10:-5.0648575 11:2.5320544 12:-2.5452816 13:3.5481732 14:85.69496 15:7.905095 16:3.670203 17:-0.47262514 18:1.7992067 19:-2.5778623 20:0.61179143 21:-1.5549406 22:1.9120206 23:-0.8853514 24:1.6132953 25:-2.1771226 26:1.8453413 
1 1:232.85078 2:2.8238816 3:10.152047 4:1.7631971 5:3.28277 6:-0.050724924 7:4.0493875 8:-0.7357935 9:2.7657883 10:-4.9139876 11:2.3261256 12:-1.0161496 13:3.4803333 14:85.69496 15:7.905095 16:3.670203 17:-0.47262514 18:1.7992067 19:-2.5778623 20:0.61179143 21:-1.5549406 22:1.9120206 23:-0.8853514 24:1.6132953 25:-2.1771226 26:1.8453413 
1 1:231.09593 2:2.5781302 3:8.792902 4:-1.3602053 5:0.27146024 6:-2.0455868 7:3.161232 8:0.15219902 9:1.9986577 10:-4.889165 11:2.4710429 12:-3.1589932 13:4.5858507 14:85.69496 15:7.905095 16:3.670203 17:-0.47262514 18:1.7992067 19:-2.5778623 20:0.61179143 21:-1.5549406 22:1.9120206 23:-0.8853514 24:1.6132953 25:-2.1771226 26:1.8453413 
1 1:230.25615 2:0.5803941 3:8.403434 4:-1.6316767 5:1.5897132 6:-1.3705628 7:2.0507467 8:-0.69352674 9:2.0252013 10:-2.706098 11:2.1532032 12:-3.133947 13:3.473582 14:85.69496 15:7.905095 16:3.670203 17:-0.47262514 18:1.7992067 19:-2.5778623 20:0.61179143 21:-1.5549406 22:1.9120206 23:-0.8853514 24:1.6132953 25:-2.1771226 26:1.8453413 
1 1:232.71977 2:5.2760735 3:7.5220165 4:-2.5562572 5:5.5641904 6:-0.8561812 7:3.1730359 8:-1.861474 9:2.841358 10:-3.0424094 11:4.3348746 12:-2.543591 13:2.4364464 14:85.69496 15:7.905095 16:3.670203 17:-0.47262514 18:1.7992067 19:-2.5778623 20:0.61179143 21:-1.5549406 22:1.9120206 23:-0.8853514 24:1.6132953 25:-2.1771226 26:1.8453413 
1 1:226.34094 2:1.8084528 3:9.33368 4:-1.0169413 5:3.7947037 6:1.8979316 7:5.89322 8:-1.6072657 9:3.059872 10:-2.2963076 11:4.649335 12:-1.7913102 13:2.5725987 14:85.69496 15:7.905095 16:3.670203 17:-0.47262514 18:1.7992067 19:-2.5778623 20:0.61179143 21:-1.5549406 22:1.9120206 23:-0.8853514 24:1.6132953 25:-2.1771226 26:1.8453413 
1 1:228.4304 2:3.4531288 3:8.825496 4:-0.7735713 5:0.76495713 6:-3.9115121 7:2.2306056 8:-0.60800564 9:2.8635082 10:-2.3821537 11:4.3978553 12:-1.3828909 13:4.2531877 14:85.69496 15:7.905095 16:3.670203 17:-0.47262514 18:1.7992067 19:-2.5778623 20:0.61179143 21:-1.5549406 22:1.9120206 23:-0.8853514 24:1.6132953 25:-2.1771226 26:1.8453413 
