1 1:-34.45369 2:-29.017689 3:-2.6294868 4:-3.7470875 5:-0.7823027 6:-1.7407943 7:-0.08221701 8:-1.1141033 9:0.42459658 10:-0.9322048 11:1.2630167 12:-0.8565019 13:0.84342855 14:-34.45369 15:-29.017689 16:-2.6294868 17:-3.7470875 18:-0.7823027 19:-1.7407943 20:-0.08221701 21:-1.1141033 22:0.42459658 23:-0.9322048 24:1.2630167 25:-0.8565019 26:0.84342855 
1 1:222.4303 2:2.8078065 3:10.277634 4:-0.56028205 5:1.2845465 6:-1.0058453 7:4.7625823 8:1.3620529 9:4.375521 10:-2.8767526 11:3.2620034 12:-1.4481934 13:2.1770592 14:222.4303 15:2.8078065 16:10.277634 17:-0.56028205 18:1.2845465 19:-1.0058453 20:4.7625823 21:1.3620529 22:4.375521 23:-2.8767526 24:3.2620034 25:-1.4481934 26:2.1770592 
1 1:222.27477 2:0.96141434 3:9.707251 4:-2.6896105 5:1.1239378 6:0.6724863 7:3.3530824 8:-2.3570244 9:1.2919465 10:-3.0879614 11:3.7494292 12:-1.5393921 13:2.98928 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:225.92722 2:2.5550218 3:9.651067 4:-1.1346503 5:0.35722354 6:1.4030125 7:4.096612 8:-2.930862 9:1.9307876 10:-1.6195402 11:5.7156453 12:-0.6321947 13:2.8168163 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:235.12462 2:-0.6284998 3:11.669381 4:-1.6466132 5:3.4706187 6:-0.3856472 7:2.9751062 8:-0.6349843 9:0.024188323 10:-0.24428473 11:2.4549935 12:-3.5927074 13:2.449308 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:232.11214 2:-2.8009393 3:9.72825 4:-2.5716827 5:3.6060064 6:-0.41392988 7:3.4027784 8:-1.3047967 9:-1.0557678 10:0.58418924 11:3.3395817 12:-2.4531918 13:3.319409 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:233.68834 2:0.20645879 3:12.700641 4:-0.44404954 5:3.3400934 6:-1.0312032 7:5.989946 8:1.8941662 9:3.743813 10:-1.1303989 11:2.7321815 12:-0.028426709 13:2.2457895 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:227.32043 2:-1.4809111 3:11.214183 4:-0.90244514 5:4.6201563 6:2.1056988 7:5.8851476 8:1.5761734 9:4.0732365 10:-0.04864361 11:4.321537 12:0.27668625 13:3.1659207 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:225.68481 2:0.15293624 3:10.695788 4:-1.0336419 5:4.404586 6:2.534268 7:3.8517702 8:-0.34474713 9:3.403898 10:-0.5880768 11:3.7787683 12:-2.261743 13:0.93853843 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:227.78941 2:0.7739355 3:11.333767 4:-0.5187136 5:1.8560097 6:1.1359029 7:2.608602 8:-2.1526554 9:3.9553874 10:-0.62827253 11:4.9068966 12:-1.3338687 13:2.5219433 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:226.67914 2:2.7785287 3:9.662849 4:-2.4681435 5:2.0574272 6:1.1751834 7:2.4845703 8:-1.2000321 9:3.430342 10:-2.729413 11:3.995065 12:-3.0529351 13:3.3635676 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:223.66034 2:3.096649 3:10.550816 4:-1.8267403 5:4.099989 6:1.7489833 7:2.8722987 8:-0.309686 9:4.476722 10:-1.7818259 11:5.9377375 12:-2.2166345 13:5.243329 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
