1 1:182.72545 2:3.042779 3:6.1491904 4:-3.1121514 5:2.2560632 6:2.4453294 7:4.773204 8:-3.7209778 9:3.8616097 10:-3.286926 11:4.4297743 12:-2.17231 13:2.25296 14:182.72545 15:3.042779 16:6.1491904 17:-3.1121514 18:2.2560632 19:2.4453294 20:4.773204 21:-3.7209778 22:3.8616097 23:-3.286926 24:4.4297743 25:-2.17231 26:2.25296 
1 1:223.04 2:3.415969 3:11.725027 4:-0.5319751 5:1.5413169 6:0.07822965 7:2.976656 8:-1.3908715 9:2.8442173 10:-3.5554032 11:4.5420885 12:-2.489687 13:3.6134048 14:223.04 15:3.415969 16:11.725027 17:-0.5319751 18:1.5413169 19:0.07822965 20:2.976656 21:-1.3908715 22:2.8442173 23:-3.5554032 24:4.5420885 25:-2.489687 26:3.6134048 
1 1:223.60744 2:4.19107 3:12.187963 4:1.3505006 5:2.606148 6:0.3853324 7:3.5123641 8:-1.727854 9:4.5578475 10:-3.1020508 11:4.2192354 12:-2.5184145 13:5.698322 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:223.6042 2:5.9011097 3:10.964997 4:-0.08559098 5:3.2500944 6:1.4281205 7:3.360668 8:-3.2985907 9:3.2947156 10:-3.338652 11:6.012069 12:-3.6993444 13:4.1671677 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:223.20853 2:4.9041157 3:9.815969 4:-1.8438685 5:1.2954414 6:0.8263021 7:2.887412 8:-0.56098604 9:2.7213757 10:-2.657725 11:5.9885845 12:-0.43179327 13:5.751875 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:222.57683 2:4.735476 3:10.433731 4:-2.7081227 5:2.3251753 6:0.77622765 7:1.591042 8:-1.7305986 9:3.1610324 10:-2.2321405 11:4.257053 12:-3.319448 13:2.5981383 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:226.20526 2:5.7790723 3:10.062635 4:-2.8366761 5:3.0065203 6:0.762743 7:5.313272 8:-1.3449339 9:1.6601932 10:-2.071422 11:5.642543 12:-2.3400884 13:3.6048076 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:222.1518 2:5.3149652 3:11.068998 4:-0.8430882 5:4.219147 6:2.304536 7:5.257836 8:-0.9363734 9:2.440842 10:-3.3201292 11:4.5784473 12:-2.9397142 13:3.6493232 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:222.37987 2:5.280939 3:8.995153 4:-0.83117586 5:3.9688776 6:-2.013315 7:2.4533546 8:0.5091065 9:0.8325996 10:-3.1952884 11:6.664262 12:-2.1079726 13:4.1578307 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:224.54826 2:7.4465847 3:11.297298 4:-1.4434009 5:2.5503283 6:-1.6103626 7:3.8264358 8:-1.3397344 9:1.5642368 10:-2.9296358 11:4.8116803 12:-2.30538 13:4.4514256 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:221.6149 2:5.7427197 3:10.895649 4:-3.0960143 5:5.100054 6:0.76074076 7:3.1762679 8:-1.1881472 9:2.9391246 10:-0.8622305 11:6.338142 12:-0.7985893 13:4.218566 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:220.80338 2:4.676639 3:10.22744 4:-3.3768032 5:3.022688 6:0.57965857 7:3.238927 8:-2.7918327 9:1.6993711 10:-2.2982461 11:3.1966753 12:-2.0719106 13:4.0605702 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:219.94511 2:4.216577 3:11.525742 4:1.0749396 5:3.2274308 6:-2.1709564 7:2.7711594 8:-0.6722815 9:5.281289 10:-0.6984717 11:4.212916 12:-4.3533244 13:2.531362 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:221.83577 2:4.5882063 3:9.550866 4:-0.19485767 5:3.0681257 6:-0.06531087 7:4.9022818 8:-0.34727946 9:2.7521791 10:-4.590543 11:4.9476395 12:-2.763199 13:3.9721372 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:215.7463 2:5.333607 3:10.432924 4:-1.5730579 5:3.319569 6:1.5907148 7:5.8190255 8:-1.3385134 9:2.9981766 10:-5.433199 11:3.6048727 12:-1.0987762 13:2.9911065 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:216.994 2:2.69479 3:8.131118 4:-1.6831168 5:3.065631 6:2.2906363 7:6.0950994 8:-0.37156004 9:3.2735617 10:-4.283265 11:3.6080692 12:-1.213274 13:4.21281 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:220.46024 2:4.0807443 3:12.721136 4:-0.480916 5:0.31894872 6:-1.6835837 7:1.4381057 8:-0.6598941 9:2.4447317 10:-5.8516994 11:3.345195 12:-2.1048963 13:5.6990757 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:223.33795 2:4.9060974 3:12.939444 4:-0.5673521 5:0.04381378 6:-0.6051612 7:3.204652 8:-2.0648704 9:3.155535 10:-6.009536 11:3.924615 12:-1.8915051 13:4.8512645 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:222.95349 2:3.721976 3:10.183078 4:-0.975044 5:1.2110631 6:0.47914776 7:1.6379361 8:-2.127053 9:2.5907497 10:-5.143406 11:2.6631467 12:-2.9071705 13:3.6541274 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:225.5958 2:4.4186053 3:10.022096 4:-1.2474521 5:2.4152417 6:0.8188141 7:1.5479583 8:-3.2875926 9:1.9732691 10:-4.058392 11:4.312563 12:-2.278814 13:4.835176 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:220.471 2:2.8560302 3:11.081044 4:-1.7467638 5:0.07845666 6:-0.649392 7:3.2009194 8:0.8726084 9:3.1182666 10:-5.292644 11:5.6108437 12:0.6171665 13:5.5374928 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:220.55421 2:3.6564934 3:9.749576 4:0.47552833 5:3.6014462 6:-0.50654215 7:2.148947 8:-1.2829126 9:2.9558024 10:-4.164444 11:4.9968004 12:-1.7614331 13:4.0516634 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:226.2217 2:6.3973937 3:12.360927 4:-1.1206354 5:3.1586714 6:1.0003836 7:4.556914 8:-4.0450215 9:-0.4069402 10:-4.816125 11:5.807443 12:-0.89722204 13:4.7605295 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
