1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:226.27048 2:3.677388 3:5.626135 4:-0.6683974 5:4.2804255 6:-1.4895718 7:2.9444532 8:-4.28932 9:1.039511 10:-4.0184216 11:2.273376 12:-2.8581142 13:3.5200098 14:226.27048 15:3.677388 16:5.626135 17:-0.6683974 18:4.2804255 19:-1.4895718 20:2.9444532 21:-4.28932 22:1.039511 23:-4.0184216 24:2.273376 25:-2.8581142 26:3.5200098 
1 1:229.45375 2:6.052459 3:7.9662004 4:1.4056466 5:3.527014 6:1.5966121 7:2.8495107 8:-6.6266775 9:0.07461162 10:-3.911351 11:4.4162636 12:-4.49876 13:4.609378 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:229.41058 2:6.366929 3:7.738853 4:1.1037655 5:2.4569805 6:-0.7801129 7:3.8840082 8:-4.9790006 9:1.4297342 10:-2.3120692 11:3.5747526 12:-4.7969685 13:3.6905634 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:230.56854 2:7.490182 3:6.6523056 4:1.6597853 5:5.546333 6:-1.1057482 7:4.846373 8:-1.9401628 9:1.5953059 10:-2.616084 11:5.79969 12:-6.23056 13:1.8004078 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:230.9454 2:6.5734115 3:7.6299815 4:2.7688835 5:5.0810366 6:0.24590981 7:5.9283333 8:-2.6337411 9:2.5013857 10:-2.9783878 11:4.755522 12:-5.35946 13:3.3982816 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:233.28362 2:7.084305 3:11.422079 4:-0.15933858 5:4.5716686 6:-0.6892383 7:4.668863 8:-4.170557 9:2.2465334 10:-0.59235436 11:7.5372405 12:-3.721281 13:4.119543 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:230.8404 2:6.0219994 3:8.056678 4:-0.07913137 5:4.011815 6:0.08133556 7:4.953984 8:-2.2283123 9:2.4799402 10:-3.2850134 11:4.760168 12:-4.194295 13:2.846806 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:227.27266 2:6.795019 3:10.193076 4:-0.9922009 5:4.9107203 6:1.295546 7:3.1791232 8:-3.3485947 9:1.4097166 10:-4.307326 11:5.988117 12:-2.5161436 13:5.7330084 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:229.60135 2:7.1516013 3:11.256003 4:0.49361223 5:6.097372 6:-0.16334344 7:3.7630095 8:-3.4496088 9:0.9677524 10:-4.3218074 11:5.942372 12:-3.6353512 13:4.7237444 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:232.87614 2:6.0754156 3:10.884383 4:3.6289096 5:5.002195 6:-2.3682473 7:4.4499764 8:-3.6236734 9:2.2374763 10:-4.559955 11:4.400132 12:-2.7632048 13:3.7656853 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:229.34944 2:3.790117 3:8.712515 4:2.4860268 5:4.352225 6:-1.2758485 7:1.7985411 8:-4.768924 9:1.9377292 10:-2.580288 11:4.09248 12:-2.7957516 13:3.9362538 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:228.80792 2:3.6194348 3:8.431693 4:-0.74303716 5:4.3737593 6:1.633409 7:4.9728146 8:-1.62493 9:1.1965468 10:-3.2796235 11:3.547726 12:-3.9050763 13:4.270918 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:229.38338 2:4.5457845 3:9.51562 4:-1.3599719 5:2.8398957 6:1.7408932 7:6.4205427 8:-2.4482853 9:0.925309 10:-3.9259353 11:3.2503738 12:-2.5030003 13:4.8414464 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:233.43451 2:5.9336367 3:10.778629 4:-1.2720009 5:2.2801855 6:-0.5807806 7:4.467994 8:-2.9630096 9:1.5802481 10:-3.131468 11:3.8555038 12:-1.1564974 13:6.864779 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:232.31686 2:6.4056754 3:9.932725 4:-0.57921225 5:2.1649325 6:-1.1707982 7:4.1785274 8:-2.0615513 9:2.7756147 10:-1.5254662 11:4.9891953 12:-3.2051127 13:5.509031 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:228.76318 2:5.5039225 3:7.4119825 4:-1.6371756 5:2.7703917 6:-2.4311194 7:1.8448124 8:-1.4891714 9:2.8096316 10:-2.7328148 11:4.800338 12:-4.25072 13:3.0031528 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
1 1:229.14302 2:7.8031583 3:11.502327 4:-1.2868471 5:3.382055 6:-2.761709 7:1.672843 8:-1.9053763 9:3.162431 10:-4.389631 11:2.0970461 12:-4.656779 13:2.9314432 14:67.63001 15:2.5322285 16:3.6896968 17:-0.7165248 18:0.42766896 19:-0.451088 20:1.52431 21:-0.23936419 22:1.2710601 23:-1.0728754 24:1.2782353 25:-0.9950986 26:1.6535889 
