1 1:160.5712 2:3.3916538 3:8.539621 4:-4.9607487 5:1.6830416 6:1.2588849 7:3.9406106 8:-4.6512775 9:2.1650364 10:-3.5547566 11:-0.026683776 12:-2.4979465 13:4.128085 14:160.5712 15:3.3916538 16:8.539621 17:-4.9607487 18:1.6830416 19:1.2588849 20:3.9406106 21:-4.6512775 22:2.1650364 23:-3.5547566 24:-0.026683776 25:-2.4979465 26:4.128085 
1 1:234.84608 2:1.1797203 3:10.440271 4:1.3344003 5:2.2895377 6:-0.4698549 7:6.5087466 8:0.91180766 9:3.0857337 10:-2.789784 11:4.2565365 12:-1.659452 13:4.3005085 14:234.84608 15:1.1797203 16:10.440271 17:1.3344003 18:2.2895377 19:-0.4698549 20:6.5087466 21:0.91180766 22:3.0857337 23:-2.789784 24:4.2565365 25:-1.659452 26:4.3005085 
1 1:235.49332 2:3.7292638 3:12.622367 4:0.26635256 5:3.1886494 6:-0.9693271 7:5.286243 8:-2.2677677 9:2.1502118 10:-2.3910956 11:5.2889853 12:-1.4164221 13:4.522182 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:238.53584 2:4.5780663 3:10.816406 4:0.9227854 5:1.9731238 6:-0.7680141 7:5.355719 8:-2.6707435 9:2.4539533 10:-2.8151712 11:4.9149985 12:-2.1095905 13:4.8898644 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:231.46375 2:-1.2389523 3:9.955616 4:1.1321589 5:5.0072026 6:-2.1919103 7:3.4198325 8:-3.5005236 9:0.71584654 10:-0.53806394 11:3.6110935 12:-1.0902189 13:4.681977 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:230.56667 2:-1.3217603 3:8.118613 4:1.5245477 5:6.815024 6:0.7929929 7:3.3969083 8:-3.1521006 9:1.5362128 10:-1.5723454 11:3.5191782 12:-0.66053903 13:5.006853 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:235.53963 2:-0.83645165 3:7.5372005 4:1.2024069 5:4.1468816 6:-0.6249096 7:4.3195796 8:-2.4471095 9:2.0412273 10:-3.3434367 11:4.303754 12:-1.3920212 13:4.4595394 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:234.30226 2:-2.5236979 3:7.601643 4:0.76034063 5:3.6486065 6:-1.2335234 7:4.9264345 8:0.13249186 9:3.3840952 10:-0.47824907 11:5.7810144 12:-0.9454504 13:5.5076976 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:234.08153 2:1.0478373 3:10.75314 4:1.5783039 5:3.9119194 6:0.15677072 7:3.5912766 8:-4.2250066 9:2.474767 10:-2.294361 11:2.479808 12:-3.5098224 13:3.4157524 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:233.89874 2:1.6724204 3:11.436945 4:1.0389643 5:2.8088603 6:0.16573432 7:4.6271772 8:-4.208734 9:2.778416 10:-2.711542 11:2.1879702 12:-4.646962 13:2.2678714 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:246.80954 2:-5.79505 3:5.8032413 4:3.5118484 5:2.3349352 6:-4.247657 7:5.4848504 8:-3.4179199 9:0.065289825 10:-2.147811 11:4.2074623 12:-2.1987815 13:1.1740434 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:252.53416 2:-6.51232 3:5.912054 4:5.3286853 5:4.297728 6:-3.50252 7:5.23413 8:-4.215564 9:0.19742176 10:-1.6750337 11:5.5052786 12:-1.0598097 13:1.1480081 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:227.87862 2:-1.5361859 3:5.5265675 4:-1.2893224 5:1.3648741 6:-1.9496882 7:3.648728 8:-3.8995872 9:-1.6846963 10:-2.5131705 11:3.9045088 12:-1.0078672 13:4.36872 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:229.22772 2:0.12206787 3:7.221075 4:0.30555436 5:1.6076324 6:-3.426027 7:3.2108045 8:-3.3795936 9:-0.76430815 10:-2.6518974 11:3.3704925 12:-2.7758517 13:2.9269795 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:228.98856 2:1.4876354 3:8.544051 4:3.4227426 5:3.4510012 6:-1.4733983 7:4.19605 8:-4.7105794 9:0.19788504 10:-2.058203 11:3.2567601 12:-3.3150074 13:4.22912 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:227.26028 2:4.882008 3:8.637289 4:0.7321109 5:2.8977516 6:-2.0020535 7:3.660673 8:-2.6041515 9:0.992831 10:-2.248136 11:3.2122583 12:-4.6249304 13:4.1925073 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:225.18788 2:4.851327 3:8.051994 4:-0.7139006 5:4.765817 6:-1.1709093 7:3.9845421 8:-0.95021343 9:2.531024 10:-0.5262505 11:5.508688 12:-4.553 13:2.4757202 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:225.68886 2:5.538136 3:8.654963 4:0.0316363 5:4.8819304 6:0.077941865 7:4.079016 8:-1.3999935 9:3.7821987 10:-3.0285542 11:4.743073 12:-2.572197 13:3.5242538 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:222.46173 2:5.304141 3:9.202932 4:0.39156872 5:4.2058215 6:-0.5804961 7:4.203221 8:-0.8197587 9:4.289808 10:-3.7996435 11:4.186555 12:-1.7482793 13:3.3323658 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:218.06863 2:2.5916789 3:6.9149394 4:-1.0339822 5:3.5344114 6:-1.0486157 7:3.9461472 8:0.22191855 9:3.5385904 10:-2.5412533 11:4.869676 12:-1.0955987 13:3.6039028 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:221.26886 2:6.583709 3:12.942773 4:0.99407893 5:1.9575025 6:-3.9416318 7:2.8592944 8:-2.5975351 9:2.8009796 10:-1.1123831 11:6.669172 12:-3.5904045 13:4.0818872 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:221.74591 2:7.300326 3:10.793595 4:-1.1904967 5:2.4935474 6:-1.4361238 7:5.166395 8:-3.662048 9:1.0159471 10:-1.3320228 11:5.9651484 12:-2.5167193 13:4.72301 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:224.23923 2:7.2298717 3:12.874863 4:0.57528126 5:3.3881083 6:0.5660048 7:3.7542942 8:-0.92721444 9:3.9824505 10:-4.9392943 11:3.4705818 12:-3.206456 13:4.6126266 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:223.39308 2:6.2899446 3:9.796926 4:0.015998585 5:4.02412 6:0.3671648 7:4.9227552 8:0.47852334 9:5.482493 10:-5.293085 11:3.267984 12:-3.1525319 13:3.8043969 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:223.8683 2:6.345468 3:11.381248 4:-1.5701454 5:2.7966924 6:-0.7497179 7:4.2150817 8:0.005122349 9:4.068033 10:-3.3792505 11:5.9085274 12:-1.9222032 13:4.947523 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:222.82455 2:3.5418699 3:9.75236 4:-1.2057977 5:2.9605825 6:0.6440928 7:2.8854227 8:-0.71616805 9:2.6251163 10:-5.4572864 11:5.937265 12:-1.8980395 13:4.8562703 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:222.63287 2:5.3215647 3:10.940943 4:-3.053532 5:3.2058198 6:-1.6603025 7:1.5334586 8:1.8338089 9:3.753509 10:-2.994625 11:6.2242517 12:-1.5563129 13:5.0475583 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:224.63959 2:6.315393 3:10.340225 4:-4.746804 5:3.462555 6:-0.43921024 7:2.2367191 8:0.9198099 9:2.2849748 10:-4.092089 11:5.0710196 12:-1.8731102 13:4.9934635 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:220.11858 2:2.5637312 3:10.944217 4:-0.14525415 5:2.0716856 6:1.5995017 7:0.7805087 8:0.11894657 9:5.058451 10:-4.38083 11:7.144514 12:-1.9055673 13:4.8627405 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:222.47772 2:3.8943198 3:11.631296 4:1.1500059 5:3.3559556 6:1.3989452 7:-0.9500733 8:-0.32707068 9:5.9832716 10:-2.6171901 11:6.8668985 12:-4.4076853 13:4.91187 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:222.56918 2:5.498024 3:8.590812 4:-0.35653722 5:3.3878818 6:-0.5032572 7:4.2230353 8:0.23407823 9:3.1568189 10:-4.601462 11:7.055452 12:-3.9037182 13:3.0300775 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:222.49359 2:4.4859767 3:8.475729 4:-1.0247236 5:5.3341517 6:-0.25324646 7:4.1405516 8:0.4702765 9:3.6945927 10:-3.696135 11:7.4867387 12:-2.1622047 13:5.052143 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:225.56813 2:6.660384 3:8.78401 4:-2.0774336 5:3.2710185 6:-1.9281884 7:1.2636359 8:-1.8413593 9:3.6078072 10:-3.7663407 11:6.2117815 12:-2.9782183 13:4.2145047 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:226.88516 2:8.699615 3:10.583371 4:-2.106946 5:4.5824475 6:-0.8317667 7:-0.11258561 8:-2.0587673 9:3.7335746 10:-4.2336736 11:6.0465665 12:-4.007595 13:3.8666325 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:225.5168 2:5.5720997 3:11.958093 4:-0.16569412 5:1.205368 6:-1.0865612 7:2.9101257 8:-2.671321 9:3.3101628 10:-3.3815353 11:5.125659 12:-2.2764516 13:3.646671 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:223.53273 2:5.0481205 3:10.73502 4:-1.0985976 5:3.1331153 6:-0.25328457 7:1.9385458 8:-2.3594441 9:1.8048615 10:-2.9528723 11:8.010428 12:-1.1340384 13:3.8778524 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
1 1:231.71521 2:5.7932324 3:8.6293545 4:0.048547685 5:3.5432906 6:-1.5376413 7:2.0157385 8:-2.4352088 9:1.6258826 10:-4.7498956 11:4.833064 12:-0.55574876 13:4.574938 14:67.50721 15:1.3919408 16:2.7119896 17:-0.49365255 18:0.8210702 19:0.40670356 20:1.4598645 21:-0.08230183 22:1.2925621 23:-1.5649961 24:1.360836 25:-0.33897385 26:1.1817145 
