1 1:184.27437 2:8.45422 3:11.580611 4:0.8100174 5:2.4046996 6:0.44982332 7:1.9300857 8:-3.3511097 9:1.4344497 10:-4.3121696 11:4.9544544 12:-5.7007732 13:2.8271556 14:184.27437 15:8.45422 16:11.580611 17:0.8100174 18:2.4046996 19:0.44982332 20:1.9300857 21:-3.3511097 22:1.4344497 23:-4.3121696 24:4.9544544 25:-5.7007732 26:2.8271556 
1 1:226.8768 2:6.7674637 3:13.132065 4:-2.4421031 5:3.0986326 6:0.55513984 7:3.638333 8:-0.75752467 9:1.5340768 10:-4.004314 11:5.05437 12:-1.1969258 13:5.382281 14:226.8768 15:6.7674637 16:13.132065 17:-2.4421031 18:3.0986326 19:0.55513984 20:3.638333 21:-0.75752467 22:1.5340768 23:-4.004314 24:5.05437 25:-1.1969258 26:5.382281 
1 1:221.95558 2:5.1403675 3:10.54295 4:-0.6319461 5:0.3637747 6:-1.2667601 7:3.1331007 8:-0.053837653 9:2.103484 10:-3.622497 11:3.9398494 12:-4.0953555 13:3.6263433 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:222.1362 2:3.6385381 3:11.496121 4:1.709702 5:2.0461326 6:-0.2121678 7:3.924151 8:-1.6308492 9:3.638087 10:-2.3057294 11:5.7318788 12:-2.8729188 13:4.8881807 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:243.68259 2:-2.0692556 3:11.942103 4:1.2651924 5:0.6070331 6:-1.3210691 7:6.2264657 8:-1.5512474 9:1.9151986 10:-0.4233207 11:4.9871926 12:-2.5906224 13:2.948333 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:254.13261 2:-6.3160377 3:8.72518 4:0.70848846 5:-0.50095314 6:-2.5841625 7:3.7222977 8:-3.3214927 9:1.2124377 10:-0.6403991 11:4.148384 12:-1.8095297 13:3.1026754 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:228.31198 2:3.5919251 3:10.41678 4:-0.8398384 5:2.3038838 6:0.84901005 7:4.160822 8:-0.93725526 9:2.6357117 10:-4.806374 11:4.890489 12:-4.830434 13:2.4917302 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:226.43901 2:4.2251377 3:13.091579 4:-2.4553373 5:4.704733 6:3.6093645 7:3.9779267 8:-0.8268964 9:2.8453274 10:-4.1890697 11:4.1327047 12:-2.467805 13:3.1876302 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:229.91145 2:-0.6733685 3:9.974467 4:-4.092518 5:0.87039685 6:-1.3634735 7:4.021735 8:-2.617972 9:2.5618987 10:3.2723417 11:4.412432 12:-0.7902242 13:4.486615 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:227.9928 2:4.3398848 3:10.941214 4:-2.678821 5:0.82558274 6:-2.6803508 7:3.232761 8:-3.0181043 9:2.418621 10:0.39889425 11:3.751199 12:-2.5996397 13:3.0409153 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:230.8638 2:4.23268 3:10.927791 4:0.6186806 5:1.0271605 6:0.9683969 7:5.320913 8:-2.7720869 9:1.7328075 10:-2.5558739 11:5.1750226 12:-2.6446984 13:2.6755674 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
