1 1:205.00752 2:-6.149983 3:-0.44562182 4:-1.1741695 5:0.01721681 6:-2.669012 7:5.3845434 8:-2.78338 9:-1.1796353 10:-0.49748036 11:5.1704392 12:-0.67649156 13:4.734074 14:205.00752 15:-6.149983 16:-0.44562182 17:-1.1741695 18:0.01721681 19:-2.669012 20:5.3845434 21:-2.78338 22:-1.1796353 23:-0.49748036 24:5.1704392 25:-0.67649156 26:4.734074 
1 1:250.68738 2:2.9091535 3:8.908879 4:0.4597148 5:2.8420253 6:-0.520796 7:5.692877 8:-5.0044303 9:-1.6573734 10:-0.17201994 11:5.4117537 12:-2.6690836 13:2.5460005 14:250.68738 15:2.9091535 16:8.908879 17:0.4597148 18:2.8420253 19:-0.520796 20:5.692877 21:-5.0044303 22:-1.6573734 23:-0.17201994 24:5.4117537 25:-2.6690836 26:2.5460005 
1 1:272.1428 2:1.6734844 3:5.216539 4:-5.320805 5:2.6043222 6:-0.61000735 7:4.5095177 8:-1.938127 9:0.9596281 10:2.5851853 11:7.2806487 12:-1.7675847 13:2.7399366 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:267.7967 2:2.2797778 3:4.3956966 4:-5.657923 5:1.3101449 6:0.73734665 7:6.8195477 8:-1.5758921 9:-0.12930581 10:-0.76466274 11:3.6636038 12:-4.3383064 13:2.638157 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:266.34546 2:-2.9987354 3:-2.079738 4:-6.63796 5:-0.036516845 6:-0.24477148 7:6.353383 8:-3.6193345 9:1.4899763 10:-0.58329177 11:3.864446 12:-3.4134603 13:4.003313 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:262.94672 2:-1.6726358 3:0.304084 4:-4.185397 5:1.2571182 6:-2.3059535 7:4.846499 8:-3.2929225 9:1.9309349 10:-1.2054956 11:3.049576 12:-2.8314292 13:3.6155188 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:255.22096 2:-2.4709 3:1.2087322 4:-3.3914587 5:3.047107 6:-3.2549798 7:6.382326 8:-2.0744386 9:1.3260485 10:0.10693129 11:3.3018453 12:-1.4552274 13:4.550754 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:250.88083 2:-2.220978 3:0.3477233 4:-5.427216 5:3.0002718 6:0.16990374 7:6.9984984 8:-2.0972505 9:2.17418 10:1.0602337 11:4.813143 12:-1.367389 13:4.352235 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:249.11662 2:-2.3994956 3:0.50022393 4:-5.6198835 5:2.0862527 6:0.8925015 7:7.37407 8:-3.7749703 9:-0.3233811 10:-0.6044291 11:4.9827085 12:0.054238334 13:4.931043 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:250.41978 2:-2.6800816 3:0.043131117 4:-4.530387 5:0.9595088 6:-0.02518222 7:7.95994 8:-1.5545013 9:-0.27664822 10:-0.04998746 11:6.0444546 12:-0.84920585 13:3.1375315 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:257.22855 2:2.224751 3:4.925605 4:-1.7655905 5:1.4532883 6:0.20980024 7:5.520376 8:-4.219989 9:0.347239 10:-2.8110414 11:3.5851126 12:-2.0696046 13:2.9276216 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
