1 1:132.17053 2:0.76255506 3:-1.1521909 4:-10.019195 5:0.62075657 6:-2.0328217 7:3.399921 8:-5.6254916 9:2.3495038 10:-0.4848457 11:1.9355024 12:-4.313613 13:5.1715074 14:132.17053 15:0.76255506 16:-1.1521909 17:-10.019195 18:0.62075657 19:-2.0328217 20:3.399921 21:-5.6254916 22:2.3495038 23:-0.4848457 24:1.9355024 25:-4.313613 26:5.1715074 
1 1:227.05142 2:4.119512 3:10.243953 4:-3.2017963 5:3.623348 6:0.6090791 7:1.9053692 8:-3.212516 9:1.9217546 10:-3.7563624 11:4.6878285 12:-0.9712423 13:3.7550242 14:227.05142 15:4.119512 16:10.243953 17:-3.2017963 18:3.623348 19:0.6090791 20:1.9053692 21:-3.212516 22:1.9217546 23:-3.7563624 24:4.6878285 25:-0.9712423 26:3.7550242 
1 1:230.2059 2:5.349585 3:8.772338 4:-0.9874451 5:4.3240585 6:3.0172377 7:4.4215217 8:-3.9184031 9:1.8275374 10:-2.4902544 11:3.9041176 12:-2.680096 13:4.619478 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:230.02623 2:5.1602006 3:8.060994 4:-0.43801236 5:5.3440433 6:3.136676 7:4.7253757 8:-3.754607 9:3.309631 10:-1.0386323 11:5.414143 12:-2.5909753 13:3.738902 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:228.62119 2:2.8420968 3:10.025333 4:-0.20402007 5:2.5592985 6:1.4955208 7:3.2787712 8:-2.0996828 9:2.8384776 10:-4.4078994 11:4.687763 12:-1.7537938 13:1.6486124 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:226.944 2:4.1824675 3:8.872437 4:-0.8166134 5:3.6333597 6:2.3408036 7:4.7952943 8:-0.50096536 9:4.321885 10:-3.8836288 11:4.778883 12:-1.7239656 13:3.7880175 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:226.92528 2:5.9275484 3:8.693139 4:-0.89527315 5:5.351259 6:0.098665275 7:2.128588 8:-0.79256713 9:4.914408 10:-2.3661668 11:6.138026 12:-0.74220884 13:5.3971496 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:227.30354 2:6.140108 3:9.314488 4:-4.2733464 5:4.730823 6:1.0214177 7:3.9946542 8:-0.09717907 9:4.250133 10:-1.4759773 11:6.0924067 12:-1.3216907 13:7.176439 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:232.997 2:8.626737 3:11.585876 4:-0.3033936 5:4.785287 6:0.28929728 7:3.8449714 8:-1.60174 9:4.8681574 10:-4.2922897 11:4.434463 12:-2.9850216 13:4.393971 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:229.87448 2:7.378203 3:10.367726 4:0.8170358 5:6.8030567 6:0.78408086 7:2.6887672 8:-2.291759 9:3.5611556 10:-4.2324634 11:4.0206738 12:-3.8725257 13:3.165642 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:230.15105 2:9.075065 3:10.537881 4:-2.2060308 5:6.191122 6:1.4846538 7:7.2060666 8:-0.22153625 9:5.4007974 10:-2.168136 11:2.1321332 12:-4.7110996 13:4.2567816 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:231.44522 2:9.675984 3:9.946001 4:-4.334121 5:5.7498937 6:1.099617 7:6.113949 8:-0.6318379 9:6.0490503 10:-2.9918785 11:3.0610015 12:-2.3199604 13:4.152738 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:233.67752 2:11.165938 3:11.478144 4:-1.629164 5:5.2561603 6:0.06465259 7:6.2224793 8:-0.6242111 9:1.6582633 10:-4.9779243 11:1.9329337 12:-2.6745195 13:4.8189516 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:232.45506 2:9.9942 3:11.506884 4:-2.0217862 5:7.8987727 6:1.6784142 7:4.3380127 8:-1.5793155 9:1.5990046 10:-5.129635 11:2.7037857 12:-3.186872 13:3.7402236 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:230.52852 2:6.1852145 3:10.142807 4:-0.9608952 5:6.150725 6:0.76927775 7:3.3835192 8:-2.7195694 9:3.04799 10:-2.4849405 11:2.3057296 12:-2.7356317 13:5.2009845 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
