1 1:112.32949 2:-2.9064891 3:1.2891653 4:-5.840203 5:-1.6425712 6:-1.5849646 7:6.1339617 8:2.8466182 9:-1.9860493 10:0.4332845 11:6.046232 12:-4.23372 13:3.3903425 14:112.32949 15:-2.9064891 16:1.2891653 17:-5.840203 18:-1.6425712 19:-1.5849646 20:6.1339617 21:2.8466182 22:-1.9860493 23:0.4332845 24:6.046232 25:-4.23372 26:3.3903425 
1 1:217.48337 2:4.3359594 3:12.035761 4:-0.4403052 5:3.0291214 6:1.0590253 7:3.7995744 8:-3.450364 9:2.454161 10:-1.8313069 11:6.8581877 12:-2.252321 13:2.1336515 14:217.48337 15:4.3359594 16:12.035761 17:-0.4403052 18:3.0291214 19:1.0590253 20:3.7995744 21:-3.450364 22:2.454161 23:-1.8313069 24:6.8581877 25:-2.252321 26:2.1336515 
1 1:217.88618 2:5.208197 3:8.9119625 4:-2.3976948 5:2.025947 6:1.2223865 7:3.6943321 8:-3.442294 9:3.1173387 10:-4.206469 11:4.351851 12:-3.3425896 13:2.7164252 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:221.25427 2:6.9515295 3:10.440662 4:-3.1465464 5:4.5566354 6:1.9553927 7:5.2955875 8:-1.4760206 9:2.289123 10:-4.485812 11:3.600992 12:-3.269868 13:4.3482485 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:218.67429 2:7.38422 3:12.841802 4:-1.5713878 5:3.8577974 6:0.5223162 7:4.696536 8:-0.53117996 9:5.0425954 10:-3.8028708 11:5.3260655 12:0.69086814 13:3.8215823 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:220.09474 2:9.434752 3:12.516333 4:-0.70961815 5:2.933484 6:0.18694247 7:3.9880316 8:-2.0862536 9:3.011904 10:-4.4523706 11:4.5672197 12:-2.3068464 13:4.1095357 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:223.47672 2:7.6936126 3:11.150847 4:-0.5916003 5:2.611918 6:-0.5301393 7:2.0950255 8:-1.1032016 9:4.302544 10:-4.0748086 11:4.1332703 12:-3.1698115 13:4.035351 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:219.6559 2:5.614778 3:11.179045 4:0.21750641 5:2.9003682 6:2.6480236 7:3.4308414 8:-1.5663335 9:5.1198297 10:-2.9661572 11:5.4026594 12:-2.5768938 13:2.4287126 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:221.89261 2:5.1767244 3:10.366578 4:1.71836 5:1.9827223 6:0.6971822 7:0.5647709 8:-3.0190167 9:4.3189454 10:-4.5605903 11:6.1081705 12:-1.969064 13:4.672095 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:225.59758 2:7.2270274 3:11.451075 4:-0.018679684 5:2.2547736 6:0.005160488 7:1.0701945 8:-1.6225778 9:4.0959144 10:-5.637437 11:5.9446716 12:-2.3316271 13:4.7214036 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:226.79036 2:1.6305474 3:13.478524 4:1.2904725 5:3.591767 6:3.6720998 7:3.1954577 8:-2.493623 9:3.4632428 10:-2.2500846 11:5.3180776 12:-1.271119 13:5.1744566 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
