1 1:160.38362 2:5.5211287 3:9.6819515 4:-3.2467902 5:4.207224 6:-1.1567945 7:-0.0042403922 8:-1.9447284 9:3.7094748 10:-3.5968351 11:6.1453056 12:-1.3884358 13:3.598984 14:160.38362 15:5.5211287 16:9.6819515 17:-3.2467902 18:4.207224 19:-1.1567945 20:-0.0042403922 21:-1.9447284 22:3.7094748 23:-3.5968351 24:6.1453056 25:-1.3884358 26:3.598984 
1 1:221.75087 2:5.8445005 3:11.788487 4:0.847533 5:2.910956 6:-1.7258747 7:0.4797573 8:-3.787942 9:1.9160179 10:-3.7736502 11:5.221263 12:-2.5545738 13:6.426188 14:221.75087 15:5.8445005 16:11.788487 17:0.847533 18:2.910956 19:-1.7258747 20:0.4797573 21:-3.787942 22:1.9160179 23:-3.7736502 24:5.221263 25:-2.5545738 26:6.426188 
1 1:222.43596 2:6.9532504 3:10.715622 4:-2.1197524 5:4.7554083 6:1.2114058 7:3.1859834 8:-0.9511334 9:5.5957603 10:-3.354036 11:4.2824383 12:-0.7564323 13:4.4645767 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:221.54224 2:7.7687683 3:12.03899 4:-3.1707187 5:6.3699102 6:1.8740493 7:3.713714 8:-0.39794654 9:4.994289 10:-3.9614348 11:5.308829 12:-1.0511116 13:2.2569225 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:221.17564 2:6.144058 3:12.279567 4:-0.9133426 5:4.823276 6:0.7842444 7:2.8424137 8:1.0880101 9:5.061543 10:-6.1037345 11:4.8082256 12:-0.9160504 13:3.7207384 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:222.2759 2:5.5596237 3:12.5344305 4:1.5958667 5:5.949595 6:0.6812932 7:3.6082056 8:1.5473709 9:3.8919842 10:-5.436714 11:4.272063 12:-2.2810128 13:5.1644926 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:229.91026 2:8.889613 3:7.960693 4:-1.635067 5:4.733329 6:-0.23746824 7:2.3948972 8:-3.7707202 9:5.2355905 10:-4.0632434 11:3.8895037 12:-2.2184508 13:2.7164805 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:236.63712 2:8.923419 3:7.862156 4:-1.1684018 5:3.984519 6:-0.46455088 7:1.3461922 8:-3.9611979 9:6.608737 10:-3.0939019 11:4.761976 12:-3.4315684 13:3.4022405 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:222.82294 2:2.24045 3:11.362829 4:-1.3121302 5:2.5753274 6:-0.49167868 7:2.0762472 8:1.3138618 9:8.174067 10:-2.161643 11:5.2992315 12:-2.5147386 13:5.0157743 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:224.97852 2:3.7785406 3:11.823432 4:-0.08180093 5:4.3827705 6:-1.9199041 7:-0.28764424 8:-0.6836136 9:8.81743 10:-1.262531 11:5.08098 12:-3.381763 13:4.1524277 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:231.34082 2:3.165756 3:9.98212 4:2.326113 5:8.527624 6:0.9062546 7:0.44397822 8:-5.317221 9:4.741287 10:-1.8616829 11:4.291029 12:-4.3076453 13:2.2977495 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
