1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:213.4053 2:3.8559227 3:9.450082 4:-0.98038334 5:0.5036857 6:0.07275648 7:1.208253 8:-3.3206992 9:3.6758888 10:-2.5055077 11:5.1456113 12:-2.5376716 13:3.84513 14:213.4053 15:3.8559227 16:9.450082 17:-0.98038334 18:0.5036857 19:0.07275648 20:1.208253 21:-3.3206992 22:3.6758888 23:-2.5055077 24:5.1456113 25:-2.5376716 26:3.84513 
1 1:217.69319 2:4.415116 3:11.732286 4:0.57693547 5:2.3642619 6:0.8017619 7:2.8109949 8:-2.9110136 9:4.2066727 10:-1.5892372 11:5.4572563 12:-2.0022447 13:3.7126644 14:67.68706 15:2.0589345 16:3.6603215 17:0.7118581 18:1.6826489 19:-0.032908287 20:0.46832776 21:-0.9194841 22:1.3853905 23:-1.6424227 24:1.1085534 25:-0.99547255 26:1.0929673 
1 1:217.52638 2:6.33156 3:11.593038 4:0.30324164 5:3.3175147 6:1.0208567 7:1.340626 8:-3.8993335 9:2.4712262 10:-3.7522342 11:5.765778 12:-2.010833 13:4.423104 14:67.68706 15:2.0589345 16:3.6603215 17:0.7118581 18:1.6826489 19:-0.032908287 20:0.46832776 21:-0.9194841 22:1.3853905 23:-1.6424227 24:1.1085534 25:-0.99547255 26:1.0929673 
1 1:216.3649 2:6.3214226 3:6.4596753 4:-3.576557 5:2.2833672 6:-0.58161455 7:1.0555243 8:-1.4266121 9:2.6545622 10:-3.625599 11:4.0913525 12:-2.8690665 13:5.3481793 14:67.68706 15:2.0589345 16:3.6603215 17:0.7118581 18:1.6826489 19:-0.032908287 20:0.46832776 21:-0.9194841 22:1.3853905 23:-1.6424227 24:1.1085534 25:-0.99547255 26:1.0929673 
1 1:217.08594 2:5.7542577 3:7.1282926 4:-1.856458 5:2.892398 6:-1.3811356 7:2.6856408 8:-1.8789666 9:1.7069217 10:-4.3217044 11:4.1754107 12:-1.7262409 13:5.1023192 14:67.68706 15:2.0589345 16:3.6603215 17:0.7118581 18:1.6826489 19:-0.032908287 20:0.46832776 21:-0.9194841 22:1.3853905 23:-1.6424227 24:1.1085534 25:-0.99547255 26:1.0929673 
1 1:218.61131 2:8.273987 3:11.194267 4:-1.8119551 5:2.746551 6:-0.26594436 7:3.2103245 8:-1.6055015 9:2.7814662 10:-3.3274753 11:7.3577347 12:-1.898639 13:5.598145 14:67.68706 15:2.0589345 16:3.6603215 17:0.7118581 18:1.6826489 19:-0.032908287 20:0.46832776 21:-0.9194841 22:1.3853905 23:-1.6424227 24:1.1085534 25:-0.99547255 26:1.0929673 
1 1:215.11937 2:6.267395 3:9.8474865 4:-1.1758529 5:5.4692717 6:1.9036095 7:3.491819 8:-2.0429416 9:3.719066 10:-3.741096 11:7.7420864 12:-0.66654605 13:5.709641 14:67.68706 15:2.0589345 16:3.6603215 17:0.7118581 18:1.6826489 19:-0.032908287 20:0.46832776 21:-0.9194841 22:1.3853905 23:-1.6424227 24:1.1085534 25:-0.99547255 26:1.0929673 
1 1:216.18112 2:9.216698 3:12.685669 4:-0.18627538 5:3.557822 6:-1.5185078 7:3.6005259 8:-3.1676419 9:2.3868015 10:-5.001877 11:6.093834 12:-1.6188798 13:1.3224118 14:67.68706 15:2.0589345 16:3.6603215 17:0.7118581 18:1.6826489 19:-0.032908287 20:0.46832776 21:-0.9194841 22:1.3853905 23:-1.6424227 24:1.1085534 25:-0.99547255 26:1.0929673 
1 1:218.6211 2:7.6672735 3:14.106877 4:2.276112 5:4.638289 6:-1.6188284 7:2.7288637 8:-2.6473982 9:4.069343 10:-3.9434516 11:5.102765 12:-1.7195339 13:3.5982172 14:67.68706 15:2.0589345 16:3.6603215 17:0.7118581 18:1.6826489 19:-0.032908287 20:0.46832776 21:-0.9194841 22:1.3853905 23:-1.6424227 24:1.1085534 25:-0.99547255 26:1.0929673 
1 1:217.53262 2:5.2761517 3:10.225606 4:-0.44219226 5:1.077557 6:-0.8590969 7:-0.21125585 8:-5.0829983 9:4.4339285 10:-3.8091817 11:3.5100086 12:-3.2361095 13:3.0033627 14:67.68706 15:2.0589345 16:3.6603215 17:0.7118581 18:1.6826489 19:-0.032908287 20:0.46832776 21:-0.9194841 22:1.3853905 23:-1.6424227 24:1.1085534 25:-0.99547255 26:1.0929673 
