1 1:121.88638 2:0.9905957 3:3.723385 4:-4.8752685 5:3.490095 6:-1.1202023 7:4.26959 8:-2.545449 9:-0.5684819 10:-3.6203132 11:1.9239448 12:-0.1675957 13:2.6443875 14:121.88638 15:0.9905957 16:3.723385 17:-4.8752685 18:3.490095 19:-1.1202023 20:4.26959 21:-2.545449 22:-0.5684819 23:-3.6203132 24:1.9239448 25:-0.1675957 26:2.6443875 
1 1:227.45334 2:8.355641 3:12.117876 4:1.0987033 5:7.40511 6:0.22644635 7:3.195708 8:-4.822251 9:0.935282 10:-3.3349333 11:7.1924186 12:-1.2423831 13:4.5671573 14:227.45334 15:8.355641 16:12.117876 17:1.0987033 18:7.40511 19:0.22644635 20:3.195708 21:-4.822251 22:0.935282 23:-3.3349333 24:7.1924186 25:-1.2423831 26:4.5671573 
1 1:225.27466 2:6.927026 3:10.087532 4:-2.0857003 5:3.9573333 6:1.2723471 7:1.2718414 8:-2.9871583 9:3.002038 10:-2.791443 11:6.234217 12:-2.472503 13:2.8671894 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:227.73897 2:8.951058 3:11.005889 4:-1.4050636 5:3.947913 6:-1.3599257 7:0.16372178 8:-2.3868923 9:2.028709 10:-3.9984736 11:4.589557 12:-3.9021854 13:3.3775375 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:228.26784 2:7.6443214 3:11.549887 4:0.4076875 5:4.5790596 6:1.5861083 7:4.306056 8:-1.916834 9:4.7452683 10:-3.5286353 11:6.4416966 12:-2.6469512 13:2.9974432 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:224.8763 2:8.758436 3:9.667245 4:-0.8684346 5:4.738522 6:0.27595133 7:4.488513 8:-0.38481334 9:6.042085 10:-2.7628746 11:7.2110662 12:-1.2705277 13:5.0588813 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:230.19257 2:9.323297 3:12.178951 4:-0.6398539 5:3.6758168 6:-0.95492375 7:3.5562954 8:-3.6022031 9:4.3815894 10:-3.7249808 11:5.4161606 12:-1.292519 13:3.8307426 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:229.47112 2:8.625013 3:12.227907 4:-1.2002617 5:2.0465245 6:-0.44450605 7:2.833695 8:-5.781187 9:2.5886202 10:-4.755117 11:3.4862502 12:-1.2153404 13:4.4641013 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:246.72733 2:6.013887 3:3.5597513 4:-3.156121 5:7.7836366 6:1.2810936 7:-1.4715554 8:-6.026668 9:4.138958 10:-2.5181603 11:2.9800913 12:-4.197594 13:2.742121 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:251.1791 2:6.3974204 3:7.462717 4:-1.5674385 5:6.0588245 6:0.7012004 7:-1.959343 8:-6.5651097 9:4.06463 10:-4.0943913 11:3.9135375 12:-3.8051715 13:2.2053132 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:255.40462 2:1.5385711 3:5.97596 4:-1.4961207 5:6.0091534 6:1.3474989 7:-2.0349731 8:-3.9010062 9:3.787178 10:-2.5735438 11:2.7353764 12:-2.5873072 13:3.5286033 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:261.8499 2:-0.75019723 3:6.6926503 4:1.2830213 5:4.0398064 6:1.6489516 7:-1.3217239 8:-5.587877 9:3.1340673 10:-1.6530517 11:3.6103678 12:-1.1144484 13:2.9739463 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:257.0324 2:0.14810053 3:6.047255 4:-0.50139785 5:2.5631678 6:2.4155836 7:0.57411575 8:-2.345845 9:4.281704 10:-4.4287953 11:2.3113935 12:-1.2901682 13:4.2698703 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:252.48401 2:0.34235138 3:6.4583864 4:-1.4428339 5:4.191454 6:1.684468 7:-0.22774516 8:-3.272248 9:4.90875 10:-1.9479364 11:1.565752 12:-0.6756864 13:3.9787161 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:246.92871 2:1.3135521 3:10.666857 4:1.1883918 5:5.550942 6:1.239781 7:2.1106763 8:-2.0848315 9:3.2642572 10:-3.2220738 11:3.2244241 12:-0.5646214 13:2.721137 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:247.34482 2:2.3354807 3:10.382876 4:-0.36039987 5:4.14972 6:1.0190533 7:1.2732028 8:-1.003788 9:5.090244 10:-2.8137348 11:2.9669902 12:-1.8699125 13:3.3301017 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:242.5357 2:-0.44657546 3:6.205982 4:-0.61643314 5:4.2581587 6:1.5959005 7:2.9672601 8:-2.8027859 9:6.356895 10:-1.3888385 11:2.4011226 12:-1.967209 13:4.588911 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:243.31363 2:0.8367351 3:6.5655923 4:0.3176979 5:7.511431 6:3.1804984 7:3.7398598 8:-3.999056 9:3.5998218 10:-2.9129457 11:2.5930958 12:-1.2011863 13:2.8759995 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:240.92322 2:1.6987115 3:7.3449326 4:0.6672921 5:5.693089 6:-0.62211454 7:-1.1226847 8:-4.4286494 9:4.6586146 10:-2.2250342 11:2.0818002 12:-2.3592846 13:1.4182327 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:238.39438 2:-1.6750296 3:5.634984 4:-0.2002396 5:5.8311667 6:2.3130686 7:1.3052591 8:-2.2981734 9:5.6433067 10:-1.7464126 11:3.6982188 12:-0.015303391 13:3.3198843 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:239.39331 2:1.7414031 3:8.425473 4:0.48807785 5:4.3748307 6:1.2696254 7:0.14363383 8:-4.7006717 9:5.3802676 10:-2.623007 11:3.904376 12:-1.6515491 13:4.244258 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:239.08832 2:4.272791 3:9.359779 4:1.3382617 5:4.0492 6:0.9573767 7:0.51920694 8:-5.1698236 9:6.4743104 10:-2.1009295 11:4.19109 12:-2.7452822 13:2.8078032 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:235.78668 2:3.3958335 3:11.480439 4:0.6468788 5:6.452204 6:3.4024696 7:2.9225287 8:-3.5055542 9:4.3377438 10:-2.715242 11:4.100445 12:-2.5882206 13:3.2822983 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:231.63971 2:3.3827872 3:9.113368 4:-0.57266533 5:5.722353 6:1.0068806 7:1.1244384 8:-2.900142 9:4.10377 10:-3.631846 11:5.4622426 12:-1.7178346 13:2.1810098 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:247.72913 2:0.09104971 3:8.410886 4:0.28121048 5:8.137792 6:3.1023707 7:-0.87862855 8:-2.8086216 9:6.2190456 10:-2.1752257 11:3.323097 12:-2.077738 13:0.37255383 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:247.11145 2:-0.17408505 3:9.970811 4:-0.250368 5:5.6018496 6:2.7775424 7:-2.6976724 8:-2.6162105 9:6.1780124 10:-2.71625 11:2.0729315 12:-2.5984373 13:1.2012948 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:230.26457 2:1.0716139 3:10.478257 4:-0.97631276 5:3.7550423 6:-1.3933519 7:-1.4658219 8:-3.8045719 9:4.011813 10:-2.7427282 11:5.1813884 12:-0.48073393 13:1.728002 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:227.81354 2:0.7268175 3:9.9255295 4:0.394699 5:4.131817 6:0.7533087 7:0.08891447 8:-5.0089073 9:2.81046 10:-3.5438437 11:4.7181034 12:0.21309221 13:4.987986 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:226.38882 2:1.2267797 3:8.590796 4:0.5532515 5:5.757767 6:1.3079398 7:3.516757 8:-2.9074757 9:3.3657086 10:-2.4239733 11:6.709206 12:1.4807792 13:5.0749803 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:228.41322 2:3.419249 3:10.866408 4:1.556025 5:3.149363 6:0.68252975 7:3.1699097 8:-3.865955 9:3.5332968 10:-2.4136379 11:5.9360275 12:-0.9449399 13:3.4397078 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:226.14369 2:2.6493418 3:7.1087766 4:-0.26597124 5:3.9366198 6:0.33450723 7:1.721392 8:-2.2234378 9:6.2650213 10:-1.2735047 11:5.086329 12:-1.2646048 13:3.4108036 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:225.23009 2:2.102483 3:6.332402 4:-1.520869 5:0.52568376 6:-0.33671343 7:3.486809 8:-0.52310765 9:6.885384 10:-2.051701 11:5.1026826 12:-2.1466508 13:3.379653 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:235.06406 2:-1.7133346 3:13.661807 4:-3.8064744 5:5.903702 6:0.2190696 7:3.888619 8:0.017297551 9:2.2628896 10:-1.6024693 11:3.4509156 12:0.045381807 13:4.2231293 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:238.04079 2:-4.5969906 3:16.630005 4:-0.40542558 5:6.981698 6:-1.1267524 7:2.6817327 8:-0.10863552 9:0.30772796 10:-1.0603191 11:2.9955573 12:-1.2460328 13:2.8796356 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:226.82892 2:4.567902 3:8.652147 4:-2.7617085 5:6.763665 6:3.61421 7:4.5633864 8:-2.675116 9:-0.24304155 10:-6.097225 11:2.178884 12:-4.3523364 13:4.1277456 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:231.66933 2:8.027284 3:9.32835 4:-0.9435034 5:7.4248843 6:1.6251161 7:4.381678 8:-3.9942052 9:-0.44931668 10:-7.2254806 11:2.8546753 12:-3.061863 13:4.9591746 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:244.41026 2:11.114184 3:10.857841 4:-1.2242024 5:4.648044 6:-1.8772069 7:0.23417568 8:-4.254458 9:3.7473173 10:-6.7591596 11:2.6267915 12:-0.90716976 13:3.7609158 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:245.1219 2:12.896447 3:10.688871 4:-0.060707383 5:5.2489653 6:-1.5741562 7:2.817065 8:-5.31391 9:2.2678757 10:-6.864877 11:3.5959718 12:-1.6246406 13:5.9503508 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:239.93767 2:11.167569 3:10.357503 4:-1.5589412 5:5.0245194 6:-3.5149088 7:3.8090065 8:-5.420916 9:-0.82914656 10:-6.0738907 11:3.7947652 12:-1.5864217 13:5.115242 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:236.5557 2:8.664532 3:8.767393 4:-0.60450363 5:5.6863804 6:-3.53636 7:2.7270343 8:-5.012924 9:0.24622981 10:-3.7353241 11:7.1616063 12:0.18198654 13:6.0119514 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:236.33041 2:11.652022 3:9.9979 4:0.49161965 5:5.925489 6:-3.7208855 7:4.5838327 8:-3.9050698 9:-0.560787 10:-5.6574583 11:5.323012 12:-2.4645903 13:3.909171 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:238.52574 2:9.433023 3:7.2661643 4:0.906914 5:6.8588324 6:-2.8429961 7:3.7802482 8:-3.0807426 9:0.20666556 10:-5.261893 11:4.278297 12:-3.0188234 13:4.9598365 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
