1 1:-12.596603 2:-10.789415 3:4.666965 4:-7.458564 5:2.4044063 6:-5.3817205 7:4.4839435 8:-1.1219305 9:-1.7115945 10:1.0777657 11:1.2189251 12:-0.7713643 13:0.6602384 14:-12.596603 15:-10.789415 16:4.666965 17:-7.458564 18:2.4044063 19:-5.3817205 20:4.4839435 21:-1.1219305 22:-1.7115945 23:1.0777657 24:1.2189251 25:-0.7713643 26:0.6602384 
1 1:244.97705 2:14.554457 3:11.106602 4:-1.0351461 5:5.125887 6:1.1735958 7:5.4755034 8:-4.6680975 9:5.378423 10:-4.3515396 11:4.1165648 12:-4.2009177 13:4.191931 14:244.97705 15:14.554457 16:11.106602 17:-1.0351461 18:5.125887 19:1.1735958 20:5.4755034 21:-4.6680975 22:5.378423 23:-4.3515396 24:4.1165648 25:-4.2009177 26:4.191931 
1 1:244.51064 2:14.406541 3:9.23748 4:-1.2580144 5:3.5426583 6:2.0140808 7:5.7681823 8:-3.8608575 9:5.611279 10:-2.1983945 11:6.273022 12:-4.702026 13:3.736023 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:243.99469 2:13.0448065 3:7.386672 4:-2.5160067 5:3.5001693 6:0.76776576 7:3.903559 8:-4.5265813 9:5.8497257 10:-2.6989582 11:6.858911 12:-4.2330174 13:3.6866088 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:249.5078 2:15.803847 3:10.807659 4:-2.2454119 5:6.5843124 6:2.514366 7:3.8996596 8:-3.8353543 9:6.1754637 10:-4.7503176 11:4.688714 12:-3.7366831 13:5.685354 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:245.88782 2:15.138028 3:11.2710285 4:-3.2001672 5:6.4043026 6:1.3049026 7:2.610364 8:-1.7795336 9:6.7371926 10:-3.716344 11:3.4378126 12:-4.757877 13:5.754995 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:241.1237 2:13.036464 3:8.337538 4:-2.1702933 5:6.477922 6:2.3267822 7:5.6797256 8:0.020989267 9:7.032298 10:-4.558046 11:4.2000365 12:-4.5354705 13:4.2426558 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:240.0848 2:12.405646 3:10.904969 4:-0.6960269 5:6.252179 6:0.092620626 7:4.8611927 8:-0.7348737 9:6.8720155 10:-3.4536946 11:3.9313917 12:-3.3447227 13:5.2001605 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:240.53827 2:11.1243725 3:9.33222 4:-0.18053584 5:6.601426 6:1.4495616 7:4.365176 8:-2.5315151 9:3.2779217 10:-5.1035457 11:3.8744383 12:-3.9075356 13:3.44818 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:242.8613 2:11.864838 3:10.444637 4:-0.48795825 5:7.6989875 6:0.10659641 7:4.6042175 8:-3.3332896 9:3.2175527 10:-4.316003 11:4.806433 12:-3.4475875 13:3.4400673 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:241.79367 2:12.458311 3:6.704478 4:-3.2780535 5:5.92622 6:-1.0451472 7:1.6936247 8:-3.4003584 9:3.769044 10:-4.3208575 11:3.0385199 12:-4.9060063 13:3.0669272 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
