1 1:158.147 2:2.9635358 3:4.5775166 4:-2.4871678 5:0.9797029 6:-1.5332507 7:1.0174456 8:-7.916628 9:1.3442025 10:-1.3939 11:1.0062021 12:-4.286292 13:3.2163198 14:158.147 15:2.9635358 16:4.5775166 17:-2.4871678 18:0.9797029 19:-1.5332507 20:1.0174456 21:-7.916628 22:1.3442025 23:-1.3939 24:1.0062021 25:-4.286292 26:3.2163198 
1 1:226.84122 2:5.1192293 3:12.236982 4:1.5016259 5:5.147403 6:1.9468427 7:2.270019 8:-3.6839318 9:2.7908196 10:-5.902782 11:1.8574893 12:-4.5087943 13:1.9474313 14:226.84122 15:5.1192293 16:12.236982 17:1.5016259 18:5.147403 19:1.9468427 20:2.270019 21:-3.6839318 22:2.7908196 23:-5.902782 24:1.8574893 25:-4.5087943 26:1.9474313 
1 1:231.46819 2:8.081268 3:12.208891 4:-1.4444938 5:6.047254 6:2.6775436 7:2.1857607 8:-3.5626078 9:4.4419107 10:-4.4996014 11:4.0241675 12:-4.0661917 13:2.918919 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:228.96735 2:7.5168347 3:10.314521 4:-1.2423567 5:5.0927863 6:2.1690137 7:0.89656806 8:-3.6331787 9:5.590951 10:-4.6223207 11:4.2697587 12:-2.8961723 13:2.3918145 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:225.13564 2:2.4956686 3:11.2136545 4:2.1389775 5:7.7675366 6:2.9986572 7:3.058807 8:-1.3450884 9:3.959474 10:-5.575306 11:4.4865294 12:-2.706557 13:2.100285 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:225.32129 2:3.4908257 3:9.696155 4:0.26309764 5:4.3563976 6:1.6621516 7:2.6492739 8:-3.4099288 9:3.4545403 10:-5.1732316 11:3.1246445 12:-2.8424692 13:1.3706341 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:236.89137 2:3.086471 3:8.566901 4:-0.30665073 5:7.7659225 6:0.61638933 7:0.29228932 8:-4.780445 9:4.7674685 10:-2.2622783 11:4.7838483 12:-0.20383865 13:4.520998 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:245.7708 2:-0.77629066 3:4.923265 4:-0.78774023 5:10.483066 6:1.3411809 7:0.26232517 8:-3.9852057 9:6.218078 10:-0.76890635 11:5.574828 12:0.45914188 13:1.7167184 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:232.84183 2:1.7663054 3:7.8095565 4:-0.44366294 5:5.416668 6:-0.7768005 7:0.110310115 8:-2.38928 9:6.505764 10:0.40695855 11:5.2817106 12:-2.2293975 13:1.9092643 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:227.94278 2:3.2322366 3:7.778891 4:0.4427615 5:3.7540488 6:0.04895929 7:2.4555676 8:-0.9711822 9:3.9789379 10:-2.0690513 11:6.171122 12:-1.2249923 13:3.846332 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:224.7735 2:3.4307804 3:10.746741 4:-0.03633077 5:2.8503118 6:0.5919853 7:0.49774462 8:-2.990094 9:3.057394 10:-2.4817245 11:5.002704 12:-2.766696 13:3.3050253 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:221.47865 2:1.5267367 3:9.40858 4:0.36769578 5:4.225834 6:1.7529483 7:1.4912422 8:-1.7690476 9:3.987772 10:-1.0280113 11:4.8977556 12:-2.0801287 13:3.8534045 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:229.08926 2:6.2078266 3:10.225824 4:-1.4959387 5:3.746256 6:2.5480418 7:3.0500278 8:0.31961873 9:6.1017303 10:-3.7976217 11:2.32778 12:-1.4580883 13:5.5476127 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:227.45847 2:7.292005 3:13.208869 4:-1.1307477 5:3.6129477 6:0.7927032 7:3.250994 8:-0.90806323 9:4.3828883 10:-4.386818 11:3.4260314 12:-0.92483723 13:4.5374355 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:275.56564 2:-13.470613 3:11.780832 4:6.540368 5:-4.597741 6:-5.325479 7:5.5317097 8:-4.2375526 9:-1.2878252 10:1.0588076 11:4.4171157 12:-2.6547556 13:2.3951793 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:282.4864 2:-17.809809 3:12.900035 4:8.566329 5:-5.2363486 6:-6.196958 7:4.9015822 8:-4.5240197 9:-2.6474454 10:0.08751877 11:4.2439036 12:-3.0568118 13:0.8970991 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:256.2388 2:-9.4867 3:14.096832 4:2.3576524 5:-1.0195607 6:-0.57180345 7:4.4804907 8:-2.6494641 9:-0.62336767 10:0.4860543 11:1.6790261 12:-0.8434463 13:2.7365248 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:254.02998 2:-7.1758204 3:12.351858 4:1.4885349 5:2.2756796 6:-1.368879 7:2.4868402 8:-1.2271582 9:0.7124168 10:2.1478877 11:2.75389 12:-0.44788328 13:2.0765681 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:251.34036 2:-4.583467 3:10.002716 4:2.4716184 5:-0.008902382 6:-5.749978 7:4.666138 8:-3.876799 9:0.07490021 10:-0.23844926 11:3.543593 12:-1.1385198 13:1.5185246 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:243.35837 2:-2.3128765 3:10.167825 4:3.1044405 5:-2.1526191 6:-1.7954766 7:4.5749207 8:-4.809951 9:1.2336946 10:-2.9925523 11:3.5285597 12:-0.20931026 13:1.8234473 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:237.38516 2:-1.1544731 3:9.980131 4:2.4893303 5:0.73543465 6:-2.2395341 7:2.5843213 8:-5.453158 9:0.9895811 10:-0.7862677 11:4.321911 12:-0.756229 13:3.719373 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:240.53496 2:-1.9552759 3:13.265331 4:2.703991 5:2.7987478 6:-4.995566 7:1.2421641 8:-3.0382936 9:1.5029109 10:-1.8637481 11:5.409077 12:-0.060121514 13:3.045419 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:234.08781 2:-1.5120305 3:12.297267 4:1.0338053 5:3.4456983 6:-1.2921245 7:1.3496332 8:-4.7708597 9:3.114381 10:-2.1667423 11:3.8787587 12:1.3785911 13:2.3448396 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:232.4178 2:0.06164657 3:10.440026 4:0.5623212 5:0.6514142 6:-0.53100127 7:2.2251432 8:-3.6960535 9:4.1837068 10:-1.876893 11:4.5522456 12:0.110379234 13:3.08947 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:229.53012 2:0.46593097 3:7.7802954 4:0.28623348 5:0.7427217 6:0.96208835 7:2.3682606 8:-3.7028623 9:6.2356496 10:-1.2337018 11:5.5637426 12:-0.20334938 13:3.6374993 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:230.80353 2:0.651626 3:7.110802 4:-0.7981613 5:2.3404624 6:0.29379323 7:1.3711272 8:-4.198157 9:5.338954 10:-1.8559439 11:4.2170944 12:-1.3511906 13:3.5271587 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:233.09567 2:2.8310747 3:9.324696 4:-0.93571126 5:0.8438354 6:1.4049082 7:4.0349464 8:-4.0135245 9:4.6293054 10:-2.8772254 11:3.4931164 12:-3.6961331 13:3.8304613 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:233.73927 2:4.434497 3:11.147927 4:0.3669981 5:3.668959 6:1.5065861 7:3.8330605 8:-3.1011848 9:3.0365694 10:-2.7680943 11:4.52394 12:-3.9240618 13:4.576444 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:233.21182 2:2.9885268 3:12.845051 4:2.933917 5:4.845189 6:-0.51287204 7:1.7974077 8:-4.621487 9:2.1978033 10:-1.5528697 11:4.450458 12:-1.7093794 13:3.7472768 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:248.16533 2:-9.354431 3:13.444377 4:4.612178 5:-0.9981577 6:-2.4518273 7:5.268108 8:-0.40806425 9:0.28972054 10:1.7058507 11:5.2364383 12:-2.1082344 13:4.455789 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:245.35466 2:-4.0509834 3:14.035036 4:3.2095351 5:0.48350653 6:1.786607 7:5.653384 8:-2.6646516 9:2.479923 10:0.6227451 11:6.3083773 12:-2.9169753 13:2.5661283 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:237.32011 2:-3.4570544 3:12.96468 4:0.04628375 5:-0.77468204 6:-1.8082342 7:3.3806129 8:-1.495167 9:2.2123618 10:-0.06039367 11:5.542962 12:0.55435675 13:4.894184 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:252.28767 2:-6.7333965 3:8.186689 4:8.218939 5:5.1095123 6:0.73218286 7:-0.7776956 8:-6.7558002 9:8.64748 10:-3.696542 11:-1.2664247 12:0.48298398 13:3.0825233 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:246.90706 2:-4.1908326 3:7.04675 4:4.5287476 5:1.6647243 6:-0.28507996 7:-1.1476593 8:-6.91857 9:6.3321514 10:-5.2751436 11:-1.9897599 12:-0.35839677 13:2.8037477 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:233.25266 2:0.73072356 3:12.764797 4:-0.8995502 5:2.4319844 6:-0.9611683 7:2.4649353 8:-3.5409153 9:2.9163003 10:-2.6194925 11:0.89061874 12:-0.45743006 13:1.9204978 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:238.96411 2:0.6505911 3:13.864922 4:-2.9511876 5:3.4562116 6:-0.72938514 7:1.4219347 8:-4.222089 9:2.9333522 10:-1.9522741 11:-0.49002188 12:-0.22688568 13:0.3447964 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:237.78995 2:5.2351937 3:6.7781267 4:-2.7152445 5:2.7262573 6:-1.870705 7:0.66096526 8:-2.1019208 9:3.8872318 10:-1.9012984 11:4.041615 12:-3.3958704 13:4.47056 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
1 1:235.62302 2:8.592403 3:10.18197 4:-0.057200883 5:2.9127839 6:-2.2074416 7:0.6576767 8:-3.30159 9:2.6005073 10:-2.8095686 11:3.543775 12:-4.52169 13:4.4281306 14:67.50704 15:1.0744888 16:2.953737 17:-0.24671146 18:0.8534344 19:0.16274548 20:0.7193318 21:-0.7556762 22:1.0983711 23:-0.764243 24:1.4901958 25:-0.7389114 26:1.2535362 
