1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:227.79013 2:4.8323517 3:9.930602 4:0.28843364 5:5.2446465 6:0.9384495 7:3.1708488 8:-0.9153835 9:6.6026998 10:-2.0365188 11:4.11242 12:-3.848859 13:1.6399512 14:227.79013 15:4.8323517 16:9.930602 17:0.28843364 18:5.2446465 19:0.9384495 20:3.1708488 21:-0.9153835 22:6.6026998 23:-2.0365188 24:4.11242 25:-3.848859 26:1.6399512 
1 1:241.62798 2:8.264762 3:7.0082107 4:-5.290418 5:4.3060036 6:0.018185133 7:3.3635042 8:-3.1094174 9:2.3422241 10:-0.99488837 11:3.3694077 12:-3.621408 13:2.406668 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:248.71835 2:8.650718 3:4.1898837 4:-5.6368265 5:4.5705853 6:-0.773691 7:4.777275 8:-3.5614233 9:3.503753 10:0.5483164 11:5.782301 12:-2.134217 13:2.4177577 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:262.7569 2:5.465277 3:0.9018414 4:-5.44936 5:4.055618 6:1.791378 7:6.022964 8:-3.8481984 9:4.2151346 10:-2.344997 11:4.770427 12:-2.0285938 13:2.750382 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:295.4475 2:7.2036176 3:-1.7548054 4:-5.400653 5:4.9391227 6:0.60182947 7:2.96023 8:-7.1527495 9:2.055398 10:-4.4628115 11:2.0553365 12:-5.077657 13:1.946447 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:276.20377 2:10.437433 3:0.34649777 4:-3.9239187 5:7.224785 6:3.1768627 7:4.273852 8:-6.2115273 9:2.0136416 10:-3.4230573 11:3.834284 12:-4.536668 13:2.1956732 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:233.4416 2:6.6292615 3:12.345226 4:-1.3822031 5:3.2082317 6:-0.6689129 7:3.6692452 8:-0.8401846 9:1.904475 10:-2.4360497 11:7.277814 12:-1.3000417 13:2.9329083 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:231.42378 2:-2.0797737 3:15.843833 4:-1.4367663 5:3.7400646 6:-2.0360193 7:0.8680476 8:0.8723088 9:1.2214113 10:-1.520301 11:5.9702296 12:0.71589947 13:1.5946368 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:231.08527 2:1.6116109 3:15.465119 4:-0.2667556 5:4.5706997 6:-2.8319762 7:2.872623 8:0.72684395 9:0.84701115 10:-2.5054424 11:5.721252 12:-0.30346796 13:1.3996329 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:223.22777 2:0.6232978 3:9.773574 4:-0.030655984 5:2.8915956 6:-1.2228097 7:2.0177393 8:-0.65711987 9:5.005499 10:-0.6812709 11:5.9340525 12:-0.3861663 13:1.7937622 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:228.06189 2:3.2379384 3:9.289081 4:-1.0238692 5:2.8115685 6:-2.93686 7:1.5355333 8:-1.820565 9:3.1356542 10:-2.4053438 11:5.0218234 12:0.83751196 13:3.1597836 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:229.38435 2:3.1167316 3:12.074681 4:-1.8111613 5:3.7875416 6:-1.3977469 7:4.7887444 8:2.0748389 9:4.7428694 10:-1.7714809 11:4.236144 12:-0.7642348 13:2.973532 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:230.827 2:5.436361 3:13.198735 4:-1.4787518 5:1.6193852 6:-1.6872401 7:3.7632105 8:0.1293962 9:3.7193909 10:-2.3934643 11:4.0563116 12:-2.2452698 13:4.047283 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:226.3748 2:3.422711 3:13.916454 4:-1.3961691 5:2.2975714 6:-2.1047893 7:4.130589 8:1.6451479 9:1.2857051 10:-3.4881637 11:2.313496 12:-0.80998313 13:1.0419567 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:226.1752 2:5.0358796 3:15.606705 4:-2.2133589 5:1.6727475 6:-0.95723325 7:3.7263157 8:0.7368571 9:1.1391013 10:-2.796984 11:1.1382172 12:-2.9590404 13:0.32507786 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:227.8811 2:4.136503 3:15.952445 4:0.37699455 5:4.2972527 6:-1.6010249 7:4.058016 8:1.069969 9:4.0171824 10:-1.1082284 11:3.4970677 12:-2.4868982 13:2.1211765 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:226.53018 2:6.4360905 3:14.631344 4:0.5594274 5:4.35315 6:-1.5143754 7:2.9572089 8:0.36718494 9:6.1043644 10:-0.8612291 11:3.8770418 12:-4.1507797 13:2.7198076 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:222.7523 2:3.7314003 3:9.311993 4:-0.43421805 5:1.8411223 6:-0.42996377 7:3.8090336 8:-1.2854849 9:2.9990544 10:-0.4663039 11:4.9256606 12:-4.952339 13:0.7702507 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:223.30617 2:2.5060492 3:9.366105 4:-0.7303634 5:1.5080572 6:-3.265155 7:0.7565035 8:-1.3616916 9:2.2768252 10:-1.9666817 11:6.0819745 12:-2.6502068 13:1.5523609 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:226.86734 2:2.8509898 3:11.547572 4:-1.2547787 5:3.2298114 6:-1.8480126 7:-0.3971236 8:1.1764432 9:2.228472 10:-2.7303536 11:3.433813 12:-2.5867407 13:3.4439256 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:229.40771 2:2.8635 3:13.782953 4:1.2262374 5:4.6622643 6:-0.99970806 7:1.404346 8:2.3196507 9:1.2435555 10:0.18068022 11:3.9013042 12:-3.0707097 13:1.9836532 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:232.806 2:1.8761841 3:12.177363 4:0.8254141 5:3.0922813 6:-1.887995 7:0.4251033 8:0.15578425 9:0.7478544 10:-1.4622625 11:4.1709166 12:-1.3670878 13:1.9039726 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:235.13475 2:2.3750265 3:12.910046 4:0.02525725 5:2.801216 6:-1.3842866 7:2.2582664 8:-0.7343216 9:2.314053 10:-1.3018126 11:3.4961424 12:-0.6132872 13:1.0618113 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:235.56082 2:2.756777 3:12.373873 4:-1.5866555 5:3.312755 6:0.7856063 7:2.5898283 8:-1.6493331 9:3.5443351 10:-1.7494128 11:4.1598735 12:-0.61489487 13:1.258825 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:233.13333 2:1.808621 3:11.534708 4:1.5933553 5:4.7976613 6:-0.551431 7:3.0864875 8:-2.5478508 9:1.7759069 10:-3.8112593 11:4.9228315 12:0.30289108 13:1.9263501 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:237.37965 2:4.839062 3:12.424015 4:0.75279826 5:2.249238 6:-3.899074 7:3.1274886 8:-2.4042037 9:3.1214259 10:-1.3675495 11:5.718886 12:-1.8637303 13:2.3905945 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:249.55963 2:6.207728 3:5.506679 4:-2.1746197 5:2.105538 6:-3.4568348 7:7.629763 8:-1.6029714 9:2.0281684 10:-1.788161 11:5.482661 12:-2.155996 13:1.7736397 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:241.63297 2:1.0372926 3:9.809118 4:-1.830324 5:1.8823601 6:-2.3148565 7:4.5132723 8:-2.3506277 9:1.9475107 10:-1.3187826 11:5.2458334 12:-0.585781 13:0.7787202 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:237.86105 2:2.8772662 3:12.607452 4:-0.40501755 5:2.149015 6:-1.8521729 7:5.2943883 8:-0.8745152 9:3.366714 10:-2.5762768 11:4.3184156 12:0.18798664 13:2.3171144 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:237.38033 2:2.8092742 3:12.132902 4:0.022756169 5:3.4746006 6:-1.0183899 7:4.481544 8:-0.6522931 9:2.2197514 10:-2.5856423 11:5.70028 12:-1.038954 13:0.68243486 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:237.32054 2:1.9568295 3:12.367632 4:-0.05838366 5:3.1722968 6:-2.0279498 7:2.691559 8:-3.0556118 9:0.9696404 10:-3.21324 11:3.6568923 12:-0.6945157 13:-0.33189565 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:233.82812 2:2.3774714 3:14.196363 4:0.54381377 5:1.9194807 6:0.13997942 7:2.9955368 8:-1.8297406 9:1.6566672 10:-3.5269167 11:5.381141 12:-0.64853114 13:2.6006567 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:232.95149 2:3.4323192 3:13.173531 4:-1.5218259 5:2.0183482 6:-2.1127503 7:2.3334587 8:-1.4183087 9:2.1684587 10:-1.1940478 11:6.6267595 12:-0.70398396 13:1.9382731 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:232.82895 2:4.0637727 3:10.442857 4:-0.15086816 5:2.2860603 6:-1.4589331 7:3.1050763 8:-2.0215533 9:1.7806408 10:-1.9481419 11:4.0561867 12:-2.2515075 13:2.2215688 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:233.90126 2:4.3217044 3:11.666209 4:-1.1549674 5:0.6287156 6:-1.2056761 7:5.106506 8:0.7546495 9:3.9611394 10:-1.5634582 11:5.746763 12:-3.0890603 13:1.5899692 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:251.06868 2:1.3836304 3:7.1062617 4:2.382094 5:2.1610916 6:-2.6531007 7:2.9861484 8:1.9124856 9:8.242021 10:-6.016204 11:3.5405648 12:-2.1126838 13:1.260105 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:259.90143 2:1.628976 3:7.704036 4:2.462665 5:1.9591695 6:-2.9961908 7:2.175886 8:1.0643297 9:7.5212226 10:-6.9700975 11:3.2536721 12:-1.5485729 13:1.3462592 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:236.65022 2:1.5805005 3:12.786643 4:1.692489 5:2.2645054 6:-0.2241947 7:1.3396497 8:-1.616942 9:5.1251035 10:-3.8002853 11:5.360098 12:-1.1585668 13:3.1049764 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:234.48492 2:2.275197 3:13.220811 4:1.9242351 5:1.127689 6:0.080065206 7:2.5260322 8:-1.0823324 9:4.324128 10:-6.797141 11:4.827703 12:-2.2079356 13:1.8174945 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:235.17093 2:1.0864348 3:11.165028 4:2.9989154 5:1.4207295 6:-3.2126563 7:2.3612654 8:-2.0093298 9:5.978548 10:-3.6415606 11:4.3136086 12:-3.2686648 13:3.0800948 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:235.06161 2:-2.6335654 3:10.822549 4:4.0458336 5:0.5841569 6:-1.7606432 7:2.5883317 8:-1.5952842 9:4.947669 10:-5.945045 11:4.977749 12:-2.7787573 13:3.49632 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:235.76268 2:-1.1229796 3:10.947296 4:5.334059 5:3.4098988 6:0.033298984 7:3.482528 8:0.23252235 9:3.8638968 10:-5.874283 11:6.153241 12:-2.697544 13:3.7561948 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:233.73103 2:-1.7098066 3:9.448646 4:4.9553347 5:5.2850585 6:0.8205101 7:3.1093664 8:-0.039232068 9:4.7523575 10:-5.5697923 11:6.284226 12:-2.529109 13:2.3682008 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:235.72954 2:1.0659419 3:9.138111 4:3.0318556 5:2.4640932 6:-1.3414793 7:1.59658 8:-0.17946926 9:5.0709596 10:-4.908419 11:4.282289 12:-2.732219 13:3.927087 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:239.18205 2:3.7562978 3:10.99303 4:4.4860744 5:3.5359654 6:-1.3336409 7:2.2303436 8:-1.5003906 9:4.717199 10:-3.6611347 11:5.1979656 12:-2.3023727 13:4.1392426 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:235.62549 2:5.0663238 3:10.731336 4:7.01967 5:8.296654 6:-0.90234196 7:1.4697899 8:-1.2472663 9:5.052735 10:-5.204276 11:5.891759 12:-4.853111 13:3.2461472 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
1 1:236.17438 2:5.4764905 3:10.1519985 4:6.3914194 5:6.6714296 6:-1.0990641 7:4.945634 8:-1.6225262 9:4.5228724 10:-5.0811725 11:4.4402194 12:-4.831962 13:2.8515494 14:89.56904 15:7.6381383 16:7.3781004 17:0.39048898 18:1.8734773 19:-2.5163474 20:0.027229832 21:-1.1972309 22:1.7824285 23:-1.8077494 24:1.6529943 25:-1.5631461 26:1.098466 
