1 1:130.54776 2:-4.5700164 3:-0.3463153 4:-3.780579 5:-1.0370668 6:0.5156301 7:1.7743639 8:-3.9305246 9:3.5950215 10:-2.1858523 11:2.3694625 12:-1.884625 13:2.806848 14:130.54776 15:-4.5700164 16:-0.3463153 17:-3.780579 18:-1.0370668 19:0.5156301 20:1.7743639 21:-3.9305246 22:3.5950215 23:-2.1858523 24:2.3694625 25:-1.884625 26:2.806848 
1 1:246.39978 2:-1.9031949 3:-2.3461397 4:-4.4910736 5:3.4755614 6:-4.857289 7:2.533353 8:-2.2798405 9:1.4201348 10:-0.84479886 11:4.8475776 12:-3.1026442 13:1.4611921 14:246.39978 15:-1.9031949 16:-2.3461397 17:-4.4910736 18:3.4755614 19:-4.857289 20:2.533353 21:-2.2798405 22:1.4201348 23:-0.84479886 24:4.8475776 25:-3.1026442 26:1.4611921 
1 1:239.49599 2:2.5957587 3:8.292187 4:1.7621657 5:4.664616 6:-0.731706 7:2.9945614 8:-2.2552512 9:2.2998693 10:-1.8038421 11:4.731536 12:-3.8432946 13:1.6547235 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:234.35052 2:2.8649783 3:13.763396 4:2.949304 5:0.48652694 6:-0.45621884 7:4.18973 8:-1.2483099 9:2.4729822 10:-3.0577888 11:4.2768087 12:-2.1642222 13:3.8826218 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:231.87605 2:2.4660509 3:11.758185 4:4.0063725 5:4.0636973 6:-3.2200968 7:3.2374706 8:-1.2509319 9:1.7172296 10:-2.3914406 11:6.8544555 12:-0.4956168 13:2.6154492 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:233.91129 2:2.179957 3:9.6442585 4:1.4451046 5:2.7046843 6:-2.3800776 7:2.423378 8:-0.031511545 9:3.3569362 10:-1.8612508 11:7.5105333 12:-1.023874 13:1.1515611 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:229.97124 2:0.68510383 3:6.859458 4:0.61177236 5:2.2215927 6:-1.0728843 7:3.1621125 8:-0.7065493 9:3.9058793 10:-3.4328313 11:3.5509722 12:-1.8997684 13:2.2360106 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:230.19955 2:2.2631507 3:8.792884 4:3.1054716 5:3.624575 6:-2.2230752 7:3.9651408 8:-1.2240309 9:3.520011 10:-2.368672 11:3.2782376 12:-1.3251451 13:2.0161002 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:234.43913 2:4.4776893 3:11.428503 4:1.2581508 5:2.5901897 6:-3.826584 7:2.869337 8:-2.3742895 9:3.613118 10:-0.24040654 11:3.9123626 12:-4.0487204 13:2.4996119 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:234.81436 2:4.162624 3:11.911038 4:2.4965277 5:4.2549253 6:-3.442184 7:1.8832532 8:-3.0491838 9:3.2241116 10:-0.7521505 11:4.2811236 12:-2.7518911 13:2.828135 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:232.57948 2:2.079814 3:9.389939 4:4.025634 5:5.1326756 6:-2.75338 7:2.442568 8:-2.4094331 9:1.7410474 10:-0.797287 11:7.0926256 12:-0.7946393 13:3.699616 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
