1 1:166.36566 2:0.09007492 3:5.9113464 4:-2.3922195 5:-1.1352729 6:-1.6635823 7:0.78432226 8:-0.76997834 9:1.8628798 10:-5.8550596 11:3.4396164 12:-5.4197655 13:1.5124549 14:166.36566 15:0.09007492 16:5.9113464 17:-2.3922195 18:-1.1352729 19:-1.6635823 20:0.78432226 21:-0.76997834 22:1.8628798 23:-5.8550596 24:3.4396164 25:-5.4197655 26:1.5124549 
1 1:236.67197 2:0.57732 3:12.565773 4:3.1516788 5:-0.83415174 6:1.383505 7:1.8510013 8:-2.4673123 9:3.1942735 10:-5.0842957 11:5.0675235 12:-1.7100824 13:2.9912834 14:236.67197 15:0.57732 16:12.565773 17:3.1516788 18:-0.83415174 19:1.383505 20:1.8510013 21:-2.4673123 22:3.1942735 23:-5.0842957 24:5.0675235 25:-1.7100824 26:2.9912834 
1 1:237.35242 2:2.020421 3:6.458702 4:3.376397 5:1.8912857 6:-0.71021 7:0.14817464 8:-3.0661476 9:2.9978356 10:-3.0630288 11:5.697561 12:-2.9681315 13:3.234633 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:235.34991 2:2.1832023 3:6.460904 4:3.39039 5:1.7268431 6:-0.35868672 7:0.6100801 8:-2.6201198 9:3.7267559 10:-1.2701331 11:5.7619963 12:-4.5529823 13:3.2727082 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:235.94829 2:1.5319288 3:7.1342177 4:2.2039814 5:1.0835887 6:-2.3595886 7:0.2341877 8:-1.62164 9:4.0103364 10:-2.194257 11:7.398922 12:-6.0519204 13:2.31437 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:236.28394 2:3.7916734 3:9.264021 4:2.8462377 5:0.8093955 6:-0.8688897 7:0.077030085 8:-2.9417555 9:5.0314236 10:-2.4820254 11:8.16369 12:-4.781083 13:1.853967 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:236.4495 2:6.64795 3:8.53899 4:0.07751125 5:0.6854856 6:-1.5581352 7:1.732155 8:-2.7782884 9:5.5965643 10:-2.729294 11:5.693522 12:-5.306492 13:1.8587029 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:232.44687 2:4.9480934 3:8.7289295 4:1.9346645 5:3.2293158 6:0.18494248 7:1.4936488 8:-3.397448 9:4.0534844 10:-3.8925512 11:5.51713 12:-4.87279 13:3.3900478 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:231.04002 2:3.0244489 3:7.3729167 4:-1.9651281 5:-2.6553538 6:-2.2815418 7:1.0836498 8:-1.4764092 9:5.4553847 10:-2.679968 11:8.133905 12:-4.986028 13:1.2346896 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:233.7561 2:3.6158273 3:9.265533 4:0.5035164 5:0.33159658 6:-1.1945041 7:0.90810275 8:-1.7477083 9:4.7821074 10:-2.2669513 11:6.546976 12:-6.1916466 13:1.1412836 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:232.12476 2:6.7073855 3:12.833059 4:3.1463044 5:3.4549804 6:-0.80142856 7:1.4966443 8:-1.1499836 9:5.473699 10:-3.3299272 11:5.7159505 12:-4.9763722 13:2.4747806 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
