1 1:180.48387 2:5.5604415 3:12.349328 4:4.9245243 5:1.6056194 6:-0.70996875 7:0.13522828 8:-2.942649 9:2.336538 10:-4.240928 11:6.212124 12:-5.6727624 13:4.0292406 14:180.48387 15:5.5604415 16:12.349328 17:4.9245243 18:1.6056194 19:-0.70996875 20:0.13522828 21:-2.942649 22:2.336538 23:-4.240928 24:6.212124 25:-5.6727624 26:4.0292406 
1 1:221.61693 2:4.2661233 3:9.484945 4:-0.44036874 5:1.0067 6:0.018642457 7:3.2769532 8:2.6583955 9:6.2300057 10:-2.802585 11:5.340918 12:-4.3964996 13:4.4118023 14:221.61693 15:4.2661233 16:9.484945 17:-0.44036874 18:1.0067 19:0.018642457 20:3.2769532 21:2.6583955 22:6.2300057 23:-2.802585 24:5.340918 25:-4.3964996 26:4.4118023 
1 1:226.0163 2:6.111987 3:11.703712 4:-0.5627779 5:-0.92728287 6:-0.7200653 7:4.411311 8:0.79510665 9:5.617417 10:-2.5545976 11:4.924761 12:-2.1612964 13:4.8618374 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:223.62405 2:7.5168357 3:12.225829 4:0.8166346 5:2.466396 6:-0.5191572 7:3.2197976 8:-0.47774115 9:5.6497526 10:-2.3435612 11:5.535771 12:-2.5878735 13:4.5357075 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:222.75902 2:4.8411493 3:9.152066 4:-1.3486279 5:2.6495638 6:-1.238539 7:2.6480803 8:-0.5668739 9:5.1878686 10:-1.7254304 11:6.6855087 12:-2.349784 13:5.230027 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:223.94936 2:4.863863 3:10.366038 4:-0.95542073 5:2.7036476 6:-1.2594279 7:2.0841916 8:-0.619487 9:4.814974 10:-2.8913348 11:5.1753793 12:-1.7755917 13:5.8201857 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:224.11475 2:7.5971193 3:11.801235 4:0.313579 5:1.25674 6:-0.90063435 7:3.02794 8:0.6271549 9:5.8398795 10:-2.858776 11:7.483998 12:-3.2438805 13:3.9049509 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:223.12384 2:6.607623 3:11.836794 4:0.32601857 5:3.3191278 6:1.7203374 7:3.8891687 8:-0.037373878 9:5.1664076 10:-4.868964 11:6.9353347 12:-3.2360034 13:4.1645174 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:222.65654 2:5.989925 3:9.809798 4:-1.932947 5:1.843089 6:-2.7569447 7:2.2582743 8:-0.40794826 9:4.928491 10:-3.6554203 11:5.4390373 12:-4.966875 13:1.7084925 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:217.73726 2:5.9380813 3:11.037106 4:-2.365534 5:-0.50504416 6:-2.9578564 7:3.5658715 8:-0.94253975 9:4.1451235 10:-2.7277844 11:5.648963 12:-3.746705 13:1.5846232 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:218.75314 2:5.8495417 3:13.365181 4:1.4233913 5:2.0196009 6:-3.2551022 7:2.0557847 8:-1.3593727 9:4.5538254 10:-2.2706184 11:6.7963166 12:-1.7100353 13:3.8333204 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:223.39058 2:3.3765645 3:15.927618 4:0.09493409 5:2.999477 6:-2.5795352 7:1.8203678 8:-0.19039543 9:2.0742404 10:-2.5488408 11:4.6097994 12:-1.8894297 13:3.9016914 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:223.68454 2:7.6229053 3:13.169463 4:-0.64278674 5:3.3137937 6:-1.6590241 7:1.3496025 8:-1.1370099 9:4.8481326 10:-2.9070168 11:4.409641 12:-4.1212273 13:1.6820834 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:225.231 2:8.442127 3:11.417326 4:-0.85503167 5:5.505772 6:-0.97946763 7:3.236631 8:-0.7354383 9:3.3696744 10:-4.730897 11:4.513247 12:-3.6558385 13:2.5641735 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:222.27762 2:5.5242405 3:11.057493 4:-0.75275517 5:4.2825603 6:2.390642 7:4.161164 8:-1.4024053 9:4.137275 10:-2.844223 11:4.5396786 12:-3.3171616 13:4.498971 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:223.71872 2:5.4985185 3:13.482829 4:-1.6452719 5:1.8193856 6:-0.16838393 7:3.1060174 8:-1.9785695 9:3.046029 10:-1.5087795 11:5.0046587 12:-2.5295978 13:2.7957754 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:226.5986 2:4.584345 3:14.069995 4:0.35118717 5:1.9716539 6:0.29081163 7:2.837227 8:-0.55660325 9:3.1532402 10:-2.67955 11:4.3363113 12:-2.3811471 13:3.7364264 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:227.61359 2:6.0052257 3:13.679406 4:1.0046285 5:3.0431006 6:1.0026759 7:1.6655539 8:0.32585955 9:3.5204978 10:-3.2528284 11:4.3329835 12:-3.4614851 13:3.927124 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:226.24298 2:2.1569912 3:9.921701 4:-2.1878242 5:-1.2500999 6:-2.415206 7:6.496231 8:3.4609573 9:2.4217594 10:-2.5031981 11:6.351229 12:-2.2744646 13:2.9661314 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:223.76588 2:4.0188956 3:10.186622 4:-0.46781778 5:-0.61295366 6:-3.5421457 7:3.3797565 8:2.3321688 9:2.7531023 10:-5.247811 11:4.1695404 12:-2.9244196 13:3.8093996 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
