1 1:191.2252 2:7.4690256 3:4.131185 4:-3.0437622 5:0.67732495 6:-4.500426 7:2.7005446 8:-2.6304154 9:4.504761 10:-4.1236396 11:3.8875065 12:-2.722816 13:1.6793966 14:191.2252 15:7.4690256 16:4.131185 17:-3.0437622 18:0.67732495 19:-4.500426 20:2.7005446 21:-2.6304154 22:4.504761 23:-4.1236396 24:3.8875065 25:-2.722816 26:1.6793966 
1 1:228.21906 2:7.2388873 3:11.67367 4:-0.8357125 5:1.5071663 6:0.15345237 7:2.4778621 8:-2.9559531 9:4.6438055 10:-3.5857298 11:6.14912 12:-2.1508336 13:3.206471 14:228.21906 15:7.2388873 16:11.67367 17:-0.8357125 18:1.5071663 19:0.15345237 20:2.4778621 21:-2.9559531 22:4.6438055 23:-3.5857298 24:6.14912 25:-2.1508336 26:3.206471 
1 1:221.821 2:6.9791274 3:14.06848 4:2.1092458 5:0.8362783 6:-1.9825835 7:3.0778494 8:-0.9691753 9:5.587125 10:-4.108157 11:3.4097104 12:-3.9924362 13:2.9904253 14:85.21829 15:5.0185266 16:4.9094434 17:-0.57658195 18:1.6275223 19:-0.10298513 20:1.9620916 21:-1.5730855 22:1.3535297 23:-2.1450908 24:0.8069524 25:-1.209017 26:0.8274912 
1 1:218.87909 2:6.558723 3:13.758901 4:1.5654881 5:0.121451415 6:-1.3231077 7:0.49145463 8:-2.9215524 9:4.649577 10:-4.5186243 11:4.91809 12:-3.5304585 13:3.2149663 14:85.21829 15:5.0185266 16:4.9094434 17:-0.57658195 18:1.6275223 19:-0.10298513 20:1.9620916 21:-1.5730855 22:1.3535297 23:-2.1450908 24:0.8069524 25:-1.209017 26:0.8274912 
1 1:224.88707 2:6.1828957 3:12.567559 4:0.70343673 5:0.25419518 6:-0.07272838 7:2.0484238 8:-2.5327344 9:5.6539474 10:-2.482161 11:6.443213 12:-2.0696769 13:4.991339 14:85.21829 15:5.0185266 16:4.9094434 17:-0.57658195 18:1.6275223 19:-0.10298513 20:1.9620916 21:-1.5730855 22:1.3535297 23:-2.1450908 24:0.8069524 25:-1.209017 26:0.8274912 
1 1:222.06749 2:7.8131976 3:13.377258 4:0.29800206 5:0.14964412 6:-1.3549491 7:-0.16292125 8:-2.6935415 9:3.8691905 10:-3.1646333 11:8.171814 12:-1.3219587 13:6.531235 14:85.21829 15:5.0185266 16:4.9094434 17:-0.57658195 18:1.6275223 19:-0.10298513 20:1.9620916 21:-1.5730855 22:1.3535297 23:-2.1450908 24:0.8069524 25:-1.209017 26:0.8274912 
1 1:228.86513 2:7.1571674 3:11.4665785 4:-2.8905332 5:2.1842859 6:0.95500165 7:1.0767597 8:-0.1655514 9:6.888842 10:-4.8739963 11:5.5088463 12:-4.031188 13:2.4427044 14:85.21829 15:5.0185266 16:4.9094434 17:-0.57658195 18:1.6275223 19:-0.10298513 20:1.9620916 21:-1.5730855 22:1.3535297 23:-2.1450908 24:0.8069524 25:-1.209017 26:0.8274912 
1 1:230.14333 2:5.798807 3:11.0580635 4:-0.38168365 5:2.236143 6:0.035329793 7:0.6066033 8:-2.0069466 9:5.3221827 10:-3.2771811 11:5.745507 12:-3.768403 13:3.6281354 14:85.21829 15:5.0185266 16:4.9094434 17:-0.57658195 18:1.6275223 19:-0.10298513 20:1.9620916 21:-1.5730855 22:1.3535297 23:-2.1450908 24:0.8069524 25:-1.209017 26:0.8274912 
1 1:249.03053 2:19.385347 3:17.313238 4:0.16876422 5:1.7619815 6:-4.062416 7:2.9549248 8:-2.8604007 9:4.829164 10:-5.4438415 11:5.408435 12:-4.181242 13:5.091777 14:85.21829 15:5.0185266 16:4.9094434 17:-0.57658195 18:1.6275223 19:-0.10298513 20:1.9620916 21:-1.5730855 22:1.3535297 23:-2.1450908 24:0.8069524 25:-1.209017 26:0.8274912 
1 1:245.48576 2:15.0755825 3:13.404309 4:0.8796622 5:5.331612 6:-0.30568925 7:4.271633 8:-2.9962695 9:5.922391 10:-3.4458418 11:7.083711 12:-3.320067 13:4.2108464 14:85.21829 15:5.0185266 16:4.9094434 17:-0.57658195 18:1.6275223 19:-0.10298513 20:1.9620916 21:-1.5730855 22:1.3535297 23:-2.1450908 24:0.8069524 25:-1.209017 26:0.8274912 
1 1:246.19249 2:8.469452 3:10.172481 4:0.023200205 5:6.496082 6:-0.112361655 7:4.2192135 8:-4.3914933 9:3.5570724 10:-2.756599 11:6.1931276 12:-4.011759 13:2.362981 14:85.21829 15:5.0185266 16:4.9094434 17:-0.57658195 18:1.6275223 19:-0.10298513 20:1.9620916 21:-1.5730855 22:1.3535297 23:-2.1450908 24:0.8069524 25:-1.209017 26:0.8274912 
1 1:256.71695 2:6.606397 3:5.5726094 4:-3.8012536 5:6.9015303 6:-2.161967 7:3.2986903 8:-4.106272 9:2.24917 10:-2.335587 11:4.78538 12:-2.2905748 13:2.9474764 14:85.21829 15:5.0185266 16:4.9094434 17:-0.57658195 18:1.6275223 19:-0.10298513 20:1.9620916 21:-1.5730855 22:1.3535297 23:-2.1450908 24:0.8069524 25:-1.209017 26:0.8274912 
1 1:281.76926 2:13.965068 3:-3.017407 4:-6.351431 5:5.898051 6:-2.9160535 7:6.3451433 8:-6.640075 9:4.425547 10:-3.5752738 11:4.057481 12:-3.3851726 13:2.5335045 14:85.21829 15:5.0185266 16:4.9094434 17:-0.57658195 18:1.6275223 19:-0.10298513 20:1.9620916 21:-1.5730855 22:1.3535297 23:-2.1450908 24:0.8069524 25:-1.209017 26:0.8274912 
