1 1:122.992485 2:1.7403796 3:-0.2890991 4:-5.880972 5:-3.8990378 6:-2.0812607 7:3.1546278 8:-4.2737303 9:3.4768445 10:-2.651568 11:1.9646554 12:-2.4961216 13:4.2526474 14:122.992485 15:1.7403796 16:-0.2890991 17:-5.880972 18:-3.8990378 19:-2.0812607 20:3.1546278 21:-4.2737303 22:3.4768445 23:-2.651568 24:1.9646554 25:-2.4961216 26:4.2526474 
1 1:223.03261 2:6.0527864 3:13.020225 4:0.1593302 5:4.4554195 6:0.9152691 7:5.437275 8:1.6294353 9:7.426514 10:-1.2977818 11:4.485087 12:-4.9516163 13:3.8106802 14:223.03261 15:6.0527864 16:13.020225 17:0.1593302 18:4.4554195 19:0.9152691 20:5.437275 21:1.6294353 22:7.426514 23:-1.2977818 24:4.485087 25:-4.9516163 26:3.8106802 
1 1:225.006 2:8.354755 3:12.173671 4:-0.18134154 5:2.338033 6:-1.3168632 7:1.9643142 8:-0.5728649 9:4.6287026 10:-4.0494742 11:3.8648279 12:-3.9234486 13:3.688543 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:224.30188 2:9.224011 3:11.767097 4:-1.4859892 5:2.8870745 6:-0.9461066 7:0.38680667 8:-1.4329611 9:4.185341 10:-5.972133 11:6.083764 12:-3.454056 13:4.349388 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:223.97029 2:6.7821655 3:13.297875 4:-0.0053892406 5:-1.0110879 6:-3.1332207 7:1.4419779 8:0.3044726 9:5.819075 10:-3.8322551 11:5.9775686 12:-3.9518585 13:3.928976 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:223.79033 2:9.324163 3:14.991303 4:-0.24048515 5:0.03462306 6:-3.3509023 7:2.44389 8:-1.5464276 9:3.566338 10:-2.6592085 11:6.4755054 12:-4.2314153 13:4.1170564 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:221.28578 2:6.9454026 3:12.61224 4:0.5290779 5:5.3943543 6:1.4268379 7:2.5632806 8:-3.3210223 9:1.5763783 10:-1.4049618 11:6.688586 12:-4.4206285 13:3.1020617 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:222.8031 2:7.540283 3:11.480205 4:-0.67020327 5:3.7156346 6:-0.23214065 7:4.3547792 8:-0.42085326 9:1.2119126 10:-1.7481836 11:7.1321464 12:-4.829258 13:3.358759 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:222.21263 2:8.170575 3:11.892796 4:0.692967 5:5.289518 6:-1.5759419 7:2.8954332 8:-0.6219257 9:5.0757794 10:-1.1710463 11:7.4843287 12:-2.7588758 13:3.4315798 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:222.91261 2:9.381453 3:12.412788 4:0.014869118 5:4.651313 6:-1.1474687 7:3.2402434 8:-2.8200557 9:3.509757 10:-1.9429736 11:7.0146422 12:-1.941566 13:3.418162 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:220.35367 2:6.092484 3:10.719264 4:0.19325899 5:2.6316879 6:-2.9543555 7:3.1284854 8:-2.182536 9:5.657024 10:0.24536082 11:6.707236 12:-2.223463 13:3.8633516 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
