1 1:179.69147 2:1.8228168 3:7.5393476 4:0.22524172 5:-1.9849365 6:-0.97535324 7:4.235615 8:0.07029101 9:5.8794966 10:-1.8865868 11:9.306021 12:-4.1118207 13:3.7581909 14:179.69147 15:1.8228168 16:7.5393476 17:0.22524172 18:-1.9849365 19:-0.97535324 20:4.235615 21:0.07029101 22:5.8794966 23:-1.8865868 24:9.306021 25:-4.1118207 26:3.7581909 
1 1:223.82935 2:6.094986 3:13.543671 4:2.582593 5:3.7015553 6:-0.69670826 7:4.863194 8:-0.018114341 9:3.858731 10:-2.8442438 11:5.126295 12:-3.044273 13:2.4967616 14:223.82935 15:6.094986 16:13.543671 17:2.582593 18:3.7015553 19:-0.69670826 20:4.863194 21:-0.018114341 22:3.858731 23:-2.8442438 24:5.126295 25:-3.044273 26:2.4967616 
1 1:226.908 2:8.975815 3:13.295209 4:-0.40236256 5:0.44988924 6:-5.3364463 7:1.817847 8:-2.0989604 9:5.024563 10:-2.2850525 11:6.2439547 12:-3.1737914 13:1.9389064 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:228.1227 2:8.576693 3:13.997009 4:0.738403 5:1.1816068 6:-3.7424378 7:2.6213942 8:-1.1894921 9:6.2981324 10:-3.0986998 11:5.8517356 12:-3.2452297 13:2.051488 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:229.3826 2:7.2740507 3:10.642283 4:0.9243519 5:4.817625 6:-1.0840741 7:2.0260894 8:-1.630639 9:4.227288 10:-3.0718305 11:6.080659 12:-4.1356955 13:3.942345 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:228.25026 2:6.605332 3:9.804383 4:0.48344368 5:5.084364 6:-2.1058207 7:2.539961 8:-2.3310056 9:4.022546 10:-2.1826792 11:5.7669735 12:-4.050306 13:3.4191873 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:228.49136 2:7.8481174 3:12.621694 4:-0.83121437 5:4.765543 6:0.5079176 7:1.9538099 8:-1.146885 9:4.5123506 10:-2.2394686 11:8.309608 12:-2.715992 13:3.523652 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:231.31337 2:9.219418 3:13.452784 4:-2.971717 5:2.046137 6:0.25690982 7:2.9807115 8:-0.058163926 9:5.4947357 10:-2.6459575 11:9.27559 12:-2.589693 13:2.423246 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:227.25342 2:7.022129 3:13.13026 4:-0.93198067 5:0.93211025 6:-0.14254737 7:3.5497658 8:-1.1735139 9:2.4954422 10:-4.6481037 11:7.0022464 12:0.45124146 13:4.13915 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:225.84663 2:6.710216 3:13.437418 4:-1.4766284 5:1.2897036 6:0.9299591 7:3.7758813 8:0.54150444 9:5.625404 10:-2.7319894 11:5.1332545 12:-0.41414773 13:4.2954407 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
1 1:225.39545 2:5.147917 3:13.316991 4:-0.55247396 5:0.33766595 6:-3.3333771 7:2.9352403 8:0.71051353 9:5.91609 10:-1.525028 11:5.117198 12:-1.8174143 13:2.3533154 14:68.592316 15:2.2795968 16:4.5349054 17:-0.23546924 18:0.8226693 19:-0.11398259 20:1.0615612 21:-0.23179899 22:1.4185145 23:-0.9024785 24:1.6851296 25:-0.95270705 26:1.0872093 
