1 1:178.86542 2:7.0447016 3:11.339097 4:-0.29415166 5:3.9529011 6:-1.595682 7:0.8945281 8:0.42515376 9:4.60238 10:-7.0517383 11:5.7676663 12:-3.3660107 13:1.9676477 14:178.86542 15:7.0447016 16:11.339097 17:-0.29415166 18:3.9529011 19:-1.595682 20:0.8945281 21:0.42515376 22:4.60238 23:-7.0517383 24:5.7676663 25:-3.3660107 26:1.9676477 
1 1:224.41911 2:6.6996646 3:12.367198 4:-3.0072415 5:2.8701706 6:1.2002726 7:0.70598227 8:-2.9633071 9:2.8838496 10:-2.638602 11:6.600578 12:-1.8677145 13:4.098747 14:224.41911 15:6.6996646 16:12.367198 17:-3.0072415 18:2.8701706 19:1.2002726 20:0.70598227 21:-2.9633071 22:2.8838496 23:-2.638602 24:6.600578 25:-1.8677145 26:4.098747 
1 1:225.44057 2:5.284097 3:17.733469 4:-1.0765989 5:3.6463325 6:0.14169228 7:2.9287217 8:-1.1387616 9:0.55461866 10:-3.482712 11:4.420458 12:-2.4510403 13:1.5340204 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:226.24103 2:4.475463 3:15.476382 4:-0.7132562 5:3.754188 6:-2.5265515 7:2.384422 8:0.23467791 9:1.0876441 10:-2.8234606 11:4.3826604 12:-1.5768372 13:1.4792784 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:225.1502 2:6.5269313 3:14.25284 4:0.3779149 5:6.0140524 6:-0.04307257 7:-0.009567801 8:-1.1478597 9:4.228293 10:-2.9918602 11:5.0891867 12:-1.3503504 13:2.9654367 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:225.75876 2:4.753253 3:14.228456 4:-2.2750823 5:6.0711794 6:-0.21078175 7:3.678849 8:1.6576318 9:4.705335 10:-0.3722901 11:3.0400927 12:-3.1844347 13:3.058522 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:225.47261 2:3.3207684 3:15.397375 4:-1.6323366 5:7.2924643 6:-1.043723 7:3.842707 8:2.504628 9:3.7646747 10:-1.5155169 11:2.665717 12:-2.987434 13:-1.1238438 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:226.15384 2:6.5720196 3:15.699292 4:-0.7826594 5:6.3617616 6:-1.9186752 7:2.2308075 8:-0.28565097 9:4.1224732 10:-0.3039397 11:2.41913 12:-2.5434813 13:0.8475554 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:227.76578 2:9.539651 3:11.635373 4:-3.8184829 5:2.416101 6:-2.8590531 7:1.2733433 8:1.12899 9:5.356104 10:-2.6665604 11:5.463489 12:-2.3610034 13:3.4309773 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:225.37526 2:6.6997776 3:12.118277 4:-2.5740702 5:2.2868612 6:-2.3250089 7:2.649334 8:1.5477246 9:5.3718233 10:-1.2721112 11:6.9260488 12:-1.6121686 13:2.9072633 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:227.33911 2:9.267903 3:13.636566 4:-1.9701993 5:5.1129956 6:-1.3716494 7:2.5588398 8:-0.09574037 9:3.1240032 10:-2.452173 11:4.157704 12:-2.5314434 13:3.4549303 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:228.88458 2:9.648166 3:14.7820215 4:-2.005795 5:3.8347642 6:0.42110914 7:3.695855 8:-0.5999063 9:2.4345076 10:-2.9965432 11:3.34411 12:-3.3680215 13:3.2940898 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
1 1:229.0989 2:6.551533 3:17.905205 4:-0.9741915 5:6.472989 6:-0.66615677 7:2.3275337 8:-0.8987505 9:2.6879663 10:-0.31477347 11:0.9566217 12:-2.4729977 13:1.0841055 14:67.55205 15:2.0090392 16:4.230758 17:0.03341578 18:1.1065285 19:0.6009844 20:1.5183407 21:-0.27897394 22:1.436509 23:-1.2718018 24:1.7231828 25:-0.94869167 26:0.86555463 
