1 1:83.74604 2:-10.365538 3:0.3329867 4:-1.1385854 5:0.8688525 6:-1.3771793 7:1.3357829 8:-1.7150369 9:1.9525237 10:-1.8019841 11:2.5823274 12:-1.6157037 13:2.0865946 14:83.74604 15:-10.365538 16:0.3329867 17:-1.1385854 18:0.8688525 19:-1.3771793 20:1.3357829 21:-1.7150369 22:1.9525237 23:-1.8019841 24:2.5823274 25:-1.6157037 26:2.0865946 
1 1:229.15396 2:1.4196564 3:13.065742 4:-3.9332895 5:5.6406517 6:-3.4452736 7:1.6602434 8:0.8591879 9:-0.28956592 10:-5.832036 11:1.1852112 12:1.1835613 13:2.5471406 14:229.15396 15:1.4196564 16:13.065742 17:-3.9332895 18:5.6406517 19:-3.4452736 20:1.6602434 21:0.8591879 22:-0.28956592 23:-5.832036 24:1.1852112 25:1.1835613 26:2.5471406 
1 1:226.0609 2:2.0609384 3:12.570258 4:-0.18201171 5:2.292073 6:-1.6969913 7:1.6049386 8:-1.6418446 9:4.82408 10:-1.5766186 11:4.4712353 12:-0.0529403 13:2.4635403 14:87.44854 15:6.7505417 16:6.8110156 17:-0.27382717 18:0.449491 19:-2.1293502 20:1.0433224 21:-0.6784621 22:2.7127311 23:-1.4046998 24:0.9125567 25:-1.225619 26:0.8399367 
1 1:236.2578 2:-0.9426132 3:11.060275 4:3.670839 5:1.4561758 6:0.2635683 7:2.5757368 8:-2.1882849 9:8.831922 10:-2.6247938 11:3.8263917 12:0.738859 13:2.4512694 14:87.44854 15:6.7505417 16:6.8110156 17:-0.27382717 18:0.449491 19:-2.1293502 20:1.0433224 21:-0.6784621 22:2.7127311 23:-1.4046998 24:0.9125567 25:-1.225619 26:0.8399367 
1 1:232.50775 2:-2.6869047 3:13.034226 4:-2.0534446 5:3.4541678 6:1.7192203 7:3.745724 8:0.18387158 9:2.6128469 10:-3.25531 11:2.8017476 12:-0.085545406 13:0.81814253 14:87.44854 15:6.7505417 16:6.8110156 17:-0.27382717 18:0.449491 19:-2.1293502 20:1.0433224 21:-0.6784621 22:2.7127311 23:-1.4046998 24:0.9125567 25:-1.225619 26:0.8399367 
1 1:226.95944 2:3.1219926 3:12.423241 4:-2.6126568 5:3.5413628 6:1.9069719 7:3.2361357 8:-0.61451626 9:2.7440588 10:-3.7465272 11:4.8169756 12:-0.7083996 13:2.4017885 14:87.44854 15:6.7505417 16:6.8110156 17:-0.27382717 18:0.449491 19:-2.1293502 20:1.0433224 21:-0.6784621 22:2.7127311 23:-1.4046998 24:0.9125567 25:-1.225619 26:0.8399367 
1 1:224.15735 2:1.5902264 3:10.74757 4:0.038825847 5:6.530417 6:2.7118165 7:2.8310642 8:-0.9727381 9:3.3334553 10:-2.8036602 11:4.7803073 12:-0.8464453 13:1.7790635 14:87.44854 15:6.7505417 16:6.8110156 17:-0.27382717 18:0.449491 19:-2.1293502 20:1.0433224 21:-0.6784621 22:2.7127311 23:-1.4046998 24:0.9125567 25:-1.225619 26:0.8399367 
1 1:224.06097 2:2.577525 3:10.45195 4:-1.0495158 5:4.822536 6:1.4968671 7:2.3186893 8:-1.1106437 9:3.684626 10:-2.7913928 11:7.3352294 12:-0.4780563 13:2.4431028 14:87.44854 15:6.7505417 16:6.8110156 17:-0.27382717 18:0.449491 19:-2.1293502 20:1.0433224 21:-0.6784621 22:2.7127311 23:-1.4046998 24:0.9125567 25:-1.225619 26:0.8399367 
1 1:224.08127 2:4.6463213 3:12.998691 4:-2.856204 5:1.906298 6:-0.9836309 7:0.6212871 8:-0.78953457 9:4.051532 10:0.37913147 11:4.93944 12:-1.0286893 13:3.4888244 14:87.44854 15:6.7505417 16:6.8110156 17:-0.27382717 18:0.449491 19:-2.1293502 20:1.0433224 21:-0.6784621 22:2.7127311 23:-1.4046998 24:0.9125567 25:-1.225619 26:0.8399367 
1 1:223.2673 2:3.8291404 3:11.984907 4:-2.4039025 5:1.4077235 6:-0.6140805 7:2.1952786 8:0.8766235 9:4.324324 10:-2.151601 11:4.186294 12:-2.7308311 13:0.6968278 14:87.44854 15:6.7505417 16:6.8110156 17:-0.27382717 18:0.449491 19:-2.1293502 20:1.0433224 21:-0.6784621 22:2.7127311 23:-1.4046998 24:0.9125567 25:-1.225619 26:0.8399367 
1 1:224.78743 2:2.87445 3:10.461388 4:-1.8906144 5:3.9632761 6:0.7696516 7:1.4731798 8:-0.038407493 9:4.065976 10:-2.2943208 11:6.5252786 12:-1.2057675 13:3.2506375 14:87.44854 15:6.7505417 16:6.8110156 17:-0.27382717 18:0.449491 19:-2.1293502 20:1.0433224 21:-0.6784621 22:2.7127311 23:-1.4046998 24:0.9125567 25:-1.225619 26:0.8399367 
1 1:227.70955 2:5.2509375 3:10.878252 4:-1.7417808 5:5.3378806 6:1.9844959 7:2.8477821 8:-0.40413967 9:2.836974 10:-4.1567736 11:6.738348 12:-1.220618 13:3.5174901 14:87.44854 15:6.7505417 16:6.8110156 17:-0.27382717 18:0.449491 19:-2.1293502 20:1.0433224 21:-0.6784621 22:2.7127311 23:-1.4046998 24:0.9125567 25:-1.225619 26:0.8399367 
1 1:224.71498 2:1.787686 3:13.682146 4:1.2014544 5:3.9684534 6:0.62171286 7:3.4209406 8:-1.0031598 9:4.9612865 10:-3.2322745 11:5.3845077 12:-0.28687808 13:3.2040794 14:87.44854 15:6.7505417 16:6.8110156 17:-0.27382717 18:0.449491 19:-2.1293502 20:1.0433224 21:-0.6784621 22:2.7127311 23:-1.4046998 24:0.9125567 25:-1.225619 26:0.8399367 
