1 1:172.52881 2:-0.23634262 3:10.874199 4:0.21345432 5:0.83935314 6:-2.2793436 7:1.2235678 8:0.24155544 9:3.721199 10:-2.2312427 11:5.2849755 12:-0.5683896 13:2.4691076 14:172.52881 15:-0.23634262 16:10.874199 17:0.21345432 18:0.83935314 19:-2.2793436 20:1.2235678 21:0.24155544 22:3.721199 23:-2.2312427 24:5.2849755 25:-0.5683896 26:2.4691076 
1 1:225.0661 2:5.1782374 3:10.847288 4:0.02232294 5:0.7444768 6:-8.3886745E-4 7:2.2969084 8:-0.5484044 9:4.6856885 10:-3.5780199 11:6.8593245 12:-2.8161433 13:3.8804152 14:225.0661 15:5.1782374 16:10.847288 17:0.02232294 18:0.7444768 19:-8.3886745E-4 20:2.2969084 21:-0.5484044 22:4.6856885 23:-3.5780199 24:6.8593245 25:-2.8161433 26:3.8804152 
1 1:222.76382 2:6.9463577 3:13.936258 4:0.9223647 5:1.3067747 6:1.9729825 7:3.2789824 8:-0.4471113 9:5.354137 10:-2.3699405 11:8.170858 12:-3.8863118 13:3.957241 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:223.8033 2:7.559891 3:14.734853 4:-0.5535927 5:2.469598 6:1.2377712 7:3.268971 8:-0.81021047 9:3.074229 10:-4.2635417 11:6.933481 12:-4.495755 13:2.2647643 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:225.04295 2:8.590298 3:10.208393 4:-2.9370677 5:0.25260353 6:-0.13736635 7:4.713613 8:0.18668365 9:4.270415 10:-3.166352 11:6.649676 12:-3.8492982 13:4.494429 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:226.96954 2:9.435827 3:10.493913 4:-3.44724 5:0.80833995 6:-1.4862572 7:3.5602958 8:-1.6835266 9:3.560927 10:-2.4425323 11:6.350589 12:-2.8441384 13:4.2942057 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:227.41473 2:10.817581 3:12.087998 4:-3.0638046 5:4.2634687 6:0.24771427 7:2.209749 8:-2.3777406 9:4.5441985 10:-1.8403779 11:7.758252 12:-1.4479753 13:5.6671205 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:223.12172 2:8.433718 3:13.37116 4:-2.7155993 5:4.561094 6:0.27736157 7:4.673775 8:0.13085373 9:3.6153004 10:-3.3582377 11:5.9999394 12:-1.8835114 13:5.192844 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:221.45139 2:7.1131544 3:11.711736 4:0.45108557 5:3.2367003 6:-2.6393342 7:2.8220966 8:-0.06833632 9:3.5263329 10:-3.646746 11:6.5019875 12:-1.4978017 13:2.5610182 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:226.65562 2:7.9527555 3:11.495945 4:0.03368356 5:3.7078447 6:-1.1503956 7:1.5568119 8:-0.43175048 9:5.452776 10:-1.5061257 11:6.707559 12:-4.374192 13:2.4066927 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:226.80157 2:9.972084 3:11.513985 4:-1.5268669 5:2.4825869 6:-3.140283 7:1.4077469 8:-0.70404935 9:4.6151347 10:-2.3438265 11:6.3649783 12:-2.3801742 13:4.4249177 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:227.81456 2:6.920696 3:11.639959 4:-0.8501838 5:4.845257 6:-4.0950503 7:0.9437698 8:-0.7604225 9:2.6521385 10:-4.2592816 11:4.4448133 12:-3.1157744 13:3.312881 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:225.68967 2:7.1217637 3:12.260894 4:-0.5305383 5:4.8085084 6:1.3461947 7:2.6722896 8:-0.36958623 9:3.6926596 10:-4.772586 11:6.32945 12:-2.4545758 13:4.7393804 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:222.6361 2:5.307645 3:12.547179 4:-0.43594703 5:6.546293 6:1.7040232 7:2.7794719 8:-0.8623707 9:3.2750425 10:-4.0293865 11:5.1804714 12:-1.8122507 13:6.3396826 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:221.91942 2:6.3097115 3:10.824538 4:0.044572946 5:3.9001167 6:0.72012955 7:2.8798277 8:-3.6009326 9:3.1998131 10:-2.8214214 11:5.013818 12:-2.804429 13:3.3503127 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:221.57788 2:6.516032 3:12.335275 4:-0.15948014 5:5.5838485 6:-1.112017 7:1.523355 8:-3.3564856 9:2.912334 10:-2.086178 11:6.351423 12:-2.1397746 13:3.6314788 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:226.53418 2:8.138124 3:12.448566 4:0.84036815 5:4.5147724 6:-1.0944338 7:2.4363897 8:-1.0142555 9:4.3884993 10:-3.7609043 11:7.2453504 12:-1.4849753 13:3.111275 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:227.19263 2:7.588657 3:12.296416 4:2.3487353 5:3.5823927 6:-1.6625837 7:2.9269037 8:-0.26938525 9:5.289166 10:-4.0111566 11:5.808274 12:-3.2751935 13:4.93802 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:226.38635 2:5.9621 3:12.359219 4:0.9299247 5:3.1000662 6:-0.339283 7:2.665017 8:0.49536392 9:4.9958496 10:-4.4354377 11:7.695473 12:-2.6571155 13:3.9605396 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:227.126 2:6.6244955 3:13.01198 4:-0.57727516 5:2.454931 6:0.6263107 7:1.6773815 8:-0.5509209 9:4.0555296 10:-5.4834123 11:5.594879 12:-3.336831 13:2.9510934 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:228.93237 2:7.1820107 3:14.370776 4:-0.4997192 5:2.239677 6:0.50870585 7:3.3593707 8:-0.060673136 9:5.4499674 10:-4.7245293 11:4.58246 12:-3.8688853 13:4.211036 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:229.10852 2:5.5606613 3:14.18191 4:0.21700081 5:3.043928 6:-0.03802065 7:2.1711545 8:-0.17664978 9:5.4135814 10:-3.0138264 11:7.6791296 12:-4.079097 13:3.1314435 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:226.84767 2:2.947798 3:10.856404 4:-1.7819891 5:1.8394699 6:1.068152 7:1.7313647 8:2.8321223 9:4.614746 10:-3.0747032 11:7.2695045 12:-2.3379679 13:2.8214734 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:230.67087 2:3.2663636 3:11.333415 4:-1.4055418 5:3.1233323 6:0.70641035 7:0.82878137 8:0.38250458 9:5.8163753 10:-1.535046 11:6.488439 12:-3.5827687 13:3.224055 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:230.2217 2:4.528255 3:11.6823435 4:-1.0193467 5:1.0101966 6:0.6158111 7:2.6272163 8:-0.6268794 9:4.934983 10:-3.8792207 11:7.130173 12:-3.3939517 13:3.6278155 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:235.20856 2:1.3315004 3:11.039813 4:0.83537245 5:3.7677689 6:-1.7620935 7:-0.51431876 8:1.910058 9:5.2351327 10:-3.6684723 11:5.607105 12:-2.336468 13:3.4431665 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:226.90182 2:3.686368 3:11.489163 4:-1.8893925 5:2.71628 6:0.26282647 7:1.9122885 8:2.714494 9:5.633332 10:-3.0197089 11:5.130252 12:-2.051579 13:2.5692146 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:225.57079 2:6.535438 3:13.386139 4:-2.1536927 5:1.6701585 6:0.07031128 7:2.9804738 8:2.4058673 9:6.5610127 10:-2.4796 11:5.922553 12:-1.3493527 13:2.6749907 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:219.9152 2:3.7669964 3:13.513588 4:0.4616401 5:1.2407576 6:1.4721093 7:4.677349 8:1.6349351 9:4.278038 10:-4.015381 11:5.1414914 12:-3.6593666 13:3.5146253 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:221.22911 2:5.906382 3:12.638108 4:-0.071805425 5:2.9881732 6:1.1613282 7:3.6890738 8:-1.1772639 9:2.815619 10:-3.012393 11:5.078086 12:-3.2808545 13:2.8623774 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:224.96613 2:5.8078947 3:10.731956 4:-1.0399432 5:2.7219222 6:-0.92902666 7:1.4415902 8:-1.854696 9:1.4871563 10:-3.3830454 11:6.433548 12:-1.818515 13:4.767812 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:228.53787 2:5.9173417 3:9.191551 4:1.7583926 5:5.032654 6:-1.8702239 7:0.5840797 8:-0.9098207 9:2.835519 10:-3.1687603 11:8.164751 12:-1.1453681 13:4.6686544 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:223.90384 2:7.5369687 3:13.280021 4:0.53806597 5:2.7628744 6:-2.0938654 7:4.2267385 8:2.1367314 9:5.6105895 10:-1.2082622 11:7.7994466 12:-2.6044033 13:6.217663 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:223.28325 2:4.361463 3:11.42731 4:0.40624875 5:1.6039562 6:-0.9434356 7:4.482574 8:1.3167702 9:4.0813217 10:-3.199847 11:5.0670695 12:-2.9690604 13:4.1612234 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:222.72333 2:7.3960896 3:10.760055 4:-1.4369413 5:5.1302958 6:-2.6684892 7:3.2927444 8:2.0377636 9:6.530118 10:-2.332434 11:4.114753 12:-3.4579167 13:3.0450792 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:227.11217 2:8.46373 3:12.237898 4:-1.4985563 5:3.5719943 6:-2.956513 7:3.23838 8:1.0534029 9:4.965423 10:-2.4771144 11:3.581467 12:-4.1152644 13:3.1679444 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
