2 1:162.18948 2:-4.921032 3:6.603637 4:-5.2705636 5:-0.57300735 6:-2.013079 7:2.823269 8:0.5039743 9:3.927852 10:-1.9107783 11:2.7354758 12:-2.116835 13:-2.9120593 14:162.18948 15:-4.921032 16:6.603637 17:-5.2705636 18:-0.57300735 19:-2.013079 20:2.823269 21:0.5039743 22:3.927852 23:-1.9107783 24:2.7354758 25:-2.116835 26:-2.9120593 
2 1:263.23746 2:-1.0778221 3:9.218436 4:-2.3318317 5:2.7616243 6:-3.0233767 7:-0.23544404 8:-3.6033611 9:1.4016733 10:-2.1783106 11:2.2245023 12:-1.3162396 13:2.1494825 14:263.23746 15:-1.0778221 16:9.218436 17:-2.3318317 18:2.7616243 19:-3.0233767 20:-0.23544404 21:-3.6033611 22:1.4016733 23:-2.1783106 24:2.2245023 25:-1.3162396 26:2.1494825 
2 1:264.5038 2:-1.706857 3:10.642075 4:-1.1958655 5:2.6110523 6:-1.3386813 7:0.78459007 8:-3.7289886 9:0.92716116 10:-1.2333003 11:2.014002 12:-1.7529765 13:3.4577174 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:267.26172 2:-0.9495275 3:10.034219 4:-2.8197296 5:2.7189596 6:-0.72553587 7:1.945498 8:-1.912534 9:1.0935355 10:-1.4911437 11:2.1826775 12:-2.661315 13:2.5377984 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:263.0047 2:-2.3103197 3:11.692237 4:-1.0113945 5:4.3343134 6:-2.3108585 7:2.3831675 8:-1.4103657 9:0.50347376 10:-1.463573 11:2.2580972 12:-2.286478 13:1.8447855 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:266.22375 2:-1.6100773 3:9.520936 4:-1.8284861 5:1.7174019 6:-2.9555583 7:-0.17298865 8:-2.3488283 9:2.8351638 10:-1.9606105 11:1.9500134 12:-1.7601614 13:2.9068656 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:263.3858 2:-3.2920575 3:8.499806 4:-4.622362 5:0.47213542 6:-0.17421903 7:1.768318 8:-1.0142658 9:2.3003643 10:-1.1469878 11:2.2736392 12:-2.2778962 13:1.9588922 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:264.30756 2:-1.0792841 3:11.040226 4:-2.4641201 5:1.791658 6:-1.7775815 7:1.6505034 8:-2.1881166 9:1.4342004 10:-2.1832948 11:2.110488 12:-2.6098714 13:1.8614426 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:264.8599 2:-1.4027765 3:8.214035 4:-3.6951952 5:0.91338485 6:-2.3689578 7:3.139298 8:-2.4343646 9:1.3115455 10:-3.2320666 11:1.424862 12:-2.7834716 13:1.4018247 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:266.11966 2:-0.10872866 3:9.4378805 4:-3.1078095 5:2.996126 6:-2.0042317 7:2.0855637 8:-1.4831399 9:3.2484553 10:-2.2531195 11:1.9429011 12:-2.6485643 13:0.73432666 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
2 1:266.2124 2:0.42648154 3:8.560661 4:-3.6608644 5:2.472304 6:-2.4134243 7:1.8838918 8:-2.249767 9:1.1743361 10:-2.4863076 11:2.1718712 12:-1.2604569 13:2.6613073 14:91.00711 15:4.0185 16:3.650485 17:-1.7577331 18:1.6514348 19:1.0010577 20:2.4794 21:-0.69779366 22:2.3624635 23:-0.9527845 24:0.6259448 25:-0.878217 26:1.0492475 
