2 1:174.31786 2:-4.594942 3:2.7348413 4:-5.396187 5:0.06022483 6:-3.6615222 7:3.9728613 8:-2.2947872 9:3.1891592 10:0.0853587 11:0.60350955 12:-2.9451075 13:4.950765 14:174.31786 15:-4.594942 16:2.7348413 17:-5.396187 18:0.06022483 19:-3.6615222 20:3.9728613 21:-2.2947872 22:3.1891592 23:0.0853587 24:0.60350955 25:-2.9451075 26:4.950765 
2 1:268.50998 2:-1.3173397 3:7.21356 4:-3.0953157 5:2.1133988 6:-2.367579 7:1.3615884 8:-2.3010077 9:3.5761151 10:-1.7903867 11:3.0285015 12:-1.467653 13:2.0262766 14:268.50998 15:-1.3173397 16:7.21356 17:-3.0953157 18:2.1133988 19:-2.367579 20:1.3615884 21:-2.3010077 22:3.5761151 23:-1.7903867 24:3.0285015 25:-1.467653 26:2.0262766 
2 1:267.39508 2:-3.1247616 3:5.9709597 4:-4.0971417 5:1.0030713 6:-1.5262958 7:0.82728606 8:-2.439083 9:0.7954559 10:-2.1753566 11:2.1555135 12:-1.5767733 13:2.5996933 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:264.14334 2:-4.056736 3:7.34102 4:-2.8447008 5:0.90295404 6:-2.3007863 7:1.4308132 8:-1.8942462 9:1.9700526 10:-1.0392958 11:2.2488904 12:-1.7305726 13:2.301567 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:267.7465 2:-3.0118303 3:7.66405 4:-3.6642385 5:1.1398103 6:-3.573876 7:-1.996844 8:-2.69532 9:1.7327745 10:-0.67748624 11:2.0764556 12:-3.2209935 13:1.7675542 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:270.5287 2:0.08773895 3:8.608672 4:-2.4121537 5:3.5981367 6:-1.1419703 7:2.0536768 8:-2.9612832 9:1.8647724 10:-2.1531549 11:0.7931322 12:-2.651283 13:2.9053917 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:266.81296 2:-3.852791 3:6.613921 4:-2.9851382 5:1.9177141 6:-2.4642897 7:1.2212367 8:-1.4254241 9:2.2108006 10:0.3325994 11:2.0932093 12:-1.4249306 13:2.7154899 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:270.41113 2:0.6551296 3:6.86599 4:-3.2455747 5:2.3865967 6:-3.9789624 7:1.6768268 8:-3.016516 9:2.2164252 10:-3.3903103 11:0.27294663 12:-2.088248 13:2.457564 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:270.18842 2:-1.4513822 3:6.8714375 4:-2.4351377 5:2.3253288 6:-2.953256 7:1.0346701 8:-2.7653685 9:2.1363263 10:-2.4042149 11:1.3443016 12:-2.6938758 13:1.6898774 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:269.2484 2:-0.3908161 3:7.5688076 4:-2.5952785 5:1.4822702 6:-4.7903147 7:0.060965072 8:-3.3112347 9:0.9334254 10:-5.121109 11:0.41892612 12:-1.6562562 13:1.2504325 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:268.49118 2:-0.38140145 3:6.169177 4:-4.169773 5:1.1311607 6:-4.5665975 7:-0.11624579 8:-2.5914285 9:1.7879598 10:-4.101104 11:-0.40789476 12:-2.704839 13:2.4059577 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:265.3697 2:-2.8882823 3:6.3067336 4:-3.0563807 5:0.42773065 6:-3.4793458 7:1.0468701 8:-2.0999625 9:3.3269832 10:-1.0141422 11:1.7427571 12:-3.1897497 13:1.9477952 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:266.77338 2:-2.4522705 3:6.1205716 4:-1.3427434 5:2.2138674 6:-3.0255766 7:1.0624646 8:-2.2797961 9:3.8569207 10:-2.0415642 11:1.6354369 12:-3.010727 13:1.9122655 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:268.07523 2:-2.5235548 3:5.8499737 4:-2.4321322 5:1.8210948 6:-2.2202475 7:1.6365317 8:-1.3601006 9:4.1111155 10:-1.6018614 11:0.9631677 12:-3.342523 13:1.153506 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:271.27878 2:-1.3866493 3:6.419681 4:-1.6756107 5:2.517344 6:-3.0390923 7:2.256746 8:-1.6112053 9:3.4774988 10:-1.2828561 11:2.7801807 12:-2.2746654 13:1.7527846 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
