2 1:140.93523 2:-11.553469 3:6.948932 4:0.43004337 5:-0.85826474 6:-4.113207 7:3.2643018 8:-1.6769134 9:1.0719799 10:-2.2595 11:1.5857127 12:0.04639799 13:0.4600907 14:140.93523 15:-11.553469 16:6.948932 17:0.43004337 18:-0.85826474 19:-4.113207 20:3.2643018 21:-1.6769134 22:1.0719799 23:-2.2595 24:1.5857127 25:0.04639799 26:0.4600907 
2 1:268.8034 2:-2.9166386 3:5.986905 4:-2.5539415 5:3.2581608 6:-2.0341225 7:1.3928748 8:-2.240059 9:3.307361 10:-1.4566697 11:2.13053 12:-0.64626366 13:2.95908 14:268.8034 15:-2.9166386 16:5.986905 17:-2.5539415 18:3.2581608 19:-2.0341225 20:1.3928748 21:-2.240059 22:3.307361 23:-1.4566697 24:2.13053 25:-0.64626366 26:2.95908 
2 1:269.71918 2:-1.5919253 3:7.8244042 4:-1.651881 5:3.1820598 6:-0.36797544 7:4.096987 8:-1.4044328 9:1.4081988 10:-3.9234748 11:1.325908 12:-1.9323598 13:2.6549196 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:266.4825 2:-1.2840409 3:7.370111 4:-1.8356441 5:3.499931 6:-0.9104178 7:3.995359 8:-2.5333223 9:2.4253683 10:-1.279066 11:2.129139 12:-1.6459442 13:2.5653114 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:268.0477 2:-1.6181453 3:6.357593 4:-2.0374382 5:2.7246642 6:-1.9597971 7:1.5610507 8:-3.2932453 9:1.6710633 10:-2.9137144 11:2.0166748 12:-1.1080233 13:2.7596335 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:266.8966 2:-2.2418382 3:6.3162274 4:-2.8127923 5:1.8910031 6:-3.141984 7:1.5200207 8:-3.198563 9:1.9070799 10:-1.2393785 11:3.6728528 12:-1.3644402 13:3.2742262 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:266.6854 2:-2.5834792 3:6.523949 4:-4.2415924 5:1.4366878 6:-2.4165788 7:0.70640993 8:-2.781222 9:2.6251905 10:-1.1162988 11:2.6425872 12:-0.86332047 13:4.6291566 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:266.80948 2:-2.151945 3:7.187146 4:-2.71424 5:1.7172401 6:-3.6965296 7:0.44982892 8:-3.2112925 9:1.2541009 10:-2.7151716 11:3.0502346 12:-0.73111475 13:4.237813 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:268.73117 2:-0.6460098 3:5.8118544 4:-2.1872125 5:4.950506 6:-1.419605 7:2.4521964 8:-2.3236527 9:3.1335676 10:-2.3894858 11:1.9081651 12:-1.779455 13:2.716244 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:271.33734 2:1.354292 3:9.983305 4:-2.1326082 5:1.6726183 6:-3.5129805 7:-0.4881422 8:-3.593095 9:3.1367798 10:-4.05397 11:1.3009901 12:-2.8283386 13:2.5120032 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:269.49283 2:-0.9109433 3:6.854936 4:-2.6092813 5:0.85424024 6:-4.5870295 7:-0.56391907 8:-4.060851 9:3.775955 10:-1.9347662 11:0.8046627 12:-3.025362 13:1.0368279 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
