2 1:161.00136 2:-3.2447722 3:2.7847953 4:-6.3256764 5:0.45322886 6:0.29056582 7:4.9442024 8:-1.2196633 9:3.6273596 10:-3.520456 11:-1.2416904 12:-1.1731163 13:2.64123 14:161.00136 15:-3.2447722 16:2.7847953 17:-6.3256764 18:0.45322886 19:0.29056582 20:4.9442024 21:-1.2196633 22:3.6273596 23:-3.520456 24:-1.2416904 25:-1.1731163 26:2.64123 
2 1:266.39697 2:-0.09790642 3:10.364064 4:-2.3212879 5:1.7246872 6:-2.9288712 7:1.239072 8:-5.1675916 9:0.6027295 10:-2.2101915 11:2.5032747 12:-1.0784895 13:3.5000541 14:266.39697 15:-0.09790642 16:10.364064 17:-2.3212879 18:1.7246872 19:-2.9288712 20:1.239072 21:-5.1675916 22:0.6027295 23:-2.2101915 24:2.5032747 25:-1.0784895 26:3.5000541 
2 1:267.81155 2:-0.045103196 3:10.338498 4:-1.8727782 5:3.043127 6:-3.6458497 7:0.5167522 8:-2.4036372 9:2.8222485 10:-0.26004565 11:2.8438811 12:-1.4208544 13:2.2162042 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:269.0023 2:1.4408227 3:11.54157 4:-3.113214 5:1.1139287 6:-4.1178217 7:0.07281074 8:-1.5861055 9:2.5961854 10:-1.3234999 11:3.3583367 12:-2.037135 13:3.3052096 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:266.95157 2:-0.110039875 3:10.845927 4:-2.8644538 5:-0.23394637 6:-5.5508933 7:0.52678746 8:-3.7917712 9:1.9460497 10:-2.589208 11:2.8852267 12:-1.4600072 13:2.7859626 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:266.4299 2:-0.573366 3:9.882349 4:-3.90874 5:1.8609836 6:-4.804856 7:0.26219967 8:-3.859429 9:1.6900446 10:-1.1466504 11:2.5403051 12:-1.2407858 13:2.7448833 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:267.76703 2:0.53286463 3:10.288365 4:-1.2185671 5:3.280939 6:-3.6525207 7:0.589406 8:-2.4335482 9:3.3974793 10:-2.1167336 11:3.1773686 12:-0.35554796 13:2.992211 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:265.16766 2:0.38066864 3:10.200264 4:-2.2472298 5:2.6965344 6:-3.2581272 7:0.81501895 8:-1.9631004 9:3.2561212 10:-0.6763213 11:3.9047992 12:0.045299124 13:4.8149657 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:266.39133 2:-0.18146485 3:10.261741 4:-3.9052665 5:0.7802574 6:-3.331922 7:0.8720979 8:-3.5554147 9:1.2752918 10:-2.891454 11:1.3340634 12:-1.6627843 13:2.2389913 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:264.0752 2:-1.972683 3:9.900339 4:-4.076651 5:1.4492419 6:-3.0144763 7:1.2551191 8:-1.0801097 9:1.7874162 10:-2.6737761 11:2.1440396 12:-2.3199883 13:1.6722744 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:263.62146 2:-1.9667122 3:8.797876 4:-3.4658709 5:1.2633097 6:-2.9644706 7:1.1349322 8:-1.8349966 9:2.0369117 10:-2.1818156 11:3.421951 12:-0.4637671 13:3.581321 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:266.6896 2:0.2606354 3:7.739412 4:-3.4126158 5:1.2357647 6:-2.5722265 7:1.9529386 8:-4.173965 9:1.8012426 10:-2.9706905 11:2.6271951 12:-2.3314464 13:4.1034346 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:266.04657 2:0.35901853 3:10.160605 4:-1.7460923 5:1.0177636 6:-5.4767857 7:-0.15786211 8:-4.431505 9:1.6615596 10:-1.85467 11:3.87837 12:-0.5506477 13:3.442892 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:263.5588 2:-0.399289 3:9.952478 4:-1.2944655 5:2.0114539 6:-3.732891 7:1.1588235 8:-3.9844956 9:1.2316802 10:-1.1537002 11:3.7612848 12:-1.3523556 13:2.42688 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:267.8268 2:-0.1017516 3:9.72858 4:-2.7288818 5:2.5205743 6:-2.4824173 7:2.7250817 8:-2.6103818 9:2.922941 10:-1.0262216 11:2.773331 12:-1.378099 13:2.290888 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:266.23114 2:-0.11722266 3:8.121317 4:-3.1922822 5:2.9594054 6:-2.7886639 7:1.1152629 8:-4.3573203 9:1.4771694 10:-2.0277681 11:2.9547162 12:-0.07548893 13:4.3756375 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:267.63428 2:-0.13775334 3:8.881226 4:-2.1597092 5:3.000628 6:-3.127586 7:2.6403327 8:-1.84872 9:3.0925012 10:-1.3646235 11:2.4846904 12:-2.0517778 13:2.7040818 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:265.65463 2:0.5466084 3:8.711206 4:-1.9697527 5:2.8111668 6:-3.1141675 7:3.628001 8:-1.9131029 9:2.6160922 10:-2.2957463 11:3.8795593 12:-2.1324966 13:1.2143096 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:269.9663 2:1.3023709 3:10.07175 4:-2.8424861 5:2.299276 6:-3.0618587 7:2.1079118 8:-3.1335592 9:0.84320676 10:-3.1109664 11:2.858003 12:-1.6434196 13:2.9093614 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:268.31836 2:1.2745551 3:8.658449 4:-1.9053652 5:3.2786613 6:-3.7329597 7:0.82943094 8:-3.2466965 9:0.3966733 10:-3.5614655 11:3.3145792 12:0.22253644 13:5.1020646 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:268.12515 2:0.67273194 3:8.146972 4:-4.2979198 5:0.8387546 6:-4.926817 7:0.4256564 8:-1.9397326 9:3.026897 10:-0.9005512 11:4.07741 12:-0.7059591 13:3.1154785 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:268.64078 2:1.2338198 3:9.764975 4:-3.0604556 5:2.1573977 6:-3.5148106 7:0.78711635 8:-3.5676527 9:1.6124604 10:-2.944407 11:3.2345214 12:-0.16787273 13:3.1985254 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:267.47275 2:1.2004484 3:9.928453 4:-2.689729 5:2.5972757 6:-3.2186723 7:0.88559514 8:-1.9776694 9:3.2263174 10:-1.4392505 11:2.5995584 12:-1.5415789 13:4.1406274 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:270.86215 2:3.2561703 3:10.760134 4:-2.7006106 5:3.4621897 6:-1.5523027 7:2.5211773 8:-1.4673777 9:4.1400213 10:-1.506813 11:4.574641 12:-0.10375221 13:4.053152 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:285.0646 2:9.2838125 3:12.169147 4:-4.026461 5:4.2387414 6:-2.7389388 7:1.9598641 8:-2.6989348 9:6.370599 10:-0.2976683 11:4.20496 12:-2.2116597 13:3.8938754 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:287.0086 2:11.766736 3:13.449999 4:-4.3642983 5:4.248873 6:-3.1687713 7:2.9550467 8:-3.2023757 9:6.283786 10:0.04669879 11:5.2742505 12:-2.7826421 13:4.174992 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:289.2793 2:12.012176 3:12.187006 4:-3.4858506 5:4.6243114 6:-1.7900363 7:2.343826 8:-4.9618855 9:5.080849 10:-0.9491163 11:6.07802 12:-1.7525128 13:4.821123 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:290.445 2:14.052384 3:13.81097 4:-6.6748075 5:2.3908544 6:-1.6069192 7:4.080555 8:-4.4053526 9:4.616596 10:-0.91299343 11:5.9622793 12:-2.4239008 13:5.2983465 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
2 1:293.24655 2:14.900202 3:14.729448 4:-5.4233856 5:4.2873354 6:-0.45707297 7:3.3417125 8:-5.4300246 9:5.3657165 10:-2.1378584 11:6.0927606 12:-2.6240058 13:3.3119347 14:91.214035 15:5.0837207 16:5.238829 17:-1.6332914 18:0.24802573 19:-0.8224549 20:1.5253074 21:-0.68141353 22:1.7178054 23:-1.7734315 24:0.68672174 25:-0.92484075 26:0.51835304 
